Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
90;9;37.7000007629;61.2963905334;20;72.7565949559;5;24.7999992371;59.0794067383;18;46.5343456268;
91;9;35.7000007629;63.3372535706;20;72.8748967648;5;24.7999992371;61.4541664124;16;47.0212974548;
92;9;34.7000007629;66.3778686523;21;72.9912346005;5;22.7999992371;61.8536186218;16;47.5372846127;
93;9;34.7000007629;66.4181976318;21;73.5806996822;5;22.0;63.2774429321;17;48.0814008713;
94;9;32.7000007629;69.6470031738;21;74.190625608;5;21.0;64.5770568848;17;48.6522114277;
95;9;31.7000007629;68.4419250488;22;74.8196438551;5;21.0;65.8936080933;18;49.2477238178;
96;9;31.7000007629;70.1364212036;22;75.4662126303;5;21.0;67.2258911133;18;49.8653740883;
97;9;30.2999992371;73.3968887329;22;77.1286426783;5;21.0;68.5722885132;18;50.5020418167;
98;9;32.2999992371;74.667678833;22;77.8651255369;5;22.0;66.9307937622;19;51.1540880203;
99;9;33.2999992371;75.9485931396;23;78.6167293787;5;21.0;68.2990112305;21;51.8174209595;
100;9;32.2999992371;80.2393569946;23;79.3815747499;5;23.0;68.6742324829;19;52.4875888824;
