Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
126;8;30.5499992371;85.7084960938;28;70.2593218982;24;138.731658936;270.941192627;42;263.972607136;
127;9;29.5499992371;83.934967041;26;70.2460609674;24;144.529037476;271.598937988;40;267.549613476;
128;9;29.9541740417;82.958114624;26;70.2425035238;25;142.588058472;284.189086914;40;274.558647215;
129;9;29.9814357758;81.9813766479;27;70.2470610142;25;148.449035645;288.471679688;41;281.352863729;
130;9;30.0071105957;81.5808563232;27;70.2583585382;25;152.309463501;298.189086914;41;287.834477186;
131;8;26.2999992371;71.8659133911;24;62.4803935587;26;157.169708252;307.189086914;40;302.634187818;
132;8;26.2999992371;72.8434295654;20;62.4078341126;26;163.692749023;316.189086914;39;308.581084371;
133;8;26.2999992371;73.8266906738;16;62.3452171087;26;170.103805542;326.189086914;37;311.473779559;
134;8;26.2999992371;76.9117050171;16;62.2915398926;26;172.430831909;335.189086914;41;313.987840295;
135;8;26.2999992371;76.9459533691;17;62.2459002733;26;176.928848267;344.189086914;41;315.652661324;
136;8;26.2999992371;76.9802474976;16;62.207483843;26;180.927581787;350.189086914;39;324.911023498;
137;8;26.2999992371;77.8063812256;8;62.6040114611;26;182.895675659;357.089080811;39;334.063872337;
138;7;26.2999992371;60.1405181885;8;46.8623720855;28;187.855026245;364.693878174;41;359.383796811;
139;7;27.8571395874;62.3035812378;7;47.4271689206;28;193.903991699;375.797149658;43;367.298040748;
140;7;27.9518032074;64.4761352539;8;47.9947976619;28;202.252731323;379.200408936;43;373.713071823;
141;7;28.0452728271;66.6583023071;9;48.5619282424;28;205.846435547;388.522125244;44;379.09425652;
142;7;28.1367816925;68.8500976562;7;50.1254178435;28;211.614440918;394.8699646;43;383.896701694;
143;7;29.2256183624;71.0515060425;9;50.7424015105;29;215.54006958;401.244262695;43;388.338382125;
144;6;28.3111495972;70.2675628662;8;50.2303643674;31;220.258773804;405.644927979;43;393.544609904;
145;6;28.3928337097;70.4876861572;9;50.7671855092;31;224.127593994;411.071472168;47;397.597928286;
146;6;28.4702377319;70.7167205811;8;51.2911605239;31;226.954284668;416.522796631;49;405.550192237;
147;6;28.5430374146;70.9542617798;7;51.8009955883;31;231.085617065;422.15737915;50;412.927314162;
148;6;28.6110229492;71.1997528076;8;52.2957858145;32;234.837799072;431.838287354;51;419.731921673;
149;6;28.6740856171;71.4525527954;8;52.7749756575;32;239.243743896;441.562072754;50;426.983811855;
150;5;24.2999992371;66.7119140625;9;42.1917057633;33;239.390167236;451.323577881;53;444.593711019;
151;5;24.2999992371;66.9769744873;6;42.4233754873;33;242.113052368;458.116119385;55;450.612826824;
152;5;24.2999992371;67.2468109131;5;42.6594281197;33;240.78666687;471.931427002;57;455.993194342;
153;4;21.2999992371;45.0;6;38.0401891172;34;240.055664062;487.760101318;59;465.159504414;
154;4;19.2999992371;45.0;7;37.7090640664;34;243.655807495;501.59185791;60;487.949363708;
