Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
77;6;23.2073764801;40.6749992371;16;40.5419127941;7;37.5999984741;78.2608337402;22;89.2146601677;
78;6;24.2121524811;41.6749992371;16;40.7649605274;7;38.5999984741;80.3628158569;23;90.1462478638;
79;6;25.2169628143;42.6749992371;15;40.9846178293;7;39.5999984741;81.861541748;22;90.9860978127;
80;6;25.4650707245;43.6749992371;16;41.2005156279;7;39.9056968689;83.1296615601;23;91.7408957481;
81;6;25.4794750214;44.6749992371;17;41.46529603;7;39.9754333496;84.3763427734;23;92.3056316376;
82;7;25.4992275238;45.6749992371;15;67.6291913986;7;40.0;85.6023178101;22;92.7503271103;
83;7;24.2332077026;47.8926887512;14;71.389076829;7;40.0;86.8084793091;24;93.1003427505;
84;6;24.241443634;43.6864700317;15;73.1476508379;8;40.0;87.8551635742;23;94.7195249796;
85;7;26.2464122772;45.0766830444;14;75.6207331419;8;42.0;86.9652404785;23;95.0575433969;
86;7;27.3860778809;46.4037895203;14;77.3391669989;8;44.0;87.0638046265;23;95.3008090258;
87;7;27.6924819946;46.4037895203;14;78.5869889259;8;42.0;89.1000061035;26;95.4871127605;
88;7;28.6975002289;46.4037895203;15;79.4836579561;8;42.0;91.1000061035;30;95.6521214247;
89;8;28.7025337219;45.4347267151;14;79.8807348013;8;42.0;93.1000061035;30;95.7404748201;
90;8;30.3860778809;46.4347267151;13;80.0185496807;8;42.0;93.1000061035;29;95.8320155144;
91;8;29.3860778809;49.1603927612;12;80.1494473219;8;42.0;93.1000061035;26;95.9266937971;
92;8;29.2610778809;50.5369033813;12;81.273593545;8;42.0;93.1000061035;27;96.0244407654;
93;7;27.2610778809;47.5481491089;13;74.5787973404;9;42.0;93.1000061035;21;103.902464151;
94;8;29.2167301178;49.7999992371;8;74.6842577457;9;44.0;92.1000061035;21;104.101155758;
95;8;29.875;52.7999992371;8;74.7929337025;9;44.0;98.1000061035;22;104.296265364;
96;8;30.7284107208;55.7999992371;10;74.9048697948;9;44.0;102.100006104;23;104.444036245;
97;8;30.5149650574;58.7999992371;10;75.0201011896;9;45.0;104.100006104;23;104.55538559;
98;8;30.5362625122;62.7999992371;10;75.1386522055;9;44.0;108.888778687;25;104.668962717;
99;8;30.5582695007;64.8000030518;11;75.2605352402;9;45.0;109.968276978;26;104.784556389;
100;9;30.5809879303;67.8000030518;11;75.3857488632;9;45.0;110.649185181;27;107.409011364;
101;9;29.875;71.8000030518;11;75.514277339;9;46.0;112.848304749;28;109.976592779;
102;9;30.2570114136;75.8000030518;12;75.6460887194;9;47.0;115.061653137;28;112.452451706;
103;10;30.2619857788;79.8000030518;11;75.7811338902;9;48.0;117.288993835;28;114.807973385;
