Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
111;17;68.7753982544;145.465820312;36;134.900250793;14;55.8234062195;112.800003052;19;122.866683364;
112;17;68.4210128784;150.605957031;37;137.149078131;14;58.9846687317;113.800003052;20;124.475553274;
113;17;70.7093658447;150.744445801;41;139.182788372;14;60.3475532532;116.800003052;21;125.171843171;
114;17;70.6018066406;153.880767822;43;141.028330445;14;60.4081878662;123.800003052;22;125.871338367;
115;17;69.8530807495;161.014434814;41;141.165953159;15;62.5871353149;124.800003052;20;126.573090434;
116;17;75.8816986084;159.234344482;41;141.366705179;15;61.6573104858;128.800003052;21;127.276143193;
117;17;76.8581466675;159.234344482;46;141.62277329;15;62.7276153564;135.800003052;19;127.97953999;
118;17;79.9292449951;157.234344482;47;141.927127242;15;60.7979545593;139.600006104;20;128.682326794;
119;17;82.9645690918;158.234344482;48;144.010734558;15;61.8682365417;142.600006104;20;129.383554697;
120;17;87.1397857666;159.406677246;49;145.891201615;15;62.9383544922;146.600006104;21;130.082290769;
121;17;88.3501052856;161.440307617;49;147.548141003;15;65.0082244873;147.600006104;21;130.736238718;
122;17;92.4977493286;161.67565918;50;148.848811388;15;66.0736236572;148.600006104;23;132.86319375;
123;17;95.6422729492;161.50970459;50;149.82126832;15;66.286315918;152.600006104;21;135.051050425;
124;17;99.7525253296;161.543884277;51;150.625090122;15;68.1051025391;154.600006104;23;137.286235571;
125;17;103.862075806;161.578186035;52;151.41067791;15;68.32862854;156.487854004;23;139.554778457;
126;17;107.954566956;162.576690674;53;152.166312933;15;67.555480957;160.555633545;24;141.842758417;
127;17;112.993789673;163.611068726;53;152.916392326;16;68.7842788696;160.758911133;25;144.136683583;
128;17;115.033325195;165.695404053;53;153.659311056;16;69.013671875;160.895690918;26;146.423778772;
129;17;118.073127747;167.326141357;55;153.377577543;16;68.2423782349;165.038787842;27;148.692158937;
130;17;119.289741516;169.240997314;55;153.146367788;16;69.4692153931;166.188140869;27;150.930905104;
131;18;117.048477173;180.375747681;52;152.922034502;16;69.6930923462;167.343688965;26;153.13005352;
