Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
51;4;22.8304862976;27.5;7;30.4731469154;5;19.1077728271;30.0;7;44.7758111954;
52;4;22.8564567566;27.5;7;30.5881636143;5;21.1833972931;28.0;7;45.5522360802;
53;4;22.4027481079;28.5;8;30.7026538849;5;20.0;30.0;7;46.2644047737;
54;4;22.9080982208;27.5;8;30.8165082932;5;23.0;30.0;7;46.9174394608;
55;4;22.4265174866;28.5;8;30.9296193123;5;25.0034503937;31.0;6;47.5166149139;
56;4;22.438041687;28.6580505371;8;31.0418820381;5;26.1574459076;32.0;6;47.9732499123;
57;4;22.4493141174;28.6891326904;8;31.1531937122;5;27.2689819336;33.0;6;48.3063445091;
58;4;22.4603309631;28.7203063965;9;31.2634549141;5;28.2939281464;33.0;7;48.6310133934;
59;5;23.4710845947;29.7515392303;8;32.372569561;5;28.3669776917;32.0;8;48.9453339577;
60;5;25.0588283539;29.5;8;32.5204443932;5;28.4377002716;31.0;10;49.2476272583;
61;5;25.3170986176;30.5;8;32.6681742668;5;28.5057163239;30.0;10;49.5364894867;
62;5;25.3503398895;31.5;11;32.8156759739;5;28.5707111359;29.0;12;49.8108100891;
63;5;25.3835258484;32.5;12;32.9628676176;6;28.6324329376;28.0;11;50.069776535;
64;5;25.4166469574;32.5;13;33.0877257586;6;28.690700531;27.0;11;50.3128671646;
65;6;25.4447383881;32.5;12;33.1947193146;6;28.7453956604;26.0;12;50.5398340225;
66;6;25.4688110352;32.5;14;33.3023779392;6;26.7453956604;27.0;13;50.7506799698;
67;7;25.4930343628;32.5;13;33.41061759;6;27.7453956604;26.0;13;50.9456272125;
68;7;24.8294315338;33.5;13;33.5193532705;6;28.7453956604;26.0;13;51.1250829697;
69;7;24.5249996185;34.759677887;13;34.8388859034;6;28.928144455;26.0;13;52.289607048;
70;7;25.1101970673;34.6190032959;13;35.9410876036;6;27.9651622772;28.0;13;52.5798755884;
71;7;24.7814617157;35.1713027954;12;37.8599169254;6;27.9989719391;30.0;14;52.8746546507;
72;7;25.9427452087;37.5110473633;12;38.6907436848;6;27.0297470093;32.0;14;53.1766078472;
73;7;28.0704250336;36.7776222229;13;39.2610617876;6;26.1076698303;34.0;14;53.4254535437;
74;7;28.4226322174;37.9135665894;13;39.6543092728;6;25.1076698303;34.0;15;53.6487001181;
75;7;28.6547031403;38.0;13;40.0504970551;6;25.7000007629;34.0;16;53.8974545002;
76;8;29.0113620758;39.0;12;55.4491187334;6;26.7000007629;34.0;15;54.1734571457;
77;8;26.6973342896;42.665145874;12;56.8996671438;7;27.7000007629;35.0;14;55.9985876083;
78;8;27.2471542358;44.7028579712;13;58.2566113472;7;25.8710002899;37.0;15;57.6200547218;
79;10;28.2735843658;45.9069061279;11;60.508898139;8;27.013666153;37.595123291;13;59.0705237389;
80;10;28.201007843;47.0;12;61.7523685694;8;28.1311988831;38.8049659729;13;60.3826112747;
81;10;28.8642024994;50.0;13;62.8977035284;8;29.2270107269;39.9690628052;13;61.3791227341;
