Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
49;6;22.0;30.1040077209;5;29.9381666183;4;20.9500007629;29.8930530548;10;36.1238229275;
50;6;23.2914428711;32.1040077209;6;30.0394624472;5;20.9500007629;29.3862037659;10;60.625718832;
51;6;24.462469101;33.1040077209;7;30.1416006088;5;21.9500007629;28.9382896423;10;62.3828263283;
52;6;24.2178630829;33.1697731018;7;30.2445456982;5;23.947385788;32.6749992371;11;63.952917099;
53;6;24.5323600769;32.5;7;30.3482599258;5;23.9500007629;35.6749992371;11;65.3626389503;
54;6;23.936422348;33.5;9;30.4527035952;5;24.9500007629;38.6749992371;10;66.6434044838;
55;6;23.625;34.5739440918;9;30.557834506;5;25.9500007629;41.6749992371;11;67.8247032166;
56;6;23.625;34.6024017334;9;30.663607955;6;26.9500007629;44.6749992371;11;68.7326946259;
57;6;23.625;34.6306152344;10;30.7699770927;6;27.9500007629;45.6749992371;11;69.5523023605;
58;6;23.625;34.6585769653;10;30.8768922091;6;28.9500007629;46.6749992371;12;70.3839168549;
59;6;23.625;34.6862640381;10;30.9843013287;6;29.9500007629;47.6749992371;12;71.2139835358;
60;6;24.6211547852;32.5;11;31.0921494961;6;30.9500007629;48.6749992371;12;72.028711319;
61;6;23.625;34.2706451416;11;31.2003798485;6;31.3500003815;49.6749992371;13;72.8149824142;
62;6;23.625;33.2818908691;11;31.3069113493;6;31.3500003815;50.6749992371;13;74.5612039566;
63;6;23.625;33.2931175232;11;31.385763526;6;32.3499984741;52.6749992371;14;75.3879793882;
64;6;23.9869499207;32.5;12;31.4654196501;6;33.3499984741;54.6749992371;14;76.173961997;
65;6;23.991985321;32.5;13;31.5458173752;6;33.7326278687;56.6749992371;15;76.9165525436;
66;6;23.9970092773;32.5;13;31.6268908978;6;33.7813186646;58.6749992371;15;77.6157906055;
67;6;24.0020179749;32.5;13;31.7085713148;6;33.8355026245;60.6749992371;15;78.2739788294;
68;6;24.0070114136;32.5;14;31.7907862663;7;33.895614624;61.6749992371;12;78.8951776028;
69;6;24.0119857788;32.5;15;31.8734607697;7;33.9620742798;62.6749992371;11;79.4846496582;
70;6;24.0169391632;33.5;16;31.9565175772;7;34.0352783203;63.6749992371;13;80.0483114719;
71;5;21.625;29.8819332123;16;29.7856714725;8;35.115562439;61.6749992371;11;82.7848985195;
72;5;22.0267753601;29.0;15;29.8073554039;8;35.2032089233;63.6749992371;10;83.3765125275;
73;5;22.0316543579;29.0;15;30.8889106512;9;36.2983932495;65.6750030518;11;86.2833616734;
74;5;22.9500045776;28.0;15;31.7496936321;9;34.6721534729;68.8926849365;13;89.7706551552;
75;6;22.0255012512;30.3151626587;15;32.4241468906;9;36.9920845032;71.6864700317;13;91.9910620451;
76;6;23.2954349518;28.6872596741;15;32.9481360912;9;40.2722015381;72.0766830444;13;93.6983083487;
77;6;22.9874687195;29.8561019897;15;33.2066931725;9;40.2382659912;74.403793335;14;95.009960413;
78;6;22.7305774689;30.0;16;33.2836930752;9;41.444732666;74.4347229004;15;96.2215694189;
79;6;23.0535755157;29.9672336578;16;33.3595935106;9;38.2418060303;78.4347229004;16;97.2522227764;
80;6;22.7398910522;30.0;16;33.4343409538;10;36.837310791;79.4347229004;16;98.1068831682;
81;6;23.5227241516;29.0;16;33.5078861713;11;35.8702926636;80.8000030518;16;98.9808269739;
82;6;20.2999992371;31.9978733063;16;34.564394474;11;35.4000015259;83.8000030518;17;99.8661030531;
83;6;20.2999992371;34.7821960449;16;34.6555650234;11;34.5422134399;82.8000030518;18;100.754365802;
84;6;20.2999992371;36.8077850342;17;34.7468039989;11;34.5812110901;84.8000030518;19;101.637277365;
85;6;19.2999992371;38.8328094482;17;34.8380868435;11;35.6222610474;86.8000030518;20;102.506912947;
86;6;18.2999992371;40.8572654724;16;34.9293898344;11;37.6653594971;85.8000030518;21;103.356133461;
87;6;18.0;43.8811416626;18;35.0206903219;12;37.710483551;87.8000030518;20;105.17888236;
88;7;18.0;45.9044265747;17;35.1119658947;12;39.757598877;91.8000030518;21;106.060375333;
89;7;18.0;47.9271087646;18;35.2031948566;12;42.2066497803;92.8000030518;22;106.914299965;
90;7;18.0;49.9491882324;19;35.2943556309;12;41.613697052;96.8000030518;23;107.738927484;
91;7;18.0;51.9706611633;20;35.3854261637;12;41.6977462769;100.800003052;24;108.533722162;
92;7;19.0;51.9491882324;20;35.4528282881;12;42.7858009338;101.800003052;25;109.299150229;
93;7;20.0;51.9491882324;21;35.5043625832;12;41.8778038025;103.800003052;25;110.036458611;
94;8;21.0;51.9491882324;20;35.5569496155;12;41.9737052917;105.800003052;26;110.747444749;
95;8;22.0;51.9491882324;20;35.6105561256;12;43.0733947754;104.800003052;27;111.434238911;
96;8;23.0;51.9491882324;21;35.6651450396;12;42.1767463684;106.800003052;28;112.099112749;
97;8;24.0;51.9491882324;22;35.72067523;12;42.2835922241;108.800003052;30;112.744323969;
98;8;24.2999992371;53.9491882324;24;35.7771017551;12;43.393737793;107.800003052;32;113.248934031;
99;8;24.2999992371;54.9491882324;24;35.8343759775;12;42.506942749;109.800003052;32;113.728349209;
100;8;24.2999992371;55.9491882324;25;35.8924454451;12;42.6229553223;111.800003052;33;114.212825537;
