Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
59;4;23.5;30.2999992371;9;33.2733153105;5;41.4000015259;41.8627510071;9;82.6948184967;
60;4;24.5;28.2999992371;9;33.2953014374;5;40.4000015259;44.8627510071;8;82.8832639456;
61;4;25.5;28.018119812;9;33.3173824549;5;42.4000015259;45.0;8;83.0744774342;
62;4;25.9952144623;27.5;10;33.3395489454;5;44.2000007629;46.0;11;83.2682129145;
63;4;25.6000003815;27.5;10;33.3617914915;5;43.2000007629;45.0;11;83.4642184973;
64;4;23.6000003815;28.5;10;33.3841004372;5;43.2000007629;45.0;12;83.6622385979;
65;4;23.5;29.5;11;34.4064661264;5;41.2000007629;47.0;12;83.8620148897;
66;4;24.5;31.2999992371;12;34.4588786364;5;40.2000007629;48.0;13;84.0632870197;
67;4;25.5;32.2999992371;12;34.5119190216;5;39.2000007629;49.0;14;84.2657946348;
68;4;25.5;33.2999992371;13;34.5655704737;6;38.2000007629;50.0;13;84.4692767859;
69;5;25.5;34.2999992371;12;34.6198147535;6;37.2000007629;51.0;14;84.673473835;
70;5;25.5;35.2999992371;12;34.6746324301;6;36.2000007629;52.0;13;84.8781268597;
71;5;25.5;35.2999992371;13;35.7415610552;6;35.2000007629;53.0;14;85.0829780102;
72;5;25.7999992371;35.7999992371;13;36.5896517038;6;34.2000007629;54.0;14;85.287771225;
73;5;27.5031337738;34.8129348755;13;37.2533993721;6;33.2000007629;55.0;14;85.4922513962;
74;5;26.6882266998;36.1335830688;13;37.7687152624;6;32.2000007629;56.0;15;85.696164608;
75;5;27.8284435272;34.5800247192;14;38.0206696987;6;31.2000007629;57.0;15;85.8992576599;
76;6;28.3999996185;35.3472290039;13;38.0931686163;6;30.7999992371;58.0;15;86.1012785435;
77;6;28.5;35.3812484741;13;39.1666929722;6;30.7999992371;58.0;15;86.3019759655;
78;6;30.0026912689;35.7455291748;13;39.3012048006;6;30.7999992371;58.0;16;86.5010991096;
79;6;28.5;38.4508209229;14;39.4396260977;6;30.7999992371;58.0;16;86.6983990669;
80;6;28.0159816742;39.7983627319;14;39.5819803476;6;30.7999992371;58.0;17;86.8936283588;
81;6;27.0225868225;41.8255310059;14;39.7282789946;6;30.7999992371;62.0;17;87.0865416527;
82;6;25.5;44.5587272644;14;39.8785207272;6;30.7999992371;64.0;18;87.2768974304;
83;6;25.0357017517;45.5464248657;15;40.032689929;6;30.7999992371;65.5999984741;18;87.4644577503;
84;6;24.0422058105;46.6126708984;16;40.1907557249;6;30.7999992371;66.4000015259;18;87.6279573441;
85;6;20.5;49.41248703;16;40.3526704311;6;30.7999992371;66.4000015259;19;87.7502937317;
86;6;20.0;51.4913024902;16;40.5183684826;6;30.7999992371;66.4000015259;19;87.8721673489;
87;7;20.0;53.3720245361;16;40.6877659559;6;30.7999992371;66.4000015259;19;87.9932823181;
88;7;20.0;54.4546089172;13;40.8607586622;6;30.7999992371;66.4000015259;19;88.1133489609;
89;7;20.0;55.5390090942;14;41.037222147;6;30.7999992371;66.4000015259;19;88.2320871353;
90;7;21.0;53.625164032;14;41.2170103788;6;30.7999992371;66.4000015259;20;88.3492274284;
91;7;20.0;54.7129974365;14;41.3999555111;6;30.7999992371;66.4000015259;20;88.464515686;
92;7;20.0;55.8024291992;13;41.5858678818;6;30.7999992371;66.4000015259;21;88.5777130127;
93;7;21.0;53.8933563232;12;42.7587461472;6;30.7999992371;67.4000015259;21;89.3832612038;
94;7;21.0;55.9793701172;12;43.0300966501;6;30.7999992371;68.4000015259;22;91.2045817375;
95;7;22.0;58.0650482178;13;43.3128230572;6;31.7999992371;70.4000015259;23;92.0804623365;
96;7;24.0;57.1519622803;13;43.6072206497;6;32.7999992371;72.4000015259;23;92.9608794451;
97;7;24.0;59.2399787903;13;43.9135540724;6;32.7999992371;73.7322311401;23;93.8390977383;
98;7;25.0;55.7999992371;15;44.2320480347;6;32.7999992371;75.0272979736;24;94.7084205151;
99;7;26.0;53.0;16;44.5628753901;6;32.7999992371;76.3229675293;24;95.5623989105;
100;7;25.0;55.0;17;44.9061441422;6;32.7999992371;76.6167297363;25;96.3950349092;
101;8;25.0;60.7999992371;16;45.2618837357;6;32.7999992371;76.9061279297;25;97.200950861;
102;8;26.0;61.8912620544;15;45.6300299168;6;32.7999992371;77.1888198853;26;97.9755284786;
103;8;25.0;64.7825927734;16;46.010406971;6;32.7999992371;77.4626464844;27;98.7150040865;
104;8;25.0;66.8738632202;16;46.4027135372;7;32.7999992371;77.7257080078;26;123.416518331;
105;8;26.0;65.9648895264;16;46.8065049648;7;34.7999992371;76.9764099121;26;125.758120179;
106;8;25.0;61.5373039246;15;47.2211797237;7;36.7999992371;77.2135009766;26;127.744905472;
107;8;25.0;59.7373046875;13;47.6459667683;7;37.7999992371;77.4360580444;27;129.393605351;
108;8;26.0;58.7373046875;13;48.0799171925;7;38.7999992371;77.6435165405;28;130.743095875;
109;8;25.0;64.5373077393;15;48.5218999386;7;39.7999992371;77.8356246948;29;131.841596484;
110;8;25.0;68.835067749;16;48.9706022739;7;40.7999992371;78.0124206543;32;132.737166882;
111;8;26.0;68.0031585693;16;49.4245393276;7;41.7999992371;78.1741943359;32;133.199804306;
112;8;25.0;69.2586212158;16;49.8820664883;7;42.7999992371;78.3214416504;33;133.549188375;
113;8;25.0;70.5165710449;14;50.3414025307;7;43.7999992371;78.4548110962;33;133.791618347;
114;8;26.0;66.1756820679;15;50.8006594181;7;44.7999992371;78.5750732422;34;134.017498016;
115;9;25.0;66.0966186523;14;66.2578759193;7;45.7999992371;78.6830978394;34;134.22801733;
116;9;26.0;66.3233261108;14;67.7610569;7;46.7999992371;80.7797622681;35;134.330129385;
117;9;27.0;67.4680023193;16;69.1631946564;7;47.7999992371;80.8000030518;36;134.403991461;
118;9;27.0;69.6933135986;18;70.451811552;7;46.7999992371;81.8000030518;35;134.478419304;
119;9;28.6000003815;73.9158782959;16;71.6214177608;7;46.7999992371;83.8000030518;36;134.553306818;
