Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
148;10;40.9000015259;94.7543182373;16;94.1230313778;20;83.8305435181;172.376678467;24;133.21781075;
149;11;40.9000015259;91.8560028076;15;94.4155839682;20;83.9883804321;173.050842285;24;135.036403775;
150;11;39.9000015259;92.9526672363;15;94.6379894018;21;82.1856460571;179.680145264;25;136.842166781;
151;11;39.8999977112;94.0442886353;15;94.8563566208;21;83.5984420776;180.267211914;25;138.636300683;
152;11;40.0499992371;92.1308898926;18;95.0706951618;21;82.8155899048;181.762374878;27;140.419999599;
153;11;38.0499992371;93.2125244141;18;97.2810437679;21;78.1175689697;189.72984314;28;142.153064728;
154;11;41.0499992371;94.289276123;19;97.5974619389;21;81.2677154541;187.184417725;30;143.76474905;
155;11;42.75;93.3612670898;18;99.7687902451;21;80.4114608765;189.394546509;31;145.391321421;
156;11;42.75;97.5372772217;20;100.967199802;21;78.8468704224;194.611450195;31;148.029317379;
157;11;43.75;101.70488739;19;102.111529827;21;81.0820083618;194.834762573;33;149.855063081;
158;11;42.75;104.863677979;19;102.225736022;21;80.2973861694;198.064056396;34;153.029686451;
159;11;41.5999984741;102.83026123;20;102.37062335;21;79.8398132324;209.2706604;34;156.200511336;
160;11;40.5999984741;105.800186157;19;103.548090219;21;81.2414703369;217.76260376;31;159.365149379;
161;11;40.5999984741;107.953613281;17;104.677633047;21;83.6316757202;223.274505615;29;162.52178812;
162;13;40.5999984741;110.097831726;14;105.76461637;21;85.0299987793;227.804733276;29;165.668754101;
163;12;41.5999984741;109.232803345;12;106.814866066;22;86.3124389648;228.222351074;28;168.784975529;
164;12;40.5999984741;111.358573914;9;107.834205866;22;85.6599960327;236.655670166;25;171.729584455;
165;12;41.5999984741;113.475296021;5;108.700952053;22;89.8665161133;232.101928711;26;174.68721199;
