Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
40;2;26.7164916992;20.5;11;28.348202467;2;14.7696743011;20.5;9;27.628036499;
41;2;26.756690979;22.5;11;28.4369900227;2;14.7884111404;21.5;8;27.690372467;
42;2;26.7966461182;22.5;13;28.5250804424;2;15.0;19.5;9;27.7525100708;
43;2;26.8362865448;22.5;13;28.6123232841;2;14.0;20.5;9;27.8143725395;
44;2;26.8755455017;22.5;12;28.6985738277;2;14.0;21.5;9;27.8758842945;
45;2;26.914358139;22.5;13;28.7836937904;2;15.0;19.5;10;27.936971426;
46;2;26.9526615143;22.5;15;28.867552042;2;16.0;19.5;10;27.9975619316;
47;2;26.990398407;22.5;15;28.9500255585;2;17.0;19.5;10;28.0575861931;
48;3;27.0275115967;22.5;14;29.0310001373;3;19.0;21.5;10;29.1169772148;
49;3;27.063949585;22.5;15;29.110370636;3;21.0;23.5;10;29.305670619;
50;3;27.0996665955;22.5;15;29.1880412102;3;22.0;25.5;10;29.5090364218;
51;3;27.1346187592;22.5;15;29.2639269829;3;23.3826293945;26.5;11;29.7284476757;
52;3;27.1687679291;22.5;13;29.3379516602;3;23.9313163757;27.5;12;29.9653060436;
53;3;27.2020778656;22.5;13;29.4100503922;3;23.5;28.1473350525;13;30.2210093737;
54;3;27.2345218658;22.5;13;29.4801678658;3;23.5;28.2274856567;14;30.4969103336;
55;3;27.2660751343;22.5;14;30.5482587814;4;24.1120758057;27.5;13;30.7942676544;
56;3;28.2967166901;23.5;14;30.6442878246;4;24.1852798462;27.5;13;31.1141850948;
57;3;29.3264293671;24.5;14;30.7388193607;4;23.5;29.5;14;31.4575426579;
58;3;29.3552017212;25.5;14;30.8424357176;5;24.3532066345;28.9454078674;13;31.8249220848;
59;3;29.3830299377;26.5;15;32.0873259306;5;25.4483909607;27.5;13;32.2165260315;
60;3;29.9238948822;28.0;15;33.1120218039;5;24.6137733459;28.5;13;32.6320986748;
61;3;30.3651409149;28.9847431183;15;33.950235486;5;23.5;30.0486888885;11;33.0708522797;
62;3;30.7219390869;29.3046665192;14;34.6371246576;5;23.5;30.7283420563;12;33.5314054489;
63;3;31.0101184845;29.5503959656;15;35.0570478439;5;23.5;30.9125614166;12;35.011744976;
64;3;31.1776409149;29.6644763947;16;35.2932523489;6;24.5;32.1046981812;7;47.0392119884;
65;3;31.2619781494;29.6888694763;16;35.5256208181;6;26.5;32.7278404236;7;48.0411179066;
66;3;31.3440876007;29.7138233185;16;35.7535861731;6;28.5;33.7278404236;7;49.9950563908;
67;3;31.4237213135;29.7393226624;18;35.976650238;6;30.5;36.7278404236;8;50.9304451942;
68;4;31.5006694794;29.7653579712;17;36.1943883896;6;33.7000007629;38.5;8;51.8320423365;
69;4;31.574754715;29.7919101715;17;36.4064496756;6;33.7000007629;42.0779190063;9;52.696084857;
70;4;31.6458339691;29.8189620972;17;36.6125560999;7;34.7000007629;44.0943527222;7;53.5194952488;
71;4;31.7138023376;29.846496582;18;36.812500596;8;35.7000007629;46.1110610962;6;54.2998839617;
72;4;30.1721019745;30.0;18;37.0061439276;9;35.7000007629;46.0735778809;4;69.5355480909;
73;4;29.2464485168;31.0;18;37.1934092045;9;37.7000007629;46.3132019043;4;72.4230396748;
74;4;28.3177394867;32.0;19;37.3742755651;9;40.0359992981;46.859790802;3;74.9538309574;
75;4;27.3859786987;33.0;20;37.5487731695;9;35.7999992371;50.2138214111;4;77.1585890055;
76;4;26.4511928558;34.0;20;37.7169764042;9;37.7999992371;52.667175293;4;80.0736020803;
77;4;25.0542163849;36.0;20;37.8789968491;9;38.7999992371;54.9492797852;4;82.6477860212;
78;4;24.5727481842;36.0;19;38.0349764824;9;39.7999992371;59.9742202759;6;84.0345156193;
79;5;23.629234314;37.0;19;38.1850821972;9;41.7999992371;61.8775939941;8;85.2115556002;
80;5;22.1826648712;38.0;18;38.285336256;10;40.1056976318;65.9469146729;8;86.2537968159;
81;5;21.1999988556;40.0;18;38.3473753929;10;39.1754341125;69.2242202759;8;87.1227184534;
82;5;20.1999988556;41.1736869812;18;38.409642458;10;39.4000015259;71.6289367676;10;87.8896994591;
83;5;19.6000003815;42.2048225403;19;38.4720609188;10;38.4000015259;74.762550354;12;88.6398829222;
84;5;19.6000003815;43.2360305786;19;38.534553051;11;38.4000015259;81.1191635132;12;89.3768310547;
85;5;19.6000003815;44.2672767639;19;38.5970411301;11;39.4000015259;81.4325332642;11;90.104185462;
86;5;19.6000003815;45.2985191345;19;38.6594469547;11;38.4000015259;86.5632247925;16;90.8254717588;
87;5;19.6000003815;46.3297233582;20;39.7216928005;11;38.4000015259;90.8043670654;17;91.3971738815;
88;5;20.6000003815;48.3608474731;20;39.8437013626;11;39.4000015259;92.0586700439;18;91.9863991737;
89;5;21.6000003815;50.3918495178;21;39.968360424;12;39.4000015259;94.1205749512;18;92.5965697765;
90;5;21.6000003815;52.4226989746;23;40.095664382;13;39.4000015259;96.1006317139;18;94.2269630432;
91;5;21.6000003815;54.4533538818;23;40.2256011963;13;40.4000015259;98.8442611694;17;95.0564376116;
92;5;21.6000003815;56.4837760925;24;40.3581517935;13;43.4000015259;99.8442611694;18;95.9336800575;
93;6;20.6000003815;56.1790771484;23;40.4932888746;13;42.4000015259;102.677078247;18;96.8609098196;
94;6;18.6000003815;56.7028579712;24;40.6309759617;13;40.4000015259;106.762756348;19;97.788487792;
95;6;18.0;59.7421760559;25;40.7711664438;13;40.4000015259;110.563240051;19;98.7642273903;
96;7;20.0;56.3855819702;23;40.9138021469;12;41.4000015259;110.937904358;19;99.7982499599;
97;9;20.0;59.0259094238;15;57.0588127375;11;34.4000015259;106.155158997;20;84.8914277554;
98;10;22.0;62.0655899048;13;60.2589520216;10;31.3999996185;101.703735352;22;82.504244566;
99;10;25.6000003815;63.1046409607;9;60.8952875137;10;32.4000015259;103.089836121;21;83.1680002213;
100;10;28.6000003815;65.1430358887;10;61.5941073895;11;32.4000015259;103.834838867;19;83.8259148598;
