Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
47;1;18.4873657227;19.1356105804;15;28.2703075409;6;30.1963005066;24.625;8;57.8920300007;
48;1;19.4873657227;19.1351547241;15;28.2694854736;6;30.2192897797;25.625;8;58.4623298645;
49;2;19.6327610016;19.1347427368;14;43.1475028992;6;30.2420806885;26.625;8;58.5244314671;
50;2;20.5998268127;20.0737514496;16;43.7877197266;6;30.2646598816;27.625;8;58.5616812706;
51;3;21.5701847076;21.0188598633;12;56.3582878113;7;30.2870082855;28.625;7;75.5985264778;
52;4;22.5435066223;22.969455719;11;57.3372783661;7;31.3091163635;30.625;7;77.6549446583;
53;4;23.5194969177;24.2242660522;11;58.2055215836;7;33.3309669495;33.625;8;78.7408093214;
54;4;23.4978885651;25.1333522797;11;58.9665546417;7;35.3525466919;36.625;9;79.7226285934;
55;4;23.4784412384;26.0538330078;11;59.6267547607;7;37.1697463989;39.625;10;80.6073833704;
56;4;23.4609375;26.9846420288;11;60.1943321228;7;38.3095283508;42.625;11;84.8657739162;
57;4;23.4451828003;27.9246768951;12;60.6784601212;7;39.9928741455;45.0234375;11;88.1963543892;
58;4;23.4310073853;28.8728466034;12;60.9948768616;7;41.6137771606;46.3489723206;12;90.7824718952;
59;4;23.4182472229;29.8374958038;12;61.1672554016;7;43.1853981018;47.6102333069;12;92.7779324055;
60;4;23.4067630768;30.8162288666;12;61.3154020309;7;44.7220230103;48.8168411255;12;94.0459537506;
61;4;23.3964271545;31.7970905304;12;61.3597259521;7;46.2375831604;49.9782943726;13;95.0036616325;
62;4;23.3871269226;32.7798614502;15;61.3287200928;8;43.2892951965;52.9782943726;13;95.6904568672;
63;4;23.3787536621;33.7643585205;15;61.3008136749;9;42.3739547729;54.9782943726;13;96.408318758;
64;4;23.371219635;34.7504043579;16;61.2756996155;9;43.3739547729;57.6477279663;13;97.186678648;
65;4;23.3644390106;35.7378463745;16;61.2530956268;9;44.3739547729;60.9782943726;14;98.0217266083;
66;4;23.358335495;36.7265472412;18;61.2327518463;9;45.2976226807;63.9782943726;14;98.9068405628;
67;4;23.3528423309;37.7163734436;18;61.2144432068;9;45.7865333557;66.9782943726;15;99.8324849606;
68;4;23.3479003906;38.7072219849;16;61.1979656219;9;46.3004112244;69.9782943726;15;101.786389351;
69;4;23.3434505463;38.6989822388;17;61.1831359863;9;47.8319396973;72.9782943726;15;103.794056177;
70;5;23.3394470215;38.6915664673;15;78.4197883606;9;50.3724594116;76.9782943726;16;104.880758166;
71;5;24.3358421326;39.6848907471;15;81.4616174698;9;51.9124755859;80.9782943726;16;105.95576489;
72;5;25.5612792969;41.285369873;15;84.0160541534;9;52.4422569275;84.9782943726;18;107.003841996;
73;5;26.730512619;42.7592887878;15;86.1259202957;9;52.9525527954;88.9782943726;18;108.011615515;
74;5;27.8550777435;43.0488700867;17;87.6588792801;9;53.4352340698;92.5842132568;19;108.968426228;
75;5;28.8955783844;43.1582946777;17;88.6452980042;10;54.1098556519;94.6421127319;19;109.866829515;
76;6;30.8955783844;44.081199646;16;90.2272186279;10;54.5197677612;96.6947479248;19;110.702723622;
77;6;29.8955783844;46.081199646;16;90.8032832146;10;54.8884811401;98.7471694946;20;111.475118637;
78;6;28.8955783844;48.081199646;18;91.2915188074;10;55.2153625488;100.799362183;21;112.185665131;
79;7;27.8955783844;50.081199646;16;91.6164735556;10;55.5013618469;102.851303101;22;112.838021517;
80;7;27.8955783844;52.081199646;16;91.7662519217;10;55.7486724854;104.90297699;23;113.437206745;
81;7;27.8955783844;54.081199646;16;92.9300806522;10;54.7486724854;109.607429504;24;113.988994122;
82;7;28.8955783844;56.1947517395;17;93.2887639999;10;54.7486724854;109.746711731;26;114.499406695;
83;7;29.8955783844;57.081199646;17;93.5884544849;11;54.7486724854;111.889503479;24;123.409515381;
84;7;29.8672657013;60.0287704468;16;93.9494043589;11;55.7486724854;117.010482788;25;124.018138647;
85;7;29.8417854309;62.4802131653;16;94.3756295443;11;56.7486724854;121.129272461;25;124.616705775;
86;7;29.8188533783;62.9391174316;19;94.8712668419;11;56.7486724854;125.252159119;26;125.202757955;
87;7;29.7982139587;65.900894165;19;95.440363884;11;56.7486724854;129.378875732;26;125.774253488;
88;8;29.7796382904;68.4228439331;20;96.0866093636;11;56.7486724854;129.330764771;28;126.329571962;
89;8;29.7629203796;67.6965179443;20;96.8129768372;12;56.7486724854;133.464065552;24;127.424817562;
90;8;29.7478752136;68.8148269653;21;97.6213173866;12;57.5999984741;135.99017334;23;128.546949625;
91;8;29.7343330383;70.9951858521;21;98.5118904114;12;58.5999984741;138.550064087;23;129.69361639;
92;8;29.7221469879;73.1879196167;22;99.4828624725;12;59.5999984741;141.141952515;30;130.861236572;
93;8;30.7111778259;70.1676101685;23;100.529842854;12;60.5999984741;139.362976074;30;132.044819355;
94;8;29.7013053894;71.3674697876;25;101.645503521;12;61.5999984741;139.009109497;30;134.237891197;
95;9;29.6924209595;72.8370895386;23;102.819377899;12;63.5999984741;144.675140381;30;136.492551804;
96;8;28.684425354;66.3228149414;23;98.0260925293;13;68.5999984741;141.46987915;31;143.400140762;
97;8;27.677230835;68.831993103;23;98.8963575363;13;69.5999984741;143.923400879;30;145.939410567;
98;8;27.6707515717;69.356552124;24;99.7772665024;13;72.5999984741;148.17616272;31;147.909382224;
99;8;28.6649227142;67.887260437;24;100.633008957;13;74.5999984741;154.079330444;33;149.440939546;
100;8;27.6544303894;69.404586792;25;101.468733788;13;75.5999984741;159.69833374;36;150.944968224;
