Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
44;2;25.25;23.3599433899;10;26.4700255394;4;33.6236953735;33.6167640686;15;49.7748167515;
45;2;25.25;23.3820152283;11;26.5072168112;4;33.0597267151;34.6139678955;16;50.4025321007;
46;2;25.25;23.4043312073;12;26.5447884798;4;33.9486846924;33.6114501953;16;51.0805251598;
47;3;25.25;23.4268722534;12;26.5827163458;4;31.9009609222;35.6091842651;17;51.8054318428;
48;3;25.25;23.4496307373;12;26.6209751368;4;33.6625137329;33.6071472168;18;52.5718255043;
49;3;25.25;23.4725856781;13;26.6595385075;4;34.5343933105;33.6053123474;19;53.3721675873;
50;3;25.25;23.4957237244;12;26.6983793974;5;33.9596786499;34.6036605835;15;59.9469470978;
51;3;25.25;23.51902771;9;26.7374696732;5;32.9588737488;36.973072052;14;60.9575276375;
52;3;25.25;23.5424823761;8;26.7767804861;5;34.958152771;36.9950332642;13;61.9641594887;
53;3;25.25;23.5660686493;8;26.8162822723;5;33.8958053589;39.0168228149;13;62.9538333416;
54;3;25.25;23.5897693634;8;27.8559447527;5;35.7403488159;37.5985488892;13;65.4253704548;
55;3;26.25;23.5;8;27.9657373428;6;34.2853431702;41.078338623;13;67.5552237034;
56;3;27.25;24.5;9;29.3676943779;6;34.5874252319;42.4224052429;13;69.3929021358;
57;3;27.8125;26.125;9;30.5099744797;6;35.8194923401;42.6621208191;13;70.7504832745;
58;3;28.2554702759;27.6171875;9;31.4270671606;6;34.934753418;45.3438110352;13;71.8536267281;
59;4;28.5944099426;28.9937877655;9;32.1601910591;6;34.9918403625;47.3796157837;14;72.7504658699;
60;4;28.8478622437;29.2754020691;9;32.7498377562;6;34.9918403625;49.4277648926;14;73.5656285286;
61;4;29.0340518951;29.4822807312;9;32.9671233892;7;34.9918403625;51.3260574341;11;84.3000195026;
62;4;29.0499992371;29.5;10;33.1548616886;7;33.9918403625;54.4719276428;14;85.4570155144;
63;5;29.0499992371;29.5;9;34.5667718649;7;33.9918403625;57.6115036011;14;86.5142412186;
64;5;29.5720005035;30.0799999237;10;35.6864933968;7;33.9918403625;60.7447967529;15;88.4747958183;
65;5;29.9574451447;30.508272171;10;36.5760810375;7;34.9918403625;64.7304229736;16;89.4157047272;
66;5;30.2342834473;30.8158721924;10;37.2297885418;7;36.9918403625;64.8104248047;20;90.2746144533;
67;5;30.4000015259;31.0;10;37.5260591507;7;35.9918403625;67.8877868652;21;90.8478120565;
68;5;30.4000015259;31.0;11;37.8327944279;7;35.9918403625;70.9357681274;21;91.3321027756;
69;5;30.4000015259;31.0;11;39.1495249271;7;37.0821876526;70.9461364746;22;91.7868719101;
70;5;31.4000015259;32.0;11;39.4998039007;7;32.0821876526;75.6341094971;24;92.2138596773;
71;5;32.4000015259;33.0;11;39.8646097183;8;30.0821876526;80.6730804443;22;92.6151336432;
72;5;32.4000015259;34.0;11;40.2437330484;8;29.0821876526;82.7108612061;23;92.9929479361;
73;5;32.4000015259;35.0;12;40.6368322372;9;26.0821876526;87.7474517822;23;93.3496339321;
74;6;32.4000015259;36.0;11;42.0434296131;9;24.2999992371;92.7828063965;23;93.5918300152;
75;6;33.4000015259;37.0;11;42.4629091024;9;27.2999992371;88.8169250488;24;93.7856369019;
76;5;32.4000015259;33.0;12;39.2290927172;10;25.0;90.1513519287;20;97.5972747803;
77;5;32.4000015259;34.0;13;39.62302351;10;25.0;96.8814086914;20;97.8459830284;
78;5;32.4000015259;35.0;13;40.0283458233;10;29.0;93.9117736816;21;98.0958003998;
79;5;32.4000015259;36.0;13;40.4439480305;10;27.0;96.9409179688;21;98.346544981;
80;5;30.4000015259;37.4000015259;13;40.86860919;10;26.0;102.968826294;23;98.5980010033;
81;6;31.4000015259;36.4000015259;12;41.3010139465;10;29.0;99.995513916;24;98.8001482487;
82;6;29.4000015259;37.0;12;41.7397668362;10;27.0;101.998138428;27;98.9993143082;
