Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
96;10;40.3514251709;81.3782730103;29;79.2306871414;11;48.9696884155;80.0;16;145.295849204;
97;10;38.6320571899;84.077796936;29;81.0634498596;11;47.9696884155;87.0;17;146.968380332;
98;10;37.9126663208;86.7881011963;30;82.9138021469;12;47.9696884155;91.0;16;148.606182694;
99;10;39.1912841797;84.0812683105;30;85.7681546211;12;47.2999992371;96.0;17;150.214050293;
100;10;39.4659957886;85.3767700195;30;87.6726632118;12;46.2999992371;100.0;21;155.409059763;
101;11;39.6447601318;85.3767700195;30;90.5565948486;13;46.2999992371;106.0;21;160.342318773;
102;11;39.591178894;86.3767700195;31;93.4868755341;13;46.7999992371;111.0;21;164.86738658;
103;11;41.7560462952;88.3767700195;29;95.4368864298;13;48.7999992371;113.0;19;168.991571188;
104;11;44.9124908447;88.6632232666;29;97.3389242887;13;50.7999992371;116.0;19;173.839795113;
105;11;44.0598373413;92.6632232666;29;99.1838780642;13;53.7999992371;121.0;20;178.460930586;
106;11;43.1976127625;97.6632232666;32;100.964290857;13;57.7999992371;124.0;20;184.941125512;
107;11;45.3255691528;101.663223267;31;102.674446702;13;60.2000007629;127.699996948;19;191.583004713;
108;11;46.443649292;101.76058197;32;105.310378075;13;63.2847747803;133.229202271;20;196.410867333;
109;12;47.5283699036;106.842140198;32;106.929798603;13;64.8943023682;137.616271973;20;200.628314853;
110;12;49.6982002258;112.928382874;33;108.474927068;13;65.6330718994;142.892272949;19;204.346496105;
111;12;49.787902832;116.301200867;34;109.946466804;13;67.9836120605;145.0;21;207.409311652;
112;12;51.8689498901;117.124351501;34;111.346271157;14;68.2284622192;149.0;21;210.346750736;
113;12;52.9418716431;123.254447937;35;112.677123785;15;68.3965759277;152.0;22;212.870305181;
114;12;53.0072364807;121.606750488;35;113.902041078;15;69.498085022;154.0;20;214.996724367;
115;12;52.0474090576;123.745506287;34;114.990398884;15;71.5626678467;157.0;18;217.009811878;
116;13;54.0;122.888336182;23;115.925790668;15;73.2310638428;160.0;17;218.890598297;
117;13;54.0;120.035064697;24;116.812271595;15;73.3027038574;161.0;17;220.628113389;
118;13;53.0;123.18548584;25;117.562381148;15;74.3778533936;163.0;19;223.218703389;
119;13;54.0;123.339401245;26;118.301863074;15;74.8562011719;165.0;19;224.724834085;
120;13;53.0;126.677947998;27;118.972546816;15;79.8404083252;169.0;21;226.096625447;
121;13;53.0;128.838043213;28;119.496980667;15;82.6485137939;176.0;23;227.344535589;
122;13;55.0;129.000762939;28;120.030849695;15;86.8963623047;180.0;23;228.391264796;
123;13;56.0;129.165802002;29;121.572820663;15;90.1521148682;184.0;24;229.237241387;
124;13;57.0;132.44670105;29;122.1514709;15;94.4150695801;188.0;28;230.036926031;
125;13;60.0;132.668457031;30;125.423580885;15;98.6844024658;189.0;26;230.795156956;
126;13;59.0;132.221084595;18;128.269888163;16;100.959228516;193.0;23;231.516847849;
127;13;59.0;132.598648071;16;130.74374342;16;105.238510132;197.0;20;232.130084515;
