Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
113;14;49.4000015259;147.141098022;31;110.360077024;15;45.4195365906;127.55921936;27;94.0643186569;
114;14;50.4000015259;148.775817871;32;111.952960968;15;46.7999992371;128.551437378;26;96.7825903893;
115;14;51.4000015259;148.196807861;35;113.454698563;15;48.4560508728;131.543518066;25;99.5496797562;
116;14;50.4909591675;152.402282715;37;114.869365215;15;53.4745063782;129.970291138;26;101.337874889;
117;14;50.4000015259;154.810516357;37;117.095962286;15;57.0870437622;131.40196228;26;103.098363876;
118;14;53.4000015259;153.209915161;38;118.287926912;15;58.406211853;132.835586548;30;104.821999431;
119;14;57.6436729431;151.598999023;33;120.443288326;15;58.6763534546;134.268157959;29;106.500688314;
120;14;60.6963615417;150.976379395;32;121.662402987;15;58.9348487854;136.305038452;29;108.127537251;
121;14;62.4000015259;149.976379395;33;122.844855428;15;56.3250656128;136.726745605;24;109.696945429;
122;15;60.4000015259;158.976379395;27;123.826673627;16;55.4581489563;139.138946533;20;111.204630136;
123;16;65.4000015259;157.976379395;28;124.770280957;16;55.97032547;141.539260864;20;112.647608876;
124;16;69.4000015259;155.976379395;31;125.713355899;16;56.500377655;143.925628662;21;114.024122953;
125;16;66.4000015259;162.976379395;31;126.61619401;16;56.6322669983;146.296340942;22;115.333535433;
126;16;71.4000015259;161.976379395;33;127.51045084;16;56.7575187683;148.650100708;23;116.57619381;
127;16;74.9000015259;158.976379395;34;128.406962752;16;56.8762588501;150.985916138;24;117.753284097;
128;16;73.9000015259;164.976379395;35;130.306017637;16;56.9886932373;153.303192139;25;119.866675615;
129;16;75.9000015259;166.976379395;35;132.327825546;16;59.0950775146;153.601623535;27;120.868384719;
130;16;76.9000015259;168.976379395;36;133.455522656;16;59.195690155;156.881225586;27;121.770234227;
