Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
112;16;64.75;172.0184021;21;128.262673855;13;72.8866119385;166.594329834;34;168.732116818;
113;16;67.75;172.840957642;21;130.827598095;15;72.9954910278;169.778411865;33;169.812392592;
114;15;60.75;173.511199951;19;131.800593734;16;72.0967559814;175.961151123;31;172.296194792;
115;15;62.75;172.528366089;20;134.14834094;16;75.1466522217;177.141983032;33;173.333919406;
116;15;61.75;175.167373657;21;136.471827507;16;75.2782211304;181.320297241;34;174.312908649;
117;15;62.75;174.041122437;22;138.787264109;16;75.3598098755;188.49559021;34;175.241803408;
118;15;65.75;173.62046814;18;141.089149237;16;77.4362945557;192.66734314;33;176.052520275;
119;15;68.75;173.769454956;17;143.372745991;16;79.4878234863;193.835174561;32;177.719957352;
120;15;69.75;179.923873901;18;145.5761199;17;81.7270965576;195.54447937;33;179.455635905;
121;15;75.75;177.083251953;21;147.697565317;17;87.8045272827;196.111480713;32;180.36168015;
122;15;76.75;180.247024536;21;149.802057743;17;89.0526580811;198.265686035;34;186.633680105;
123;14;68.3499984741;173.247024536;22;133.872788429;19;90.5471496582;201.224716187;33;209.610267997;
124;14;71.3499984741;172.247024536;23;135.779894829;19;91.8990859985;207.959640503;33;213.549873352;
125;14;73.8499984741;171.247024536;25;137.67507267;19;94.1820755005;213.519973755;33;216.611427307;
126;14;73.8499984741;173.247024536;25;139.549296856;19;97.4077835083;214.929046631;35;219.269866943;
127;14;76.8499984741;169.247024536;29;141.393203735;19;101.57183075;213.305465698;37;220.888139129;
128;14;74.8499984741;170.247024536;32;143.197259903;19;102.731842041;217.485610962;38;222.337707043;
129;14;74.8499984741;175.247024536;27;144.952035904;19;105.991790771;218.669113159;27;223.71476686;
130;14;79.8499984741;173.165710449;28;146.648537636;19;109.171714783;216.855651855;27;226.144587994;
131;14;80.8499984741;174.165710449;30;148.151196957;21;110.344779968;222.044815063;25;227.745923281;
132;14;80.8499984741;175.165710449;27;149.57568121;21;113.521789551;226.236236572;22;229.374816537;
133;14;82.8499984741;171.165710449;26;150.939936161;21;116.694114685;223.429443359;21;231.019426584;
134;14;79.8499984741;176.165710449;27;152.23737812;21;116.07938385;231.281738281;21;232.639668822;
135;14;81.8499984741;180.165710449;28;153.463275433;21;119.326217651;236.574935913;22;234.299646616;
136;14;83.8499984741;184.165710449;29;154.614695072;21;122.578330994;241.578842163;23;235.989781737;
137;14;84.8499984741;184.165710449;29;155.690363407;21;125.834823608;246.872619629;29;238.699052215;
138;14;84.8499984741;184.165710449;31;156.690459728;21;130.094680786;253.165618896;29;241.445379496;
139;14;83.8499984741;185.165710449;32;157.616369247;21;135.796768188;257.45715332;31;249.74010694;
140;14;85.8499984741;182.165710449;33;158.470432281;21;140.499725342;261.846435547;33;256.308679342;
141;15;86.8499984741;178.165710449;33;161.272194624;21;139.399749756;263.737670898;34;259.420807719;
