Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
109;18;65.3409500122;141.224761963;33;135.831290007;9;30.5619277954;96.2698822021;10;59.9619966745;
110;18;66.9214019775;146.329666138;34;137.171319783;9;29.5457344055;97.4428863525;9;60.1302173734;
111;18;67.9967651367;151.03137207;34;138.565134943;9;28.5311603546;97.4186019897;6;60.3002693653;
112;19;68.072555542;155.129745483;34;142.181567371;8;26.5180435181;92.7495346069;6;58.255048275;
113;20;69.1481399536;159.224700928;33;152.420967698;7;24.5062408447;88.6945800781;9;49.8694664538;
114;20;69.2229232788;166.316162109;34;154.687967539;7;25.4956169128;86.6451187134;9;49.7825202942;
115;20;69.296333313;172.404144287;35;157.017840207;7;24.4860534668;87.6006164551;9;49.7042683661;
116;20;75.9886398315;180.488601685;35;159.389359176;7;24.4774494171;85.4944152832;10;49.6338418126;
117;21;78.6760559082;188.059570312;36;161.776717484;7;25.4697036743;83.2649688721;11;49.5704574287;
118;22;79.7719573975;191.07862854;35;164.150525212;7;26.4627342224;82.2384796143;12;49.5134126395;
119;22;81.9155349731;195.003570557;35;166.41848135;7;27.4564609528;81.214630127;12;49.4620712847;
120;22;81.2667922974;196.046768188;41;168.602051497;7;28.4508132935;80.1931610107;13;49.415863201;
121;22;81.6393432617;198.083084106;41;170.685307384;7;27.4457321167;82.1846923828;14;49.8270893842;
122;22;84.7665405273;197.122512817;42;172.643963754;7;27.441160202;84.3870697021;15;50.2438339889;
123;22;91.4165039062;197.162948608;43;175.459956884;7;26.4370441437;86.5914306641;16;50.6623848677;
124;22;96.7389221191;200.204269409;45;178.188437819;7;26.4333381653;88.7959213257;17;51.0790479183;
125;22;99.9093933105;203.252853394;45;179.862697721;7;27.4300041199;87.9987030029;18;51.4902653992;
126;22;106.092071533;205.30506897;47;182.181568027;7;26.4270057678;89.2250061035;18;51.8927260935;
127;22;107.589782715;212.243484497;47;184.294176579;7;26.4243049622;90.4282531738;19;52.2834607661;
128;22;112.198486328;213.789886475;49;186.17179215;7;27.421875;88.6254272461;20;52.6599256396;
129;22;115.644210815;215.576446533;50;187.913978398;7;26.4196853638;89.8152923584;23;53.0200567245;
130;22;119.099227905;217.516586304;51;189.541509032;7;26.41771698;90.9968261719;26;53.3622974455;
131;22;123.155853271;219.461791992;52;191.075908959;7;26.4159469604;93.9066467285;26;53.6855929494;
132;22;124.89365387;219.411102295;54;192.218042254;7;28.414352417;87.6908950806;26;53.9893804193;
133;23;127.604812622;220.363586426;54;193.263156533;7;28.4129161835;87.7016906738;27;54.2735423148;
134;23;131.239196777;222.325210571;56;194.22428751;7;29.4116249084;87.7135314941;28;54.538351804;
135;23;135.774078369;221.298141479;58;195.161054075;7;31.4104614258;84.7264556885;28;54.7844201922;
136;23;138.263259888;223.276321411;61;196.110641181;7;28.4094161987;86.7404632568;29;55.0126165152;
137;24;134.743530273;231.758056641;63;197.120563567;7;27.4084739685;88.7555923462;30;55.2240196466;
138;24;134.258163452;238.742736816;62;198.185758233;7;27.4076271057;87.7718658447;32;55.4198482633;
139;24;134.80506897;242.724060059;65;200.299353302;7;26.4068641663;89.7893218994;33;55.6014119387;
140;24;135.779037476;249.077972412;66;201.512687206;7;27.4061775208;88.8079986572;33;55.7295974493;
141;24;138.377090454;252.061538696;67;202.375075698;7;26.4055595398;90.827911377;32;55.7711702585;
142;24;139.76109314;255.906021118;68;203.294511259;7;27.405002594;89.8491134644;33;55.8154692054;
143;24;140.247360229;259.762786865;69;205.254942596;7;27.4045028687;88.8716430664;34;55.8625586033;
144;25;141.870483398;264.505340576;69;206.330296755;7;26.4040527344;90.8955230713;34;55.9125084281;
145;25;143.323486328;269.384918213;71;207.422124863;7;27.4036483765;89.9207992554;34;55.9653849602;
146;25;144.906829834;274.275390625;71;208.51627779;7;27.4032821655;88.9475021362;34;56.0212527514;
147;25;146.377578735;279.176483154;73;209.804452538;7;26.4029541016;90.9756774902;35;56.0801774263;
148;26;149.857696533;278.070892334;72;211.860819101;7;27.4026603699;90.0053634644;36;56.142215848;
149;26;148.763031006;283.229370117;73;213.825089872;7;27.4023933411;89.0365829468;37;56.2074246407;
150;26;149.277053833;288.402984619;73;216.737453103;7;26.4021530151;91.0693664551;38;56.2758475542;
