Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
69;7;33.7240142822;46.5366249084;18;42.8892337084;5;32.4000015259;40.5080490112;16;36.6949810982;
70;7;32.1246299744;48.9879264832;18;43.8700418472;5;30.4000015259;40.5343399048;16;37.0740194321;
71;7;31.5353660583;51.6393661499;19;44.5223947763;5;31.4000015259;41.5611457825;17;37.4452358484;
72;7;32.4000053406;50.9278526306;19;45.9669106007;6;29.4000015259;44.5884399414;16;37.8081262112;
73;7;33.5999984741;51.3051719666;18;46.4584599733;6;30.4000015259;44.1002578735;18;38.1622741222;
74;7;34.7291412354;52.827331543;19;46.9575945139;6;31.4000015259;46.0625915527;18;38.507344842;
75;7;34.4680328369;53.5345649719;19;47.4636269808;6;30.4000015259;46.0912284851;18;38.8430761099;
76;7;33.5999984741;56.6536140442;19;47.9758120775;6;30.4000015259;47.1202659607;19;39.1692713499;
77;7;33.5999984741;58.4043540955;21;48.4933462143;6;31.4000015259;49.1496696472;19;39.4857912064;
78;8;34.5356330872;57.6872901917;11;49.0153695345;6;29.4000015259;48.4947357178;20;40.7925491333;
79;8;33.5999984741;58.9111633301;10;49.5409712791;7;31.4000015259;47.5970077515;19;40.9986523986;
80;8;32.5800094604;59.1371383667;11;50.0691910982;7;33.4000015259;49.6983680725;19;41.1540901661;
81;8;31.601896286;60.3647727966;12;50.59902668;7;34.4000015259;51.7985877991;19;41.3113436103;
82;8;30.6235408783;61.5936126709;12;51.1294356585;7;34.4000015259;53.8974609375;20;41.469583869;
83;8;28.6000003815;63.8231925964;12;51.6593463421;7;34.4000015259;53.3235321045;20;41.6280596852;
84;8;27.6000003815;65.8296737671;14;52.1876643896;7;33.4000015259;55.3670463562;21;41.7860933542;
85;8;26.6000003815;67.0938339233;15;52.7132827044;8;33.4000015259;57.4106941223;20;42.9430802464;
86;8;25.6000003815;68.3566436768;15;53.2350912094;8;35.4000015259;56.5282211304;21;43.0234842896;
87;8;24.6000003815;69.6175460815;15;53.7519881725;8;35.4000015259;61.5282211304;20;43.1093347669;
88;8;24.0;70.8759918213;16;54.2628911734;8;34.8000030518;66.3678436279;20;43.1994722486;
89;9;24.0;72.1314468384;15;54.7667505741;8;35.2780532837;67.4114837646;22;43.2928711176;
90;9;24.0;71.628364563;16;55.2524302006;9;32.8000030518;71.4549789429;22;43.3886271715;
91;9;24.0;74.6262207031;16;55.6945933104;9;31.8000011444;74.983291626;22;43.4859465957;
92;9;24.0;75.8472976685;18;56.1284601688;9;31.8000011444;74.9953460693;21;44.5841364861;
93;9;24.0;77.0642318726;20;56.5532015562;9;30.8000011444;79.0102081299;24;44.6575956941;
94;9;24.0;78.2766036987;19;56.968067646;9;30.8000011444;82.4495697021;22;44.7333046794;
95;9;25.0;70.3622665405;18;58.3723959923;9;30.1243400574;85.0833892822;23;44.810567677;
96;9;25.0;71.2620162964;19;58.9456148148;9;30.706905365;85.1184768677;23;44.8887812495;
97;9;26.0;74.3435592651;19;59.5375227928;9;29.3999996185;88.4934768677;22;44.9105926156;
98;9;27.0;76.4230575562;20;60.1508253813;9;29.6770935059;90.1890258789;24;44.9250120819;
99;9;26.0;80.7220611572;21;60.7247344255;9;31.6643829346;86.224281311;24;44.9428306818;
100;10;26.0;82.0138092041;20;61.297478199;9;29.6529445648;88.2593994141;25;44.9635712206;
101;10;27.0;79.066947937;21;61.9028513432;9;29.3999996185;90.5773925781;25;46.8155811727;
102;11;26.0;83.1070175171;20;62.5540345907;9;30.9939994812;89.3361968994;26;48.6931588948;
103;11;28.0;81.8926544189;21;63.2549538612;9;30.8506278992;90.6072540283;27;50.5693879426;
104;11;29.3500003815;82.9845733643;21;64.008710146;9;31.188117981;92.4804534912;27;52.4173628986;
105;11;30.3500003815;84.2452468872;22;64.8013410568;9;32.764591217;91.0524139404;27;55.2120575905;
106;11;31.3500003815;84.3734512329;23;66.6446583271;9;34.3126945496;91.2248382568;28;56.9919672608;
107;12;33.3499984741;85.4935455322;23;67.5157617331;9;34.8235549927;94.3990020752;29;58.6832603216;
108;12;35.3499984741;85.2085723877;24;68.4373733401;9;36.2906799316;94.5743789673;29;60.2744963765;
109;12;36.3499984741;87.3186264038;26;69.4016051292;9;35.5933990479;96.3972244263;30;61.7594872117;
110;13;38.3499984741;88.8238067627;22;85.3729116321;9;35.2906799316;95.9265213013;30;63.1367815137;
