Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
62;3;24.3999996185;27.0;12;31.2131046057;4;36.3887786865;32.7053031921;10;33.179899931;
63;4;24.3999996185;28.0;11;31.4348803759;4;33.7406578064;34.6612319946;10;33.6601288319;
64;4;24.3999996185;29.0;12;31.670904398;4;32.7667045593;35.7800216675;9;34.1005192995;
65;4;24.3999996185;29.5509490967;12;31.9212573767;4;32.4000015259;36.8812675476;10;34.5433450937;
66;4;24.3999996185;29.5614051819;13;32.1858429909;5;32.4000015259;37.2716751099;11;34.9875073433;
67;4;24.3999996185;29.5719451904;14;32.4643647671;5;32.4000015259;37.4937515259;10;35.4319508076;
68;4;24.3999996185;29.5825614929;14;32.7563061714;5;32.4000015259;35.5065956116;11;35.8756699562;
69;4;24.3999996185;29.5932502747;14;33.0609158278;5;32.4000015259;35.6113319397;12;36.3177124262;
70;4;24.3999996185;29.6040077209;15;33.3771983385;5;31.4000015259;34.6113319397;12;36.757179141;
71;5;24.3999996185;29.6148319244;14;33.7039134502;5;31.4000015259;34.6113319397;12;37.193223238;
72;5;24.3999996185;29.6257171631;14;35.5063718557;5;29.4000015259;36.6113319397;12;37.6250450611;
73;5;24.8199996948;30.3366584778;14;36.981470108;5;30.4000015259;37.983997345;12;38.0518898964;
74;5;25.1375198364;30.8768501282;15;38.1839972734;5;31.4000015259;39.9341621399;13;38.4730429649;
75;5;25.369758606;31.2749557495;15;39.1731904745;5;30.4000015259;38.0649528503;13;38.8878247738;
76;5;25.5353660583;31.5620517731;16;39.8313444853;5;30.4000015259;39.0649528503;13;39.2955892086;
77;6;25.6000003815;31.680896759;15;40.2761440277;6;31.4000015259;41.0649528503;12;52.4457187653;
78;6;25.6000003815;31.0;14;40.7194725275;6;33.4000015259;44.3402252197;13;53.6345043182;
79;6;25.6000003815;31.7032337189;14;41.1577752829;6;34.4000015259;47.3974990845;13;54.7563683987;
80;6;23.6000003815;32.7144393921;15;41.5876224041;6;33.4000015259;48.8686141968;13;55.803691864;
81;7;22.6000003815;33.7256622314;14;43.0058239698;6;33.4000015259;50.9688873291;15;56.6833457947;
82;7;22.6000003815;35.7369003296;14;43.4495264292;7;31.4000015259;55.068069458;14;57.4892187119;
83;7;22.6000003815;37.0;14;43.8774738312;7;32.4000015259;56.268283844;14;58.2236018181;
84;7;21.6000003815;39.0;15;44.287694931;7;33.4000015259;57.8290481567;14;58.8896019459;
85;8;22.6000003815;39.0;14;44.6787097454;7;32.4000015259;57.9604034424;14;59.491704464;
86;8;23.6000003815;40.0;14;46.0495281219;7;32.4000015259;59.0891189575;25;60.0351960659;
87;8;25.6000003815;43.0;14;46.3996261358;8;33.4000015259;61.2148666382;16;80.5256867409;
88;8;27.6000003815;46.0;14;46.7289075851;8;33.4000015259;62.3373527527;16;82.7126674652;
89;8;28.6000003815;50.0;15;47.0376485586;8;34.4000015259;64.4563293457;17;84.5127940178;
90;8;29.6000003815;54.0;15;47.3264362812;9;35.4000015259;66.7715911865;16;86.0513503551;
91;8;29.6000003815;58.0;15;47.5961043835;9;35.4000015259;64.8829727173;16;87.3311536312;
92;8;29.6000003815;61.0;15;47.8476724625;9;34.4000015259;66.9903335571;16;89.3744380474;
93;8;29.6000003815;64.0;16;48.0822861195;9;36.4000015259;71.0935974121;16;90.2941218615;
94;8;29.6000003815;67.0;16;48.3011654615;9;36.4000015259;75.3897705078;17;92.8981922865;
95;8;29.6000003815;69.8819351196;16;48.4508165121;9;36.4000015259;78.9331359863;17;95.1705396175;
96;8;29.6000003815;71.8928375244;17;48.5280306339;9;36.4000015259;82.4837112427;17;96.998355031;
97;8;30.6000003815;70.903678894;17;48.6060124636;9;36.4000015259;86.5343780518;17;99.6646609306;
98;8;29.6000003815;72.1584243774;18;48.6847048998;9;38.4000015259;88.0778045654;19;101.292116642;
99;8;29.6000003815;73.2092285156;19;48.7640470266;9;37.8000030518;92.6068725586;19;102.782121539;
100;8;30.6000003815;71.2605133057;21;48.8439749479;9;36.8000030518;97.1150665283;20;104.147253156;
101;8;29.6000003815;72.3122406006;22;48.9244215488;9;35.8000030518;101.596847534;24;105.401403189;
102;8;29.6000003815;73.3643569946;22;49.0053164959;9;35.8000030518;103.04788208;26;108.634084702;
103;8;30.6000003815;71.4168243408;23;49.0865870714;9;34.3940010071;107.232452393;28;111.861265898;
