Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
87;6;40.4500007629;68.9211807251;19;98.0042181015;4;34.2000007629;66.2250137329;16;64.216792345;
88;6;39.4500007629;72.9211807251;19;98.1951537132;4;34.2000007629;66.3517532349;17;64.4028260708;
89;6;39.4500007629;76.9211807251;23;98.3812828064;4;34.2000007629;66.4819793701;18;64.5932881832;
90;7;39.4500007629;77.9211807251;21;108.562273741;4;34.2000007629;66.6152954102;19;64.7875669003;
91;8;41.4500007629;81.2881317139;20;109.214283943;4;34.2000007629;66.7512969971;18;64.984991312;
92;8;41.4500007629;84.3000030518;20;109.817396164;4;34.2000007629;66.8894958496;18;65.1848387718;
93;9;42.2034683228;84.3000030518;17;110.385277271;4;34.2000007629;67.0293884277;19;65.3863453865;
94;9;40.4500007629;85.3000030518;19;110.915707588;4;34.2000007629;67.1704406738;20;65.5887160301;
95;10;41.4500007629;86.3000030518;18;111.407499313;4;34.2000007629;67.3121032715;21;65.7911372185;
96;10;40.4500007629;86.3000030518;18;111.860406399;4;34.2000007629;67.4537963867;21;65.9927897453;
97;10;40.4500007629;87.3000030518;20;112.274997711;4;34.2000007629;67.5949554443;22;66.192861557;
98;10;41.4500007629;89.3000030518;23;112.652507305;4;34.2000007629;67.7350006104;23;66.3905611038;
99;10;43.4500007629;88.3000030518;23;112.994677067;4;34.2000007629;67.8733901978;23;66.5851302147;
100;10;43.4500007629;90.3000030518;24;113.303610325;4;34.2000007629;68.0095901489;23;66.7758550644;
