Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
82;6;24.2999992371;34.0;12;43.0746175647;8;39.8524017334;54.7854766846;11;51.6453492641;
83;6;24.2999992371;34.0;12;43.3497532606;8;39.8848190308;56.829208374;11;51.9657821655;
84;6;24.2999992371;35.4133453369;12;43.6244578362;8;39.9166183472;58.8728675842;9;52.2840468884;
85;6;22.4195728302;37.0;11;43.8978725672;8;36.9166183472;59.9164009094;10;52.5997717381;
86;6;22.1316337585;36.3348083496;13;44.1692257524;9;36.9166183472;58.9597549438;10;53.9125916958;
87;6;20.3968544006;38.0;13;44.4378121495;9;33.7999992371;64.0028762817;10;54.4221484661;
88;6;19.3871688843;40.0;14;44.6848891675;9;32.7999992371;69.045715332;13;54.9656919241;
89;7;21.3441123962;36.0;13;44.8476490974;9;32.7999992371;73.7315368652;13;55.5489090681;
90;7;22.3111248016;35.0;14;45.0147727132;9;32.7999992371;77.8059997559;13;56.9263887405;
91;7;23.4202346802;34.0;13;45.1850485206;9;33.7999992371;79.2555389404;14;58.383503437;
92;7;24.4021625519;34.1779327393;11;45.3573060483;10;33.7999992371;80.6809158325;11;59.9216299057;
93;7;22.4473686218;35.0;11;45.5304238796;10;33.7999992371;79.8143615723;11;61.5415182114;
94;7;21.5384483337;36.0;12;45.7033407688;11;31.7999992371;81.3409729004;10;64.242919445;
95;7;19.2999992371;37.0;12;45.8750623912;11;31.7999992371;84.4792556763;11;66.0840668678;
96;7;19.3375225067;38.0;13;46.0446709394;12;31.7999992371;87.6192092896;11;68.0040016174;
97;8;19.3557510376;39.0;12;46.2113316655;12;31.7999992371;87.7602996826;12;69.9960030317;
98;8;19.3936786652;40.0;13;46.3742970079;12;30.0;90.9019699097;12;72.0497903824;
99;8;19.4307346344;41.0;13;46.5329116583;12;32.0;92.6531448364;13;74.1510111094;
100;8;19.4667720795;42.0;14;46.6866125688;12;31.0;92.7942657471;14;77.281088233;
