Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
135;6;23.6000003815;58.1138381958;10;45.9190707207;10;24.4933547974;105.721801758;16;68.7744636536;
136;6;23.6000003815;59.1979751587;13;46.2143418789;10;23.5234184265;108.78805542;16;69.0812094212;
137;6;23.6000003815;60.2828140259;11;46.5096840858;10;24.5531749725;108.856460571;15;69.3831429482;
138;6;23.6000003815;61.3681640625;13;46.8044776917;10;24.5825862885;108.926948547;16;69.6800162792;
139;6;22.6000003815;60.4538192749;13;47.098099947;10;23.611623764;111.999450684;17;69.9716279507;
140;6;22.6000003815;60.5395698547;12;47.389929533;10;25.6402587891;109.073875427;19;70.2578194141;
141;6;23.6000003815;61.6252059937;13;47.6793534756;10;24.6684627533;109.150108337;20;70.5384659767;
142;6;22.6000003815;60.7105178833;12;47.9657716751;10;23.6962089539;112.228034973;21;70.8134739399;
143;6;22.6000003815;60.7952957153;13;48.2486038208;10;24.7234783173;114.307525635;21;71.0827722549;
144;6;23.6000003815;61.8793449402;14;48.5272934437;10;25.7502441406;109.28842926;22;71.3463079929;
145;6;22.6000003815;60.9624633789;13;48.8013134003;10;23.7764892578;112.37059021;22;71.6040420532;
146;6;22.6000003815;61.0444602966;14;49.0422286987;10;23.8021965027;115.453826904;23;71.794655323;
147;6;23.6000003815;62.1251602173;14;49.2663111687;10;25.8273468018;112.537963867;22;71.9650259018;
148;6;22.6000003815;61.2043991089;14;49.4855685234;10;23.8519306183;115.622802734;22;72.1349627972;
149;6;22.6000003815;61.2820205688;14;49.6996192932;11;24.8759346008;115.708152771;21;72.3041543961;
150;6;20.0;63.3578796387;15;49.9081234932;11;27.8993492126;110.793807983;24;72.4722878933;
151;6;20.0;65.431854248;16;50.1107845306;11;26.922164917;111.879562378;21;72.6390521526;
152;6;20.0;67.5038299561;15;50.3073496819;11;24.9443798065;114.965194702;21;72.8041393757;
153;6;21.0;66.57371521;16;50.4976100922;11;25.9659862518;112.050506592;23;72.9672489166;
154;6;20.0;68.6414260864;16;50.6813998222;11;23.9869842529;115.135284424;23;73.1133489609;
155;6;20.0;70.7069015503;17;50.8585953712;11;25.0;114.219329834;24;73.2320871353;
156;6;21.0;69.7700805664;17;51.0291137695;11;26.0;111.302452087;24;73.3492274284;
157;6;21.0;68.8309326172;17;51.1929101944;11;24.0;114.38444519;24;73.464515686;
158;6;20.0;70.8894424438;18;51.3499755859;11;24.0;119.465148926;25;74.5777130127;
