Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
87;8;34.4000015259;64.6206970215;16;43.0163152218;7;23.5999984741;50.1155853271;12;36.7775332928;
88;8;32.2200012207;63.3565635681;17;42.3196108341;7;22.5999984741;52.1155853271;11;37.0555343628;
89;9;34.0579986572;66.1188430786;16;43.1029289961;7;21.5999984741;54.1155853271;11;37.335555315;
90;9;36.3054199219;69.2296905518;16;43.5447304249;7;20.5999984741;56.1155853271;12;37.6171257496;
91;9;36.4000015259;70.0541610718;17;44.7743707895;8;19.5999984741;58.1155853271;11;37.8997590542;
92;9;37.4000015259;71.1367721558;19;45.031927228;8;18.5999984741;60.1155853271;11;38.1829550266;
93;9;38.4000015259;72.2186660767;19;45.2879040241;8;18.0;61.5439491272;12;38.4662041664;
94;9;38.4000015259;77.7171401978;20;45.5422215462;8;18.0;62.5786933899;12;38.7489902973;
95;9;38.4000015259;80.7630310059;21;45.7948102951;8;18.0;63.6126327515;12;39.0307943821;
96;10;38.4000015259;83.8093643188;18;48.9464662075;7;16.0;59.6457519531;11;36.2913324833;
97;10;39.4000015259;87.8561248779;19;49.314332366;7;16.0;60.6780395508;10;36.4494326115;
98;11;40.4000015259;91.9032669067;20;49.6311882734;7;16.0;61.709487915;10;36.6040077209;
99;11;40.4000015259;95.9507751465;20;49.9400746822;7;16.0;62.7400856018;10;37.754850626;
100;11;40.4000015259;99.9986038208;21;50.2506842613;7;17.0;64.7698287964;10;38.0217782259;
