Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
65;6;32.3616943359;39.7999992371;15;48.1139545441;8;35.5999984741;49.905166626;7;43.3202668428;
66;6;32.4512786865;40.4000015259;16;48.3149642944;8;35.5999984741;50.0348587036;8;44.072283268;
67;6;32.5417327881;40.4000015259;17;48.5171217918;8;35.9072189331;52.7288513184;9;44.8452938795;
68;7;32.6327056885;42.4000015259;16;48.7196187973;8;35.9607505798;55.7838249207;10;45.637901783;
69;7;32.7238273621;43.4000015259;16;48.9216365814;9;36.261932373;56.8420829773;9;46.4484711885;
70;7;32.8147354126;44.4000015259;18;49.122358799;9;32.847076416;61.9036865234;10;47.2751364708;
71;8;32.9050598145;45.4000015259;18;49.3209853172;9;29.5999984741;66.9686889648;12;48.1158229113;
72;8;32.9944419861;46.4000015259;18;49.5167450905;9;28.5999984741;71.4938812256;14;48.9682707787;
73;8;33.08253479;47.4000015259;18;49.7089076042;9;30.5999984741;72.9686889648;14;49.8300691843;
74;8;31.08253479;49.4000015259;19;50.8967928886;9;32.5999984741;75.9686889648;17;50.6986935139;
75;8;32.5999984741;50.4000015259;19;51.2297824621;9;34.3358840942;78.9686889648;19;51.5715471506;
76;8;34.5999984741;52.4000015259;19;51.5781002045;9;33.3358840942;82.9686889648;20;52.4460035563;
77;8;35.5999984741;54.4000015259;19;51.9435976744;9;33.5999984741;86.9686889648;22;53.3194491863;
78;8;33.5999984741;58.4000015259;20;52.3282923698;9;35.5999984741;87.9686889648;23;54.189324379;
79;8;32.5999984741;62.4000015259;20;52.7343138456;9;37.5999984741;90.9686889648;24;55.0531580448;
80;9;32.5999984741;66.1925735474;19;53.1638281345;9;39.5999984741;93.7824020386;25;55.9085996151;
81;9;32.5999984741;69.3036804199;19;53.6189391613;9;38.5999984741;96.8435745239;26;56.7120203972;
82;9;33.5999984741;68.4278564453;21;54.1015617847;9;40.5999984741;98.828704834;27;57.4863140583;
83;9;34.5999984741;68.56590271;21;54.6132748127;10;42.5999984741;100.348419189;28;58.2490792274;
84;9;35.5999984741;70.4278564453;22;55.1551516056;10;43.4216918945;100.782279968;28;58.9985415936;
85;9;33.5999984741;73.4278564453;22;55.7275791168;10;43.5175132751;101.014320374;28;59.7331044674;
86;9;32.5999984741;76.4278564453;22;56.3300771713;10;43.6073989868;101.243881226;30;60.4513497353;
87;9;33.5999984741;76.4278564453;24;56.9611358643;10;41.6073989868;102.470367432;33;61.152033329;
88;9;33.5999984741;76.4278564453;24;57.6180891991;10;42.6073989868;101.693206787;32;61.8340790272;
89;9;32.5999984741;79.4278564453;25;58.2970480919;10;43.6073989868;107.304290771;33;63.4965715408;
90;9;33.5999984741;79.4278564453;26;58.9568367004;10;44.908493042;108.605392456;33;64.1787486076;
91;9;33.5999984741;79.4278564453;27;59.5859546661;10;45.9699134827;109.89906311;34;64.8411772251;
92;9;32.5999984741;82.4278564453;27;60.224240303;10;46.0262451172;111.184677124;35;65.4833786488;
93;9;32.5999984741;85.7278518677;28;60.8637371063;10;46.0777626038;112.461700439;36;66.0499905348;
94;10;33.5999984741;85.7278518677;27;61.4962768555;11;46.0999984741;113.729629517;37;66.5557819605;
95;10;32.5999984741;88.7278518677;28;62.1138887405;11;46.0999984741;114.988082886;38;67.0493857861;
96;10;32.5999984741;91.7278518677;29;62.7092037201;11;46.0999984741;116.236747742;38;67.53013587;
97;10;35.5999984741;85.7278518677;29;63.2758054733;11;46.0999984741;117.475364685;40;69.936183095;
98;10;32.5999984741;88.7278518677;29;63.8084964752;11;46.0999984741;121.085403442;42;72.3971171379;
99;10;32.5999984741;91.7278518677;30;64.3034496307;11;46.0999984741;124.719650269;42;74.8912367821;
100;10;34.5999984741;88.7278518677;31;64.7582530975;11;48.0999984741;123.519439697;42;77.395383954;
101;10;33.5999984741;88.7278518677;31;65.1718435287;11;46.0999984741;128.320083618;42;79.8858752251;
102;10;32.5999984741;91.7278518677;32;66.3243641853;11;46.0999984741;133.111801147;42;82.3395116329;
103;10;33.5999984741;91.556854248;32;67.4395451546;11;46.0999984741;137.88508606;43;84.7345504761;
