Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
148;13;78.2722854614;138.158691406;44;128.077260494;20;138.635482788;261.733154297;66;253.590703726;
149;13;79.2550582886;143.158691406;45;128.328604221;20;142.698287964;270.733154297;67;254.360963106;
150;13;83.2395553589;142.158691406;45;128.571938038;20;137.763198853;284.8515625;62;255.152382731;
151;13;84.2256011963;144.158691406;37;128.80697155;20;135.572937012;295.959075928;59;256.963659406;
152;13;87.2130355835;143.158691406;37;129.033489227;20;136.600738525;306.494659424;59;257.853116035;
153;13;89.2017364502;142.158691406;37;129.251346111;20;138.781677246;318.132873535;60;259.173873186;
154;13;90.1915588379;144.158691406;40;129.460459709;20;140.117645264;329.398132324;62;260.506825328;
155;11;67.9000015259;133.158691406;40;100.568102837;22;141.348434448;342.670593262;57;290.94876194;
156;11;68.9000015259;132.158691406;41;100.768981934;22;143.979217529;357.949981689;58;292.276975036;
157;11;68.9000015259;134.158691406;42;100.911860943;22;146.209121704;368.785827637;61;293.599372506;
158;11;69.9000015259;133.158691406;41;100.987800121;22;146.437286377;382.077636719;64;294.909543991;
159;11;69.9000015259;132.158691406;42;101.0;22;151.626052856;383.374938965;65;296.201366305;
160;11;68.9000015259;134.158691406;42;101.0;22;150.885009766;390.677154541;66;297.469140291;
161;11;69.9000015259;133.158691406;43;101.0;22;150.103012085;402.983673096;67;299.459707856;
162;11;69.9000015259;132.158691406;44;101.0;22;156.501251221;400.524810791;72;301.366029859;
163;10;68.9000015259;134.158691406;45;101.0;23;154.892196655;408.086853027;72;303.251611471;
164;10;67.9000015259;139.158691406;45;101.0;23;156.281204224;418.668151855;72;304.486396551;
165;10;68.9000015259;141.158691406;45;101.0;23;163.543106079;411.960327148;73;305.644411802;
166;10;68.9000015259;143.158691406;46;101.0;23;159.917831421;420.261138916;77;306.808024645;
167;10;69.9000015259;142.158691406;46;101.0;23;161.205444336;429.261138916;78;307.971585989;
168;10;68.9000015259;145.158691406;46;101.0;23;165.536773682;429.261138916;78;310.129842281;
169;10;69.9000015259;145.158691406;40;101.0;24;165.814361572;433.261138916;79;311.357944608;
170;10;69.9000015259;142.158691406;40;101.0;24;166.729248047;443.261138916;83;312.576981425;
171;10;68.9000015259;144.158691406;39;101.0;24;172.018341064;441.261138916;83;313.783144951;
172;10;69.9000015259;143.158691406;39;101.0;24;168.704223633;451.261138916;84;314.972994685;
173;10;69.9000015259;142.158691406;41;101.0;25;170.060470581;458.261138916;84;316.143442392;
174;10;68.9000015259;145.158691406;42;101.719999313;25;172.934875488;455.261138916;88;317.291735053;
175;10;68.9000015259;146.158691406;42;102.42387104;25;169.299606323;461.261138916;89;319.415436625;
176;10;70.9000015259;142.158691406;43;103.108635426;25;169.693435669;468.261138916;89;320.662414551;
177;10;67.9000015259;147.158691406;43;103.771641731;25;172.052902222;471.261138916;90;322.827921987;
178;10;68.9000015259;149.158691406;43;105.41060257;25;170.415969849;481.546386719;94;340.481353402;
179;10;71.9000015259;146.158691406;45;106.053616762;25;174.68208313;492.151702881;95;357.01827836;
180;10;70.9000015259;149.158691406;47;106.669770479;25;182.513137817;525.05847168;95;370.722466707;
181;10;71.9000015259;152.158691406;47;107.25794673;25;188.919265747;537.931396484;98;382.569952607;
182;10;73.9000015259;153.158691406;47;107.817409277;25;195.019424438;548.89642334;107;392.721737742;
183;10;73.9000015259;157.158691406;48;108.347781062;25;200.847930908;561.641479492;108;401.054431438;
184;10;74.9000015259;155.158691406;49;108.849015832;25;206.388168335;570.558898926;110;408.02205658;
185;10;74.9000015259;156.158691406;51;109.321363449;25;205.420715332;574.453186035;118;413.745209217;
186;11;73.9000015259;160.158691406;50;109.765331507;26;206.905303955;580.378417969;109;417.413826227;
