Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
77;6;39.9497375488;44.8922767639;10;54.033074379;12;49.2000007629;112.044631958;17;125.320678473;
78;6;40.2001838684;46.0;10;54.8537266254;12;48.2000007629;117.751083374;19;125.971857071;
79;6;40.3301544189;46.8713302612;11;55.6883399487;12;49.2000007629;119.833236694;19;126.473617077;
80;6;40.4393882751;46.9133453369;12;56.4779803753;12;48.2000007629;124.916473389;20;126.936365843;
81;7;40.5;46.9564208984;11;57.1976687908;12;49.2000007629;127.000610352;18;127.361586571;
82;7;40.5;47.00050354;11;57.9819493294;12;56.0261154175;129.085449219;18;127.751365185;
83;7;40.5;47.0455131531;10;58.8283751011;12;60.4751358032;134.170806885;19;128.108179808;
84;7;40.5;47.0913696289;11;60.7318181992;12;63.7873764038;136.256454468;21;128.434720039;
85;7;45.5;48.1379928589;11;61.6842417717;12;64.4434738159;138.342208862;22;128.733736038;
86;7;48.5;49.1852722168;11;62.6747136116;12;64.4733734131;140.427841187;23;128.872167349;
87;7;50.7500038147;50.2331237793;12;63.6897268295;12;64.4855651855;142.513153076;24;128.993282318;
88;8;51.7500038147;52.2814254761;11;64.7138464451;12;62.4993286133;145.597930908;26;129.113348961;
89;8;51.7500038147;52.3300743103;11;64.8641411066;12;61.5113334656;148.681976318;29;129.232087135;
90;8;50.6950035095;52.6594810486;11;65.0695806146;12;62.5232086182;148.765106201;26;129.349227428;
