Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
76;5;24.0535755157;31.0;14;70.2774016857;9;33.1224021912;53.0906562805;17;66.6243849993;
77;5;25.2999992371;32.0;13;70.4588325024;10;31.0694007874;55.1319732666;16;67.8573980331;
78;5;28.0782356262;31.0;13;70.5121388435;10;30.4818229675;56.1743354797;16;68.9306291342;
79;5;28.4652309418;32.0;12;70.564394474;10;28.1848716736;60.2177276611;18;69.947671175;
80;5;25.6749992371;35.0;12;70.6155650616;10;28.5499992371;62.3202171326;18;71.9080802202;
81;5;24.6749992371;37.8077850342;13;70.6656200886;10;32.5499992371;66.174331665;18;72.8395996094;
82;5;24.4997634888;38.0;13;70.714533329;10;35.5499992371;71.174331665;17;73.6081311703;
83;5;23.5107688904;40.0;14;70.7622823715;10;35.5499992371;73.174331665;21;74.3494920731;
84;5;22.5215129852;40.0;14;70.8088488579;10;36.5499992371;76.174331665;21;75.0646408796;
85;5;22.5319900513;41.0;15;70.8542180061;10;34.5499992371;81.174331665;21;75.7551143169;
86;8;24.1671981812;40.0;13;81.898378849;10;35.5499992371;83.174331665;20;76.4228042364;
87;8;27.1771354675;42.0;13;82.5913242102;10;36.5499992371;86.174331665;20;77.0697606802;
88;8;29.1867980957;44.0;13;83.2763249874;10;37.5499992371;89.174331665;22;77.6980252266;
89;8;29.1961860657;47.0;14;83.929071784;10;37.9038467407;91.7032012939;22;78.2404593229;
90;8;29.1999988556;50.0;14;84.5577478409;11;37.9249992371;93.3118972778;22;100.446584582;
91;8;29.1999988556;53.0;14;85.1806844473;11;37.9249992371;97.4086532593;23;102.268469214;
92;8;28.2999992371;55.0;14;86.8001244068;11;38.9249992371;101.506164551;23;103.866155148;
93;8;29.2999992371;58.0;14;87.5189489126;11;40.5499992371;105.216842651;23;105.248687029;
94;8;30.2999992371;61.0;16;88.2493097782;11;41.9249992371;108.490379333;24;106.438283443;
95;8;28.2999992371;62.0;17;88.9950962067;11;42.9249992371;111.76335144;24;107.463498592;
96;8;28.2999992371;61.0;18;89.7599517107;11;43.9249992371;114.034759521;24;108.353835106;
97;8;26.2999992371;63.0;16;90.5469529629;11;44.9249992371;115.937545776;23;108.987360954;
98;8;25.2999992371;65.0;17;91.3583153486;11;45.9249992371;117.279266357;23;109.454037428;
99;7;25.2999992371;65.0;17;92.0994575024;12;46.9249992371;118.618438721;26;109.915747166;
100;6;22.0;52.0;18;77.8340227604;13;47.9249992371;119.95413208;25;125.371315241;
