Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
58;3;29.2999992371;22.5;12;34.0;7;19.0;33.5;7;39.8610525131;
59;3;29.2999992371;22.5;11;36.1800003052;7;20.5896263123;34.5;8;40.2698085308;
60;3;30.8310012817;24.0;11;37.1870770454;7;22.0;32.5;8;40.6643564701;
61;3;32.2571868896;25.3899993896;11;39.2571983337;7;22.3036365509;32.5;8;41.0459787846;
62;3;33.16040802;27.222858429;11;40.9395264387;8;22.625;30.5;10;41.4159085751;
63;3;33.8877563477;28.8706073761;12;42.2771644592;8;21.625;30.5;10;42.6711919308;
64;3;34.4585990906;30.3552093506;12;43.3299795389;8;23.625;29.5;10;42.9935346842;
65;3;32.77501297;31.70677948;12;44.1592959166;8;25.625;29.5;10;43.3286314011;
66;3;31.9992752075;32.9559555054;13;44.5600199699;8;26.8171005249;30.5;12;43.6758807898;
67;4;31.0389137268;34.0;10;44.855024457;8;26.5499992371;31.5;12;44.0345759392;
68;4;30.4000015259;35.0;10;45.133302927;8;26.5499992371;32.5;12;44.4039134979;
69;4;30.4000015259;35.5927886963;10;45.3959263563;8;26.5499992371;33.5;12;45.783006072;
70;4;30.4000015259;35.6625099182;10;45.6440666914;8;27.9221878052;33.5;13;46.1908942461;
71;4;30.4000015259;35.7251586914;10;45.8789477348;8;28.5499992371;35.5;13;46.6067581177;
72;4;30.4000015259;35.7812538147;10;46.0235335827;8;28.9863471985;35.5;13;47.0295323133;
73;4;30.4000015259;35.7999992371;11;46.1242339611;8;29.021522522;36.5;14;47.4581223726;
74;5;30.4000015259;35.7999992371;10;47.2278065681;9;29.0587921143;37.5;14;47.891415596;
75;5;31.4000015259;36.7999992371;10;47.3641216755;9;28.5499992371;38.5;12;48.3282922506;
76;5;32.4000015259;37.7999992371;9;47.5036199093;9;29.1396255493;38.5;12;48.7676327229;
77;5;32.4000015259;38.7999992371;9;47.6461231709;9;28.5499992371;39.529499054;12;49.2083230019;
78;5;32.4000015259;39.7999992371;7;47.7914319038;9;29.2286376953;38.5486068726;12;49.6492562294;
79;5;31.4000015259;38.7999992371;6;47.1946569681;9;29.5499992371;39.5678482056;11;50.0893362761;
80;5;29.4000015259;36.7999992371;6;47.6709055901;10;30.2230911255;40.5872154236;10;50.5274757147;
81;5;31.4000015259;38.4199981689;7;48.5581152439;10;29.3760185242;39.6066970825;10;52.3355748653;
