Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
40;4;19.625;19.5;5;46.0;2;21.5;13.5;6;29.8789830208;
41;4;19.625;20.5;5;46.0;2;22.5;12.5;6;30.1288366318;
42;4;19.625;21.5;5;47.0;2;23.0386505127;12.5;7;30.3786706924;
43;4;21.625;21.5;6;47.1299999952;2;23.1136016846;14.5;7;30.6272368431;
44;4;23.625;22.5;6;47.2754310369;2;23.1881713867;16.5;8;30.8733024597;
45;4;24.9119720459;23.5;6;47.4377241135;2;23.2619895935;18.5;8;31.1156759262;
46;4;25.9484882355;25.5;6;47.6183350086;2;23.3347034454;20.5;9;31.353228569;
47;5;26.3500003815;27.5;6;47.8187118769;2;23.4059677124;22.5;9;31.5849161148;
48;5;26.3500003815;27.5;6;48.0402543545;2;23.4754753113;22.5;10;31.8097963333;
49;5;26.8090572357;27.5;6;48.2842636108;2;23.5429382324;22.5;10;32.0270428658;
50;5;26.8639602661;27.5;7;48.5518820286;3;23.6081123352;22.5;11;32.2359538078;
51;5;26.9241733551;27.5;7;48.8440244198;3;23.6707859039;22.5;11;32.4359588623;
52;5;26.3500003815;28.5;8;49.1613030434;3;23.7307872772;22.5;11;32.6266198158;
53;5;27.0612926483;27.5;8;49.5039470196;3;23.7879867554;22.5;11;32.8076286316;
54;5;26.3500003815;28.5;8;49.871723175;3;23.8422889709;22.5;12;32.9788007736;
55;5;26.3500003815;29.4358615875;8;50.263862133;3;23.8936405182;22.5;13;33.1400680542;
56;5;26.3500003815;29.6319313049;8;50.6789975166;3;23.9420204163;22.5;13;33.2914676666;
57;5;27.3500003815;27.6319313049;8;51.1151270866;3;23.9874401093;22.5;13;33.4331302643;
58;5;27.5009040833;27.5;8;52.5695996284;3;24.0299396515;22.5;13;33.5652666092;
59;5;28.6031608582;28.5;8;53.0691392422;4;24.0695800781;22.5;12;33.6881551743;
60;5;28.3500003815;30.5;9;54.5804975033;4;24.1064453125;22.5;12;33.8021306992;
61;5;30.3500003815;31.5;9;55.2293678522;4;24.1406402588;22.5;12;34.9075689316;
62;5;31.9267101288;33.5;11;55.8965493441;4;25.1722717285;23.5;12;35.0299999714;
63;5;32.3239326477;35.5;12;56.5786842108;4;26.2000007629;24.5;12;35.0605909824;
64;6;32.4701423645;37.3090820312;11;57.272464633;4;26.2000007629;25.5;12;35.091766119;
65;6;32.2547187805;38.3320960999;11;57.9747854471;4;26.2000007629;26.5;12;35.1235172749;
66;6;32.3601379395;39.2648468018;13;60.9479277134;4;26.2000007629;27.5;13;36.1558350325;
67;6;33.4306678772;38.8792533875;13;63.5380067825;4;27.2000007629;29.077917099;13;36.2187088728;
68;6;33.4733810425;40.2933807373;14;65.7882306576;4;28.2000007629;30.0943546295;13;37.4849053621;
69;6;34.5041122437;39.6151161194;14;67.7503322363;4;28.5539989471;31.6170082092;14;38.5205314159;
70;6;34.9376068115;39.862411499;15;69.3284652233;4;28.8381233215;33.0302429199;14;39.3604375124;
71;7;34.510433197;40.9778137207;14;70.6259772778;4;29.0628299713;34.3513183594;15;40.0409884453;
72;7;32.6969604492;41.0032653809;14;71.6184754372;4;29.2390289307;35.1985206604;15;40.4477837086;
73;7;31.8063201904;43.0290184021;14;72.5709365606;4;29.3324165344;35.3365287781;16;40.6653147936;
74;7;31.8983535767;43.0550537109;15;73.5172563791;4;29.368347168;35.3854103088;16;40.8708039522;
75;7;31.4585723877;41.0;15;74.4553440809;4;29.3999996185;35.4354019165;18;40.9729583263;
76;7;31.6224193573;41.0;15;75.3826128244;4;29.3999996185;35.4864807129;19;41.0772279501;
77;7;32.7656745911;42.0;15;76.2958076;4;29.3999996185;35.5386161804;19;41.1835491657;
78;7;33.913684845;43.0;16;77.190954566;4;29.3999996185;35.5917739868;20;41.2918506861;
