Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
50;4;22.6453590393;28.5;6;32.5966870785;5;22.0;27.9847774506;12;29.8813668489;
51;5;24.3342552185;28.5;7;33.8813896179;5;23.0;29.1362571716;12;30.0077514648;
52;5;25.398311615;29.5;8;34.2555602789;5;23.5;29.5031013489;12;30.1351428032;
53;5;25.4622516632;30.5;9;34.6350533962;5;23.5;29.554058075;12;30.2634444237;
54;6;25.792886734;31.5;9;35.0190030336;5;24.5;28.2227153778;12;30.3925549984;
55;6;25.588634491;32.5;9;35.4065718651;5;23.5;29.2530212402;13;31.5223671198;
56;6;25.6505279541;33.2021141052;9;35.7969667912;5;25.5;29.2840251923;13;31.7027676105;
57;7;25.7112083435;33.2624664307;7;36.1894513369;6;26.1117744446;30.5;12;31.8856129646;
58;7;25.4787940979;33.5;7;36.5833536386;6;26.1360054016;30.5;14;32.0708042383;
59;7;25.8280029297;33.3961105347;7;36.9663681984;7;27.5074672699;31.5;12;54.0082317591;
60;7;25.6424331665;33.5;7;37.3316018581;7;26.5;35.4143638611;11;55.2852754593;
61;8;24.0965213776;35.0;6;52.6972544193;7;27.5;37.4791107178;11;56.3703210354;
62;8;24.1337909698;36.0;6;53.8129103184;7;28.8990135193;38.0237045288;11;58.2801297903;
63;8;26.3409900665;37.0;6;55.8475675583;7;31.2631721497;39.6155090332;12;60.0781062841;
64;8;28.2146263123;39.0;7;56.8500380516;7;34.9368896484;41.5;12;60.7809690237;
65;8;29.625;43.0;7;57.7744719982;7;36.6944160461;44.197177887;13;61.334474206;
66;8;32.5515823364;42.0;8;58.6255470514;7;37.7000007629;46.2601318359;14;61.5689781904;
67;8;33.750667572;44.0;8;59.4095257521;7;38.7000007629;48.3240432739;14;61.8074268103;
68;8;32.625;46.7226791382;9;60.1334497929;7;39.7000007629;49.9947509766;14;62.0495928526;
69;8;35.0391235352;44.6349868774;10;60.8044960499;8;40.4249992371;50.5456085205;11;62.295234561;
70;8;34.1681251526;45.6650238037;11;61.3357988596;8;40.7816123962;49.5206832886;11;64.3379288912;
71;9;34.5700759888;46.0;9;61.8311953545;8;42.2826766968;49.4961776733;12;66.0305969715;
72;9;33.3250007629;48.7490348816;10;64.0509197712;9;42.7249755859;49.9812698364;8;80.0877015591;
73;9;34.7718505859;49.0;10;65.9545378685;9;39.1340026855;54.6119346619;8;81.8198795319;
74;10;34.4282951355;51.5300827026;9;82.5859422684;9;39.1340026855;57.9335479736;8;83.2373883724;
75;11;34.2891769409;52.760433197;8;85.0410995483;9;39.1340026855;60.1415710449;8;84.4164215326;
76;11;34.4278411865;54.9856185913;8;87.0550820827;10;39.1340026855;62.3528327942;8;85.5330357552;
77;11;33.3255004883;59.2049789429;9;88.5327022076;10;39.1340026855;64.5670394897;9;87.585796237;
78;11;33.3255004883;62.2291641235;11;89.8927876949;11;40.1340026855;67.7838821411;8;88.6357930899;
79;12;33.3255004883;64.5391159058;10;91.0801615715;11;41.1340026855;71.0030059814;9;89.6289756298;
80;12;32.2999992371;66.816192627;11;92.1177561283;11;41.0999984741;74.224029541;9;90.5696550608;
81;12;32.2999992371;69.0684661865;13;93.0615401268;11;41.0999984741;77.4465713501;9;91.4628083706;
82;12;32.2999992371;71.3191223145;14;93.9208705425;11;41.0999984741;80.6701965332;10;93.3136053085;
83;12;33.2999992371;70.1201858521;14;94.7055163383;11;42.0999984741;84.4265899658;11;94.2209646702;
84;12;36.1247634888;68.3124008179;15;95.3261528015;11;44.0999984741;84.6812057495;11;96.0020219088;
85;13;37.3857688904;69.3124008179;13;95.7986452579;11;45.0999984741;85.9368133545;14;96.8669848442;
86;14;37.5499992371;70.3124008179;14;96.2606999874;11;45.0999984741;90.1929168701;15;97.7600758076;
87;14;34.5499992371;75.3124008179;15;96.7113232613;11;46.0999984741;91.4490509033;14;98.6826494932;
88;15;33.5499992371;80.2395095825;13;114.399664402;11;46.0999984741;91.7047042847;15;99.6360164881;
89;15;34.4271354675;81.3124008179;13;116.161884785;13;45.0999984741;94.9593963623;14;100.621359706;
90;15;36.1867980957;85.3124008179;13;117.765643358;14;46.0999984741;90.858291626;14;101.639620423;
91;15;37.1961860657;89.3124008179;14;119.172468185;14;46.0999984741;93.2947921753;15;102.639672756;
92;15;38.1999969482;93.9224014282;16;120.388132095;14;45.0999984741;96.2859420776;16;103.667556167;
93;15;39.1999969482;97.3524475098;18;121.437805653;14;46.0999984741;95.541847229;16;104.731269121;
94;15;39.5;100.517692566;18;122.33653307;14;46.0999984741;95.7969894409;17;105.811559796;
95;15;39.5;103.676094055;18;123.102819443;14;45.0999984741;99.0438766479;17;107.89177978;
96;15;39.5;106.827598572;19;123.655969143;14;48.0999984741;97.276512146;17;110.091822743;
97;15;39.5;109.922172546;13;124.028775692;14;50.0999984741;100.507957458;19;114.664068103;
98;15;39.5;113.014389038;14;124.207904339;15;52.0999984741;104.12146759;19;118.871360183;
99;14;31.1999988556;111.1039505;14;103.381235123;16;53.0999984741;112.804244995;14;143.764147997;
100;14;32.1999969482;111.190612793;15;103.548344612;16;55.0999984741;117.660057068;15;147.397589803;
101;14;33.1999969482;115.583839417;15;103.708887577;16;57.0999984741;122.514945984;14;150.649289727;
102;14;34.1999969482;116.696220398;15;103.862595558;16;63.1023483276;128.323150635;14;153.631339192;
103;14;35.1999969482;117.803817749;12;104.009276867;16;65.3722076416;133.273513794;14;156.412054062;
104;14;36.1999969482;118.906494141;13;104.148812294;16;66.5412063599;138.222900391;13;159.07392168;
105;14;37.1999969482;120.004165649;14;104.281150341;16;67.0073928833;143.168762207;19;162.690316439;
106;14;42.4281158447;121.096801758;13;104.406302452;16;69.2378997803;144.937652588;18;165.269294024;
107;14;45.4406280518;122.184410095;13;104.524336338;16;69.5246734619;150.710617065;17;167.777566552;
108;14;46.352432251;123.06703949;15;104.635370255;16;70.8777618408;153.485809326;18;170.207506657;
109;13;46.36353302;123.144760132;15;104.739564896;17;71.0961608887;156.261291504;21;172.509422302;
110;13;46.3739547729;123.217697144;16;104.837117195;17;70.3509368896;162.010131836;22;174.714160085;
111;13;46.3837127686;123.285987854;10;104.928253651;17;71.5714263916;164.361541748;21;176.837258577;
112;15;46.3928222656;123.349777222;8;105.0;17;70.7837219238;170.058303833;23;182.288374186;
113;15;46.4000015259;123.400001526;10;105.0;17;73.2933883667;170.719421387;25;187.817096114;
114;15;46.4000015259;123.400001526;11;105.0;17;73.8196258545;169.090682983;25;193.373673558;
115;15;46.4000015259;123.400001526;12;105.0;17;72.4373703003;175.493713379;25;199.882661939;
116;15;46.4000015259;124.400001526;14;105.0;17;76.8768920898;174.391113281;26;205.221906662;
117;15;46.4000015259;125.400001526;14;105.0;17;76.5161895752;180.310913086;28;211.305672169;
118;15;46.4000015259;126.400001526;14;106.0;17;77.1803665161;186.229232788;29;217.090326548;
119;15;47.4000015259;128.399993896;16;106.039999962;17;79.7488021851;186.789901733;31;222.54312396;
120;15;48.3999938965;130.399993896;16;107.042784095;18;79.2922515869;190.973144531;31;227.640608668;
121;15;48.6042785645;133.044006348;15;108.054844618;18;78.8166885376;194.112106323;32;232.367674947;
122;15;48.9477310181;135.69052124;17;109.065213442;18;81.3028030396;192.19303894;33;236.573878527;
123;16;49.0676345825;138.331756592;19;110.063149452;18;81.6162490845;192.685379028;34;240.339520097;
124;16;49.8675918579;138.818313599;19;111.038725138;18;81.0569000244;196.147735596;35;243.668174028;
125;16;49.003868103;139.262573242;21;111.983329296;18;82.4436035156;196.5809021;34;246.618729949;
126;16;49.0983276367;135.704574585;23;112.890042663;18;84.7363815308;195.80770874;36;249.298117995;
127;16;49.1890029907;136.117095947;22;113.753832102;18;89.9820632935;198.313537598;36;251.571113825;
128;17;49.2753829956;136.497070312;23;114.571577072;18;95.190032959;200.646102905;37;253.572402;
129;17;49.3571548462;136.842788696;23;116.341938496;18;100.377792358;200.472610474;38;254.966062784;
130;17;48.4341964722;137.1537323;24;117.125119925;18;105.317153931;200.129577637;42;256.220860004;
131;17;48.5065078735;138.430480957;25;117.865523338;18;109.442626953;199.714523315;43;257.15182209;
132;17;47.6865539551;139.674484253;25;118.56556046;18;113.535736084;199.126602173;44;257.849365711;
133;17;47.7260818481;138.674484253;26;119.228221893;18;117.605484009;198.415924072;45;258.353412628;
134;17;46.2228240967;140.674484253;27;120.856804252;18;121.655899048;198.094924927;48;258.835722208;
135;17;47.2856826782;142.674484253;27;121.514680982;18;125.70413208;198.179367065;49;259.265697718;
136;17;49.3259353638;141.674484253;27;122.025574684;18;129.326568604;198.249588013;52;259.531609058;
137;17;48.5025558472;143.674484253;28;122.496182203;18;132.353164673;198.28692627;54;259.730181694;
138;17;48.549621582;146.074478149;29;122.970052958;18;135.373016357;198.330718994;57;259.939533472;
139;17;49.5970039368;146.074478149;30;123.446634054;18;137.893966675;198.106735229;57;260.157304764;
140;18;48.6446647644;149.074478149;29;123.925341368;18;136.895614624;212.330718994;57;260.381316662;
141;18;48.6925354004;152.074478149;30;124.40555954;18;135.907806396;217.544677734;58;260.609573126;
142;17;49.7405509949;152.074478149;31;124.886641383;19;134.902160645;222.660919189;57;260.840257645;
143;16;48.7886657715;154.074478149;31;125.367913246;21;132.906784058;227.269989014;55;261.071732044;
144;15;45.8367881775;134.074478149;31;115.848677993;22;131.899917603;233.269989014;54;271.302531481;
