Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
71;8;25.625;47.8737106323;15;46.0368931293;6;33.5999984741;51.0;23;96.7637953758;
72;9;26.1845302582;47.1610641479;14;48.2766349316;6;32.5999984741;53.0;24;97.0673723221;
73;9;26.4235935211;48.0742492676;14;50.3473885059;7;33.1077461243;54.0;24;97.3661584854;
74;9;26.0255012512;49.8565673828;15;52.2814018726;7;32.7098464966;56.0;24;97.6592583656;
75;9;26.1592674255;50.8588943481;15;55.1107771397;8;31.7977771759;58.0;24;111.445834637;
76;9;28.2593841553;50.4536514282;15;56.7544035912;8;32.6837501526;61.0;24;112.467618465;
77;9;30.0546150208;49.9885902405;16;58.248073101;8;32.0210800171;65.0;25;113.416503906;
78;9;30.0684757233;51.2725524902;15;59.7593774796;9;33.0469589233;69.0;25;114.287937641;
79;9;31.0822467804;50.2725524902;16;62.2717944384;9;34.0718307495;73.0;25;115.080570698;
80;9;27.970911026;55.2725524902;16;63.8058165312;9;35.0956878662;77.0;26;115.795769215;
81;9;28.2999992371;58.8784713745;17;65.3013803959;9;36.1185455322;80.0;26;116.436995983;
82;10;27.2999992371;60.4522132874;16;66.7372300625;9;37.1403961182;83.0;27;117.009159088;
83;10;26.2999992371;61.8527793884;19;68.0940209627;9;37.3494796753;86.0;29;117.518018723;
84;10;27.7294311523;62.8818473816;19;69.3019726276;9;37.4578742981;89.0;30;117.969445229;
85;10;29.1620826721;62.973739624;19;70.3160492182;9;37.5511817932;92.0;30;118.265394688;
86;10;30.5016784668;63.2725524902;20;71.239439249;9;37.6000022888;95.0;31;118.391420841;
87;10;31.1872940063;65.2725524902;21;72.0693409443;10;37.6000022888;98.0;32;119.510317802;
88;11;32.1995811462;67.2725524902;19;73.8075894117;10;38.6000022888;102.0;32;119.689697623;
89;11;32.4249992371;70.2725524902;18;74.4995472431;10;41.9622192383;107.0;32;119.866051912;
90;11;34.2234764099;73.2725524902;17;75.1140930653;10;44.9727210999;111.090881348;30;120.03969276;
91;10;33.2350616455;70.2725524902;17;74.5365948677;11;48.182559967;112.130226135;30;121.292136431;
92;9;30.2464008331;58.2725524902;17;55.1448684931;12;50.0917510986;117.166992188;28;141.052413464;
93;10;30.257484436;59.2725524902;16;55.3056282997;12;52.237701416;123.163894653;31;142.466859698;
94;10;30.2683067322;60.2725524902;16;55.466891408;13;55.3631896973;126.225318909;31;142.836153984;
95;9;28.2788658142;56.2725524902;16;53.8514358997;14;56.3768692017;132.289764404;28;144.770487666;
96;9;28.2891540527;57.2725524902;17;53.9560675621;14;58.5049819946;139.357254028;29;145.050066233;
97;9;28.2991733551;58.2725524902;17;54.0600373745;14;60.5273017883;142.427810669;31;145.34008038;
98;9;28.3089179993;59.2725524902;18;54.1632726192;14;59.7340126038;148.501434326;31;145.640529752;
99;9;26.2999992371;60.2725524902;18;54.2542052269;14;60.7640533447;151.541992188;32;145.951363802;
100;9;26.2999992371;61.2725524902;19;54.3161010742;14;62.8593215942;153.399993896;32;147.272476912;
