Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
41;5;22.625;22.5;7;41.4820904732;4;17.5;15.1613483429;4;26.6756366491;
42;5;23.2530899048;22.5;8;41.8442602158;4;16.0026912689;15.5;4;26.6978281736;
43;5;23.2980918884;22.5;8;42.1846728325;4;16.5;14.1791315079;4;26.7199368477;
44;6;23.3409900665;22.1022472382;7;42.5035037994;3;15.0159816742;14.5;4;27.7419531345;
45;6;21.625;22.2262878418;7;42.8011226654;3;17.0225868225;17.5;4;27.7838677168;
46;6;22.625;25.2262878418;7;43.0780649185;3;18.5;20.5;4;27.8258674145;
47;6;23.4565162659;28.2262878418;6;43.2914676666;3;20.0357017517;23.5;3;27.8679372072;
48;6;23.4905796051;31.2262878418;6;44.4331302643;3;18.3603801727;26.5;4;27.9100615978;
49;6;25.5224533081;32.2262878418;7;45.6952666044;3;18.824344635;27.5;5;27.9522254467;
50;6;28.5521850586;34.2262878418;8;46.2535861731;3;17.3856678009;28.5;7;27.9944132566;
51;6;30.9624633789;35.2262878418;8;46.9002137184;3;18.0614814758;27.9491252899;7;28.0366096497;
52;6;31.53490448;36.2262878418;9;48.6568026543;3;19.0678157806;27.9575557709;7;28.0787992477;
53;6;32.7539749146;38.2262878418;10;49.5834728479;3;20.4236412048;27.5;8;28.1209664345;
54;6;34.01304245;39.5;10;50.5893843174;3;20.8559494019;28.2737865448;8;28.1630959511;
55;6;34.3024597168;40.5;10;51.7958805561;3;21.5;28.7652397156;8;28.2051724195;
56;6;34.6516990662;41.5;12;53.2309209108;3;22.5;28.7820682526;9;28.2471804619;
57;6;35.0691413879;42.5;13;54.9175630808;3;21.4741535187;28.5;9;28.2733153105;
58;6;35.5617141724;42.5;13;56.8684279919;4;21.8819942474;28.2999992371;8;28.2953014374;
59;6;33.6568984985;43.5;14;59.0790333748;4;22.5;28.8181190491;8;28.3173824549;
60;6;32.7596931458;43.5;14;61.5213215351;4;23.8952140808;28.2999992371;8;28.3395489454;
61;6;32.8700256348;44.5;14;64.139719367;4;23.9018650055;28.2999992371;9;28.3617914915;
62;6;32.7085075378;46.5;15;66.8525346518;4;23.5;28.8447151184;11;28.3841004372;
63;6;32.7085075378;44.5;15;69.560590744;4;23.5;28.8536396027;11;28.4064661264;
64;7;33.2430458069;44.5;15;72.1623272896;4;23.9219398499;28.2999992371;11;28.428878665;
65;7;33.7085075378;43.5;15;74.5711679459;4;23.9286632538;28.2999992371;11;28.4513280392;
66;7;33.7085075378;43.5;16;77.0298105478;4;23.9353981018;28.2999992371;10;28.4738043547;
67;7;32.7490081787;45.5;16;80.9826878309;4;23.5;28.8895206451;10;28.4962974787;
68;7;34.0116004944;48.0;17;84.3422323465;4;23.9488887787;28.2999992371;11;29.5187973976;
69;7;34.2218666077;45.3899993896;17;87.1400331259;4;24.5;29.9075183868;11;29.7112938166;
70;7;35.3876647949;45.6872596741;17;89.4460096359;4;25.5;30.9165172577;10;29.9306877851;
71;7;36.2693443298;46.9097442627;18;91.197155714;4;25.9691333771;31.2999992371;9;30.180506587;
72;7;33.3369064331;47.0;18;92.5279417038;4;25.9758701324;32.2999992371;9;30.4644839764;
73;8;32.3021354675;48.0;18;93.3408932686;4;25.9825992584;33.2999992371;9;31.8421478271;
74;8;33.3021354675;50.0;17;94.0008180141;4;25.7999992371;34.4524154663;10;33.0599187613;
75;9;34.0120773315;52.0;15;94.6271791458;4;26.0340003967;34.851348877;9;34.1592875719;
76;9;34.1664772034;54.0;13;95.2166473866;4;26.2123565674;35.1575126648;10;35.1826971769;
77;9;34.3091506958;56.0;14;96.7672696114;4;26.3458442688;35.388874054;10;36.0207014084;
78;9;34.3091506958;57.0;11;97.5183610916;4;26.9159812927;34.7999992371;9;36.7609126568;
79;9;37.3091506958;57.0;11;99.2849594355;4;26.9225845337;34.7999992371;9;37.5849093199;
80;9;35.3091506958;61.0;9;100.129219174;4;26.3999996185;35.5055465698;10;38.4902865887;
81;9;35.0591506958;63.0;10;101.017268658;4;24.3999996185;36.5142669678;10;39.4704208374;
82;9;35.0591506958;66.0;11;101.964794755;4;23.3999996185;37.5229415894;11;40.5139940977;
83;9;34.0591506958;67.0;12;102.988252759;4;22.3999996185;38.5315628052;13;41.6049733162;
84;9;34.0591506958;69.0;13;104.103784084;5;21.3999996185;39.5401306152;12;42.7231907845;
85;9;32.2999992371;68.0;13;105.227203608;5;20.3999996185;40.5486412048;12;43.8455739021;
86;9;32.2999992371;69.0;13;106.430046439;5;19.3999996185;41.5570869446;13;44.9479238987;
87;9;33.2999992371;72.0;14;107.773983121;5;18.3999996185;42.5654716492;13;46.006988287;
88;9;34.2999992371;75.0;15;109.252672076;5;18.0;47.5570869446;14;47.0024713278;
89;9;34.5499992371;78.0;15;110.849578261;5;18.0;50.5570869446;14;47.9186122417;
90;9;34.5499992371;81.0;16;112.53698349;5;18.0;53.5570869446;14;48.7450778484;
91;9;35.5499992371;84.0;17;114.276689529;5;18.0;56.5570869446;14;49.4612884521;
92;9;35.5499992371;85.0;17;116.022827625;5;19.0;57.5570869446;16;50.0791931152;
93;9;36.5499992371;87.0;19;117.726622343;5;19.0;59.5570869446;17;50.607252121;
94;9;37.5499992371;89.0;20;119.342234731;5;20.0;62.5570869446;17;51.0524768829;
95;10;34.5499992371;87.0;19;120.832285404;5;19.0;63.5570869446;19;51.4235286713;
96;10;32.2999992371;86.0;19;122.171652794;5;18.0;65.5570831299;21;51.7297344208;
97;10;33.2999992371;89.0;19;123.348733902;5;19.0;66.5999984741;22;51.9803543091;
98;10;35.2999992371;89.0;20;124.364243031;5;19.0;65.5999984741;22;52.0;
99;10;37.5499992371;88.0;21;125.228335381;5;18.0;67.5999984741;22;52.0;
100;10;36.5499992371;87.0;17;125.957110643;5;18.0;66.5999984741;20;52.0;
101;10;35.2999992371;89.0;17;127.569381952;5;19.0;64.5999984741;20;52.0;
102;10;36.2999992371;92.0;20;128.234207749;5;18.0;66.5999984741;20;52.0;
103;10;39.2999992371;96.0;21;128.690238714;5;18.0;68.5999984741;19;52.0;
104;10;41.696231842;100.0;22;129.04965508;5;19.0;64.5999984741;19;52.0;
105;10;43.1821784973;104.0;21;129.431675673;5;18.0;65.5999984741;18;52.0;
106;11;44.2023468018;108.0;17;129.838632226;5;18.0;66.5999984741;15;52.0;
107;11;44.4225769043;112.0;17;130.272827148;5;19.0;64.5999984741;14;52.0;
108;11;44.4428253174;116.0;19;130.73643446;5;18.0;65.5999984741;14;52.0;
109;11;45.4630622864;117.0;18;131.173623323;5;18.0;66.5999984741;15;52.0;
110;11;44.4832458496;121.0;19;133.169240236;5;19.0;65.5999984741;15;52.0;
