Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
192;30;234.652496338;559.049499512;98;476.906408429;9;66.0999984741;132.395828247;52;88.4899916649;
193;30;275.063018799;595.363708496;99;497.540441155;9;64.0999984741;138.395828247;52;88.6918721199;
194;31;288.604156494;631.31829834;98;525.331418276;8;52.5999984741;139.395828247;52;78.8847970963;
195;31;297.157623291;665.194396973;99;541.535686612;9;55.5999984741;136.395828247;51;79.0054745674;
196;31;294.872039795;695.020690918;101;559.18078506;9;53.5999984741;139.395828247;53;79.1053099632;
197;32;307.775177002;718.136657715;103;572.15228653;9;53.5999984741;142.395828247;54;79.2020397186;
198;33;322.832885742;735.630737305;104;598.629258394;9;56.5999984741;136.395828247;54;79.2955703735;
199;33;329.552642822;760.33996582;108;608.736896276;9;52.5999984741;142.395828247;55;79.3858294487;
200;33;336.034912109;775.826049805;114;617.989374399;9;54.5999984741;142.395828247;56;79.4727659225;
201;33;341.976013184;790.960205078;117;626.159020424;9;56.5999984741;136.395828247;56;80.556347847;
202;34;347.313598633;805.881225586;120;632.800797939;9;53.5999984741;143.395828247;56;80.7565623522;
203;34;351.998474121;817.704162598;120;641.508676052;9;56.5999984741;144.395828247;56;81.206469059;
204;35;354.266326904;837.580749512;119;653.373058796;8;58.5999984741;126.395828247;57;75.8385748863;
205;35;357.346801758;852.004760742;121;659.326875687;8;61.5999984741;125.395828247;55;76.7110644579;
206;35;364.284790039;867.466918945;121;664.780335903;8;65.5999984741;115.395828247;56;77.581923008;
207;35;371.140930176;882.701843262;124;669.914141178;8;70.5999984741;110.395828247;55;78.4493994713;
208;35;376.548309326;897.988220215;124;677.394365311;8;72.5999984741;107.395828247;55;79.3120112419;
209;35;380.408050537;919.103393555;125;681.751133919;8;72.5999984741;106.395828247;53;80.1685304642;
