Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
58;6;34.7000007629;38.4171524048;6;34.9459668398;4;21.2259559631;26.5;13;28.746411562;
59;6;36.0510025024;36.9959030151;7;35.8333323002;4;21.625;27.5;13;28.8226053715;
60;6;36.2334251404;39.3161125183;7;36.5749825239;4;22.2418193817;26.5;14;28.8994779587;
61;6;36.4608039856;41.5621337891;8;37.0557045937;4;21.625;27.5;14;28.977011323;
62;6;36.5694160461;43.2943572998;10;37.3591188192;4;21.8875999451;29.4669322968;14;29.055185914;
63;6;36.5970039368;43.4388847351;10;37.665419817;4;21.625;30.3386306763;14;29.1339800358;
64;6;37.6247634888;41.5034255981;11;38.9742840528;4;21.9079933167;29.5133628845;12;30.2133703232;
65;7;39.6526641846;42.5291900635;10;39.3653857708;4;22.9185829163;30.535987854;12;30.3233308792;
66;7;37.5999984741;46.5554885864;12;39.7639329433;4;24.5909996033;29.535987854;12;30.4344249964;
67;7;39.5999984741;46.5474319458;14;40.1698383093;4;24.5322113037;31.4816627502;12;30.5445944071;
68;7;40.7368736267;48.5747261047;15;40.5829998255;5;24.1975345612;32.5;14;30.627879858;
69;7;41.0120735168;50.6024894714;15;41.0032980442;5;23.8777923584;34.5;15;30.7127846479;
70;7;37.0401649475;53.9002914429;15;41.4305887222;5;24.235376358;34.5999984741;15;30.799265027;
71;7;34.5999984741;57.9792823792;15;41.8646993637;5;24.2548351288;34.5999984741;15;30.8872720003;
72;7;33.5999984741;62.0030326843;16;42.3054219484;5;23.8999786377;35.5999984741;15;30.9767513275;
73;7;32.5999984741;64.8915710449;16;42.752507329;5;24.2947692871;34.5999984741;15;31.0676436424;
74;7;31.5999984741;67.0798492432;16;43.2056596279;5;24.3152198792;34.5999984741;15;31.159884572;
75;7;30.5999984741;69.2669906616;19;43.6645288467;5;23.9232406616;35.5999984741;16;32.2534046173;
76;7;29.5999984741;70.5617218018;19;44.1287076473;5;25.3570156097;35.5999984741;15;32.3881295919;
77;7;28.5999984741;71.8212203979;20;44.597725153;5;25.9392967224;37.5999984741;15;32.5251648426;
78;7;27.5999984741;73.0823364258;21;45.0710430145;5;26.1907444;39.0075187683;16;32.6644284725;
