Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
141;20;72.1089324951;177.204071045;47;142.960425496;6;31.008228302;64.0;33;72.5946507454;
142;20;73.6787033081;179.626953125;50;146.02465415;6;30.0337963104;65.0;34;72.7013821602;
143;20;79.8131790161;178.71647644;50;148.811928153;6;30.0578117371;66.0;34;74.9375047684;
144;20;82.0684356689;184.826477051;51;151.333096981;6;31.5609397888;64.0;34;77.1812729836;
145;21;88.2073669434;184.954956055;50;154.606085181;6;31.0657863617;65.0;35;79.3946423531;
146;21;91.4296112061;187.381271362;51;157.712652922;7;31.5637950897;66.0;34;81.5409879684;
147;21;98.5484313965;188.605392456;52;159.960093141;7;33.0467224121;64.0;34;84.5877580643;
148;21;100.906112671;192.074859619;54;162.003845453;7;33.5072479248;66.0;34;86.528570652;
149;21;103.199119568;194.811218262;55;163.909056902;7;34.9394302368;68.0;34;88.3246483803;
150;21;106.372344971;196.092193604;59;165.651389241;7;36.3390045166;67.0;32;89.9647232294;
151;21;108.202217102;197.387573242;59;168.285930514;7;35.7034301758;69.0;30;91.444711566;
152;21;110.488815308;202.704620361;58;169.931187987;7;36.0317993164;71.0;29;93.7666018009;
153;21;115.622566223;202.039672852;57;171.582602024;7;38.3245582581;70.9917068481;30;94.9970530272;
154;21;116.950546265;205.214477539;57;173.239884853;7;38.5832061768;73.0105285645;30;96.0889296532;
155;21;119.149734497;208.39465332;56;174.820250154;7;38.809967041;75.0294952393;31;97.0541492701;
156;21;119.554130554;214.579772949;58;176.348652601;7;40.0075149536;74.0486068726;32;97.8754899502;
157;21;123.661125183;211.934143066;58;177.899766445;8;39.1719589233;76.0678482056;30;98.4315774441;
158;21;120.916908264;223.117492676;59;179.469305396;8;39.2759857178;77.0;31;98.9365005493;
159;21;122.172721863;229.682495117;61;181.052849174;9;40.3677520752;77.0;31;99.339215517;
160;21;119.382102966;240.070648193;61;182.645888925;9;39.4357757568;78.0;31;99.6050195694;
161;21;120.567947388;244.474029541;61;184.243868113;9;39.4722366333;81.0;31;99.8573582172;
