Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
163;9;81.4250030518;155.98475647;66;131.857120991;8;23.3999996185;100.415634155;49;74.1216208339;
164;9;81.4250030518;159.114257812;65;131.924060822;8;24.3999996185;99.4155197144;49;74.1214586496;
165;9;81.4250030518;161.201278687;66;131.987800121;8;24.3999996185;98.4154205322;49;75.1213126779;
166;9;81.4250030518;163.284133911;66;132.0;8;24.3999996185;101.41532135;49;75.2131813169;
167;9;81.4250030518;165.300003052;66;132.0;8;26.3999996185;101.415237427;50;75.312522471;
168;10;81.4250030518;166.899993896;65;132.0;8;26.3999996185;101.415161133;51;75.4197491407;
169;10;81.4250030518;167.899993896;65;132.0;8;25.3999996185;104.415100098;51;75.5352615714;
170;10;81.4250030518;168.899993896;65;132.0;8;26.3999996185;104.415039062;51;75.6594389081;
171;10;81.4250030518;169.299987793;65;132.0;8;26.3999996185;104.414978027;52;75.792630136;
172;12;81.4250030518;169.299987793;63;132.0;8;25.3999996185;107.414932251;53;75.9351439476;
