Turn;Planet_count_KI_1_SP_HUMAN;Research_KI_1_SP_HUMAN;Industry_KI_1_SP_HUMAN;Ships_KI_1_SP_HUMAN;Population_KI_1_SP_HUMAN;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
33;2;15.0;18.5;4;28.2034151554;3;20.625;12.5;5;40.6857824326;
34;2;14.9610242844;18.5;4;28.2930014133;3;21.625;12.5;5;41.0487861633;
35;2;14.9879007339;19.5;4;28.3821430206;3;22.625;12.5;4;41.3619327545;
36;2;15.0146427155;20.5;4;28.470682621;3;23.3064346313;12.5;4;41.6299514771;
37;2;15.0412044525;21.5;5;28.5584671497;3;23.3667392731;12.5;4;41.8577899933;
38;2;14.0;23.5;6;28.6453483105;3;23.4180030823;12.5;4;42.0;
39;2;14.0;25.3226737976;6;28.7311835289;3;23.4500007629;12.5;4;42.0;
40;2;14.0;26.3655910492;7;28.8158371449;3;23.4500007629;12.5;4;42.0;
41;2;16.0;22.5;7;28.8991811275;3;23.4500007629;12.5;4;42.0;
42;2;15.1697540283;23.5;8;28.9810957909;3;23.4500007629;12.5;4;42.0;
43;2;15.1943283081;24.5;9;29.0614705086;3;23.4500007629;12.5;4;42.0;
44;2;16.2184410095;22.5;9;29.140203476;3;23.4500007629;14.5;5;43.0;
45;2;15.242061615;23.5;9;29.2172026634;3;24.4500007629;17.5;5;43.0499999523;
46;2;15.2651605606;24.5;9;29.2923870087;3;25.4500007629;20.5;5;43.1019749641;
47;2;16.2877159119;22.5;10;29.3656845093;3;25.6979446411;23.5;5;43.1559499502;
48;2;16.0;22.5;10;29.4370336533;3;25.7100887299;26.5;5;43.2119446993;
49;2;17.0;22.5;10;29.5063829422;3;25.7226886749;27.5;5;43.269973278;
50;3;18.0;22.5;10;29.5736908913;3;25.7357444763;27.5;7;43.3300433159;
51;3;20.0;22.5;11;29.6389260292;3;25.7492599487;27.5;9;43.3921557665;
52;3;21.3916778564;22.5;12;29.7020654678;3;25.7632350922;27.5;8;43.4563041925;
53;4;22.4106197357;22.5;11;29.7630953789;3;25.7776699066;27.5;11;43.5224741697;
54;4;21.5;23.5;11;29.8220105171;4;25.7925567627;27.5;10;53.5906432867;
55;4;22.5;22.5;11;29.8788132668;4;26.8078956604;28.5;10;54.0607800484;
56;4;22.9636440277;22.5;11;29.9335136414;4;27.823677063;29.5;11;54.5072450638;
57;4;22.9800548553;22.5;12;30.9861288071;4;27.8398914337;30.5;12;54.92872715;
