Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
140;9;34.2999992371;104.400001526;26;93.0024020672;6;26.1000003815;69.0;28;56.0599999428;
141;9;34.2999992371;108.400001526;26;94.6899083853;6;29.1000003815;66.0;27;56.1229639053;
142;9;35.2999992371;109.400001526;24;96.3009774685;6;27.1000003815;69.0;28;56.1889609098;
143;9;34.2999992371;112.983322144;24;97.8291486502;6;27.1000003815;72.0;29;56.2580518723;
144;9;34.2999992371;115.310752869;25;99.2700554132;6;29.1000003815;69.0;30;56.3302885294;
145;9;35.2999992371;114.616920471;26;100.621315479;7;27.1000003815;71.0;29;56.4057120085;
146;9;35.2999992371;114.901268005;25;101.882357001;7;27.1000003815;73.0;28;56.484351635;
147;9;34.2999992371;116.163665771;26;103.054185867;8;28.1000003815;71.6999969482;23;56.5662232637;
148;9;35.2999992371;117.840141296;27;104.139136195;8;28.1000003815;70.6999969482;24;56.6513283253;
149;9;35.2999992371;117.136428833;25;105.140602946;8;29.1000003815;70.6999969482;23;56.7396525145;
150;9;36.0999984741;117.402954102;25;105.967117786;8;30.1000003815;71.6999969482;24;56.8311642408;
151;9;35.2999992371;116.603431702;26;106.687327623;9;31.1000003815;71.6999969482;23;57.9258141518;
152;10;35.2999992371;115.765480042;25;107.355131149;8;34.0999984741;70.6999969482;23;58.0835335255;
153;10;36.0999984741;115.910728455;26;107.902534723;8;34.0999984741;72.6999969482;24;58.2471978664;
154;10;35.2999992371;115.0;26;108.243447065;8;34.0999984741;74.6999969482;24;58.416767478;
155;10;35.2999992371;114.0;26;108.568215609;8;34.0999984741;76.6999969482;24;58.5921735764;
156;10;36.0999984741;114.0;27;108.877882481;8;34.0999984741;78.6999969482;24;58.7733174562;
157;10;35.2999992371;113.0;27;109.11487031;8;32.0999984741;82.6999969482;23;58.9600690603;
158;10;35.2999992371;112.0;25;109.283979416;8;32.0999984741;83.6999969482;22;59.152266264;
