Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
154;18;122.919998169;304.624389648;53;216.066699505;18;124.220603943;279.350006104;44;234.267070055;
155;18;120.028305054;309.767059326;55;217.373877525;18;126.349494934;278.350006104;47;234.489328265;
156;18;123.079391479;308.915130615;56;218.624704838;18;125.371742249;280.350006104;48;235.720866323;
157;18;121.221954346;315.068450928;57;219.817292929;18;123.19707489;284.350006104;51;236.020260334;
158;18;121.2993927;318.826843262;60;220.950964808;18;126.221031189;286.350006104;52;236.91759181;
159;18;121.372512817;319.99005127;61;222.026107073;18;125.416755676;290.350006104;53;237.175986886;
160;18;122.475250244;324.117675781;63;223.043994665;18;124.317604065;297.350006104;53;237.606403351;
161;18;121.537506104;325.329772949;62;224.006597161;18;126.36063385;298.350006104;55;238.865361929;
162;18;120.642166138;328.505554199;64;224.916403532;18;125.486534119;302.350006104;55;239.512025237;
163;18;122.694824219;331.684753418;65;225.686296225;18;124.551216125;309.350006104;55;240.187816501;
164;18;123.779602051;334.866943359;67;226.386381745;18;124.618782043;307.350006104;56;240.888999581;
165;18;127.272598267;334.051635742;67;227.055752158;18;124.688896179;312.350006104;62;242.189947844;
166;18;129.384109497;335.238220215;64;227.595176697;18;124.818992615;319.350006104;61;242.873197556;
167;18;131.022186279;336.426269531;63;227.979604721;18;126.887321472;319.850006104;60;243.576873541;
168;18;132.96156311;335.426269531;65;228.364176273;18;125.957679749;322.850006104;60;244.296996355;
169;18;132.153808594;337.426269531;65;228.748016357;18;125.029701233;328.850006104;62;245.606023312;
170;18;130.659500122;340.426269531;67;229.130248308;18;127.160606384;328.180206299;63;246.290133953;
171;18;131.778518677;340.426269531;70;229.477574587;18;124.229011536;327.42791748;64;246.985495329;
172;18;129.806762695;341.426269531;72;229.782047749;18;124.298561096;333.687255859;66;247.688202858;
173;18;129.828155518;343.426269531;74;238.065514565;18;127.36882782;332.957702637;70;248.969690323;
174;18;131.792831421;353.919769287;76;244.939254045;18;126.49697113;334.238677979;70;249.618725061;
175;18;136.428649902;353.268798828;78;250.611409426;18;125.56186676;338.529388428;72;250.8347857;
176;18;138.875473022;376.757873535;79;255.154383659;20;127.683479309;336.828887939;72;251.429075241;
177;18;136.676391602;389.153625488;81;258.139297485;20;126.742897034;338.136077881;75;252.579432011;
178;18;138.183303833;395.00189209;82;260.36739707;20;125.857948303;340.449768066;76;264.361306667;
179;19;139.765304565;399.138397217;84;261.962519407;20;129.248123169;345.736541748;78;274.062559128;
180;19;140.300338745;400.465332031;85;263.106589794;20;132.32182312;351.813995361;80;281.993344784;
181;20;143.04119873;397.660461426;85;264.053726435;19;134.9271698;361.728881836;81;286.806303978;
182;20;143.356262207;398.427215576;89;264.770784616;19;135.663711548;367.535491943;83;290.377698898;
183;20;143.644607544;398.904205322;90;265.302274704;19;136.24118042;389.138305664;85;294.248347282;
184;20;139.051315308;402.165527344;91;265.783223152;19;138.815216064;387.000671387;87;296.669363618;
185;20;142.150100708;399.415283203;94;267.247045755;19;134.929153442;394.646209717;89;300.684513092;
186;20;140.515045166;405.652954102;97;267.922879457;19;139.659011841;394.675201416;90;303.380737305;
187;20;135.779312134;410.755218506;93;269.338080645;19;142.219909668;399.706787109;93;305.32625258;
188;20;138.114715576;410.757446289;89;286.411749005;20;138.423370361;406.78503418;92;306.921794415;
189;20;141.182403564;433.840393066;91;300.743857145;20;141.783843994;411.617370605;94;308.30648613;
190;20;139.433334351;366.782348633;92;312.651609659;21;143.58984375;406.520996094;94;309.472192764;
191;20;148.552490234;421.526153564;90;322.601643562;21;143.7472229;407.368164062;92;310.420069218;
192;20;157.300140381;447.2628479;93;330.663004398;21;140.842010498;411.157043457;91;311.28114295;
193;20;161.253479004;470.179870605;96;337.071895599;21;138.928100586;414.887145996;93;312.041030884;
194;20;169.257354736;480.620666504;97;342.649740696;21;139.204101562;418.558837891;94;338.01524806;
195;20;168.94720459;492.284484863;102;347.841838837;21;148.84552002;439.783905029;96;359.233249664;
196;20;172.994628906;494.255462646;102;352.637715816;21;154.624725342;453.283081055;95;376.070633411;
197;20;168.818908691;501.415649414;88;357.100170135;21;165.183670044;463.761199951;87;389.94656086;
198;20;175.406555176;491.110687256;83;361.363359451;21;165.610977173;476.340759277;79;399.465560436;
199;20;174.290710449;492.4168396;83;365.625439167;21;170.980148315;488.871917725;71;407.545669079;
200;20;171.816040039;495.691589355;83;369.748194218;22;176.33303833;495.556518555;72;412.999104977;
201;20;178.326019287;484.936859131;84;373.610642433;22;183.478927612;507.951629639;72;416.63974905;
202;20;178.715942383;491.154754639;80;377.128500462;22;186.616699219;519.566650391;72;419.130381107;
203;20;174.415283203;500.347503662;83;380.184845448;23;192.664962769;521.075256348;72;420.970473289;
204;20;174.837036133;509.4246521;86;382.801844597;23;198.596496582;534.73223877;72;422.523685455;
205;20;178.190826416;512.424682617;92;384.929511547;23;202.245407104;544.41418457;75;423.778438568;
206;20;180.660675049;521.424682617;92;386.709182739;23;202.844619751;553.979614258;77;427.567058563;
207;20;180.933441162;530.424682617;94;388.182145596;24;204.999588013;550.387573242;76;428.355626583;
208;21;181.17074585;539.424682617;92;389.149667263;24;198.796951294;572.22454834;76;434.24125576;
209;21;181.348358154;548.424682617;94;390.002088547;24;202.868240356;584.29083252;77;441.716416359;
