Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
78;10;40.4358406067;84.3061752319;20;95.501503706;9;29.2999992371;53.8918457031;15;46.426436305;
79;10;40.4358406067;85.4048156738;19;95.8954987526;9;29.2999992371;54.9337768555;13;46.7182871103;
80;10;40.4358406067;86.4995117188;19;96.2817959785;9;29.2999992371;55.9750137329;12;47.01324296;
81;10;40.4358406067;87.5902175903;20;96.6596169472;9;29.2999992371;56.015499115;13;47.3108654022;
82;10;40.4358406067;88.6768951416;15;97.0282382965;9;29.2999992371;56.0551834106;12;47.6106927395;
83;10;40.4358406067;88.9446716309;15;97.3869962692;9;29.2999992371;56.0940208435;12;47.9122447968;
84;10;40.4358406067;89.109703064;16;97.7352938652;9;29.2999992371;56.1319656372;12;48.2150213718;
85;10;40.4358406067;89.2699127197;16;98.0719308853;9;29.2999992371;56.1689758301;12;49.5185089111;
86;10;40.4358406067;89.4247665405;17;98.3464617729;9;30.2999992371;57.2050247192;12;49.8821806908;
87;10;40.4358406067;89.5510482788;18;98.6113190651;9;31.2999992371;58.2400817871;12;50.2484657764;
88;10;40.4358406067;89.6728897095;18;98.8661603928;9;31.5526657104;59.2741317749;12;50.616892457;
89;10;40.4358406067;89.7901153564;18;99.0358099937;9;31.5675163269;60.307144165;12;50.9869794846;
90;10;40.4358406067;95.2600402832;19;99.1979241371;9;31.5830612183;59.307144165;12;51.3582388163;
91;10;40.4358406067;96.3637924194;19;99.3544201851;9;31.599313736;58.307144165;12;51.7301779985;
92;10;40.4358406067;97.4639511108;19;99.5049934387;9;31.2999992371;57.307144165;12;52.1023015976;
93;10;40.4358406067;98.5603179932;20;99.6494064331;9;31.2999992371;56.307144165;13;52.4741159678;
94;10;40.4358406067;99.6527404785;24;99.7874846458;9;31.2999992371;55.307144165;14;52.8451290131;
95;10;40.4358406067;100.141113281;23;99.919116497;9;31.2999992371;56.307144165;14;53.1972168684;
96;10;40.4358406067;100.225357056;24;100.04424715;9;31.2999992371;56.0;13;53.5158866644;
97;10;40.4358406067;100.30544281;25;101.222960472;9;31.2999992371;56.0;12;53.8343341351;
98;10;40.4358406067;101.059822083;25;102.386716843;9;31.2999992371;56.0;13;54.1520645618;
99;10;40.4358406067;101.804618835;25;103.525864124;9;31.2999992371;56.0;14;54.4685909748;
100;10;41.4358406067;100.246131897;26;104.631474972;10;31.2999992371;56.0;12;54.7834377289;
101;10;42.4358406067;99.6773605347;26;106.695635319;10;31.2999992371;56.0;11;55.0961399078;
102;10;44.1175079346;100.095245361;27;108.771668434;10;31.2999992371;56.0;11;55.4062476158;
103;10;46.2223052979;101.49710083;28;109.773623288;10;31.2999992371;56.0;11;55.7133250237;
104;10;47.3203811646;102.880683899;28;110.72368747;10;31.2999992371;56.0;11;56.0169513226;
105;10;47.6693191528;104.244270325;29;111.619244337;10;31.2999992371;56.0;12;56.3167250156;
106;11;47.4953231812;105.586601257;25;112.459023952;10;31.2999992371;56.0;12;56.6122608185;
107;11;46.5720748901;105.7004776;26;113.242961526;10;31.2999992371;54.0;12;56.9031934738;
108;14;46.641834259;105.809036255;23;123.972021461;8;26.2999992371;39.0;11;48.0233681202;
