Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
58;5;37.0750007629;30.0;12;85.75;7;28.8680000305;32.0200004578;19;48.3560128212;
59;5;38.0750007629;30.0;12;86.1499996185;7;29.8680000305;32.0200004578;19;50.0170502663;
60;5;39.0750007629;30.0;13;86.5243997574;7;30.8680000305;32.0200004578;19;53.5941329002;
61;5;40.0750007629;30.0;16;86.8719387054;7;30.3599739075;33.6599502563;19;56.9185872078;
62;5;41.0750007629;30.0;15;87.1920347214;7;31.2962684631;35.0979385376;19;61.0124936104;
63;5;40.0750007629;32.0;15;87.4847183228;7;34.164855957;34.3882522583;19;63.7307983637;
64;6;39.5954170227;33.0;15;97.7505426407;7;36.7530021667;35.4000015259;20;66.3274589777;
65;7;37.675163269;36.0;14;98.3904876709;7;37.4519424438;36.4000015259;20;68.7473299503;
66;7;36.7971458435;39.0;14;98.980260849;7;36.0745162964;38.4000015259;20;70.9447882175;
67;7;36.8617591858;42.0;14;99.6278800964;7;35.7326087952;39.4000015259;20;72.9115729332;
68;7;36.9194602966;45.0;15;103.750609398;7;35.8700637817;40.4000015259;21;74.671223402;
69;7;37.9602584839;48.0;15;106.918095589;7;34.0745162964;40.4000015259;21;76.267595768;
70;7;40.4917602539;47.0;16;109.310456276;7;32.0745162964;43.3143119812;22;77.7524876595;
71;8;40.8591995239;49.0;14;112.073112488;7;34.0745162964;41.4000015259;22;79.1757001877;
72;8;41.7591171265;50.0;14;112.871589184;7;35.6978111267;42.4000015259;23;80.3487968445;
73;8;42.8895492554;52.0;15;113.310446262;7;36.9846305847;43.4000015259;24;80.85054636;
74;8;44.0059776306;55.0;16;113.560373902;7;38.1977272034;44.2719993591;24;81.4745473862;
75;9;42.1092720032;59.0;15;113.783468127;7;39.4412460327;45.1567993164;24;82.2011699677;
