Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
56;6;24.9677333832;30.0;12;35.4240201712;3;20.9500007629;35.4828567505;17;38.0095415115;
57;6;25.3999996185;29.0;12;35.5670909882;3;20.9500007629;37.4828567505;19;38.3509097099;
58;6;26.066904068;30.0;11;35.7074117661;3;20.9500007629;38.6749992371;19;38.6953148842;
59;6;25.0212554932;30.0;11;35.8449208736;3;21.9500007629;36.6749992371;20;39.0404214859;
60;6;25.3999996185;30.0;11;35.9795708656;3;22.3653450012;35.6749992371;22;39.383852005;
61;6;26.7938709259;29.0;11;37.1113262177;4;22.4426174164;35.6749992371;21;39.7232499123;
62;6;27.1571350098;31.0;13;37.2401618958;4;22.5189819336;35.6749992371;21;40.0563445091;
63;6;28.8720474243;31.0;13;37.366063118;4;22.5939292908;35.6749992371;22;40.3810133934;
64;6;27.1134796143;33.0;13;38.4406147003;4;22.6669788361;35.6749992371;23;40.6953339577;
65;6;29.132183075;34.0;12;38.5430793762;4;22.737701416;35.6749992371;23;40.9976272583;
66;6;30.9509239197;36.0;15;38.6467633247;4;22.8057174683;35.6749992371;24;41.2864894867;
67;6;30.9696731567;37.7000007629;15;38.7515900135;4;22.8707103729;35.6749992371;24;42.5608100891;
68;6;30.2000007629;39.7000007629;15;38.8574799299;4;23.932434082;36.6749992371;24;42.8597764969;
69;6;31.0071105957;39.7000007629;16;38.9643515348;4;24.9906997681;37.6749992371;26;43.144051075;
70;6;30.2000007629;40.7000007629;17;40.7520508766;4;25.2886619568;38.6749992371;26;43.413387537;
71;7;31.5320205688;40.4210014343;16;42.1993254423;4;23.2981948853;40.6749992371;26;43.6677874327;
72;8;30.0466766357;41.9716110229;14;60.362983346;4;24.3079948425;40.6749992371;26;43.9074686766;
73;9;29.1375198364;46.993434906;13;63.664675951;4;25.3180599213;40.6749992371;27;44.1328308582;
74;9;30.1375198364;50.8885879517;13;65.463537097;4;25.511138916;40.6749992371;27;44.3444230556;
75;9;30.1375198364;55.1178436279;13;67.8908752799;4;25.5587463379;40.6749992371;27;44.5429069996;
76;9;31.1375198364;60.1158943176;14;69.082621634;4;25.6034049988;40.6749992371;27;44.7290266752;
77;9;32.1375198364;64.3161621094;14;71.1275317669;5;25.645280838;40.6749992371;21;44.9035795927;
78;9;33.1375198364;67.9726638794;15;72.1185108423;6;25.6845569611;40.6749992371;20;56.1320815086;
79;9;34.1375198364;71.1629638672;16;72.9980476499;7;22.7026901245;43.8926887512;19;57.6916437149;
80;10;34.1375198364;74.3528442383;16;73.7845600247;7;25.3138809204;43.4878120422;20;59.0755634308;
81;10;35.0;74.8564300537;16;74.4460998178;7;27.3334674835;44.6976547241;17;61.3018157482;
82;10;36.0;78.9229049683;16;74.8691511154;8;29.3860778809;47.8617515564;14;78.2107806206;
83;10;37.0;80.9504165649;19;75.2286186814;8;29.8247909546;49.8926887512;14;81.6978589296;
84;11;38.0;86.0026550293;19;75.5950081348;8;32.1165084839;53.4926872253;13;84.7375029325;
85;11;39.0;88.8565673828;19;75.9719141722;8;32.9997406006;54.4926872253;14;88.3565744162;
86;11;40.0;92.2573547363;20;76.3584427238;8;31.0227928162;60.4926872253;14;90.6358346939;
87;11;41.0;95.151260376;21;76.7537089586;8;31.185634613;66.49269104;14;92.5829054117;
88;11;42.0;102.118667603;21;77.1568318307;8;33.4531784058;68.8362579346;15;94.046790123;
89;11;44.0;104.398666382;23;77.5669277906;9;33.2347488403;70.8362579346;16;95.2394007444;
90;11;44.0;109.238632202;24;77.9831048548;9;33.5901069641;72.7268066406;17;96.2905783653;
91;11;45.0;114.299377441;25;78.4044580758;9;34.8885993958;72.8672332764;18;96.9251362085;
92;12;47.0;116.325378418;22;88.8300664723;9;36.9251861572;74.8926849365;19;97.4446461201;
93;12;48.0;121.104324341;24;89.758988142;9;37.9623985291;71.8926849365;20;97.6291100979;
94;12;50.0;125.217422485;24;90.6627602577;10;40.0001831055;70.8926849365;19;97.8148732185;
95;12;52.0;126.328292847;24;91.5373140275;10;41.315536499;69.8926849365;20;98.0026015043;
96;12;51.5999984741;130.436737061;25;92.3795826733;11;42.8272018433;69.8926849365;19;98.1919754744;
97;12;51.5999984741;133.736236572;27;93.1874698102;11;42.8663024902;69.8926849365;20;98.3826653957;
98;12;52.5999984741;131.964492798;27;93.9597694576;11;40.9056892395;70.8926849365;20;98.5743335485;
99;13;51.5999984741;133.191497803;26;94.6960448623;11;39.9453010559;71.8926849365;20;98.7666385174;
100;13;51.5999984741;134.416763306;28;95.3964918554;11;40.6103973389;70.8926849365;22;98.9592366219;
101;13;52.5999984741;132.639785767;28;96.0606083274;11;41.6377220154;72.0;22;99.1517856121;
102;13;52.5999984741;136.637588501;28;96.624368012;11;42.6648406982;74.0;23;99.3439474106;
103;13;53.5999984741;136.89112854;27;97.1592063606;11;42.6916809082;76.0;23;99.5353912115;
104;13;53.8499984741;137.142288208;29;97.6663772464;11;42.7181854248;78.0;23;99.7257953882;
105;13;53.9355964661;137.640350342;29;99.0515064001;11;42.7442970276;77.0;23;99.9148503542;
106;13;54.8499984741;139.884597778;31;99.4397637546;11;42.7699584961;77.0;26;100.102261305;
107;13;55.9335823059;142.12437439;34;99.8352779746;11;42.7951202393;77.0;26;100.287748694;
108;13;55.8499984741;144.359100342;34;102.291446805;11;38.819732666;79.0;26;100.471050501;
109;13;55.9850006104;147.700683594;34;104.812172472;11;38.8437576294;81.0;26;100.651924014;
110;13;54.9850006104;149.085372925;40;107.377294362;11;39.492149353;84.0;21;100.830146074;
111;14;54.9850006104;151.500839233;40;109.965194404;11;39.5148849487;87.0;23;101.00551331;
112;15;56.9850006104;151.933486938;36;127.553660482;11;40.5369262695;89.0;23;101.177842855;
