Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
196;13;109.642272949;224.162475586;40;206.850174427;18;124.514137268;312.195953369;61;212.856357574;
197;13;109.685012817;227.162475586;44;210.04940176;18;126.229797363;308.259796143;61;212.645044446;
198;13;110.580940247;231.162475586;44;218.734174252;18;123.005805969;313.323394775;61;216.100841522;
199;14;111.756637573;238.962463379;41;226.806666374;18;124.349594116;310.386749268;61;215.750229836;
200;14;113.931564331;234.962463379;42;232.661239266;18;127.352600098;302.449829102;62;219.019220114;
201;14;119.26726532;255.066802979;43;237.117049217;18;125.419563293;306.512542725;61;218.536638021;
202;14;123.758712769;269.023956299;46;240.404569983;18;125.402122498;302.574920654;62;218.154346943;
203;14;124.634742737;281.962310791;43;243.019396901;18;126.657707214;298.636901855;62;217.858506441;
204;14;126.303817749;292.461578369;42;245.268514872;18;123.410072327;303.698455811;62;217.619857788;
205;15;129.050094604;302.808319092;42;248.069226265;18;120.637207031;303.759552002;63;217.402382612;
206;15;136.012649536;314.728729248;47;249.453622937;18;117.604301453;306.820129395;65;217.241708755;
207;15;127.222808838;303.12701416;45;250.773007631;18;115.620307922;313.880187988;64;221.069650888;
208;15;123.336227417;304.946075439;44;252.03368032;18;113.623138428;311.939697266;64;224.420020103;
209;15;129.701217651;304.034790039;39;253.287353158;18;112.827766418;307.998596191;64;227.354840517;
