Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
69;5;27.1394863129;32.5;13;40.7162040472;1;17.625;17.5;13;25.0;
70;5;26.8884811401;33.1059188843;13;42.2590219975;1;17.625;17.5;13;25.0;
71;5;27.1511974335;33.7935180664;13;43.547711134;1;17.625;17.5;13;25.0;
72;5;25.0382518768;35.9041137695;12;44.618432641;1;17.625;17.5;14;25.0;
73;5;24.5684814453;36.4031562805;14;45.5093884468;1;17.625;17.5;14;25.0;
74;5;24.2593841553;37.6655006409;15;46.1083481312;1;17.625;17.5;14;25.0;
75;5;25.6587562561;35.0;15;46.5021322966;1;17.625;17.5;14;25.0;
76;5;24.6781482697;35.0;17;46.8741908073;1;15.625;18.5;15;25.0;
77;6;24.2999992371;36.8850326538;15;55.116571784;1;14.625;19.5;15;25.0;
78;6;22.2999992371;39.9313201904;15;55.5592352152;1;13.625;20.5;15;25.0;
79;6;21.2999992371;42.9791641235;15;55.9949162006;1;12.625;21.5;15;25.0;
80;6;21.2999992371;46.0285301208;16;56.422939539;1;13.625;19.5;15;25.0;
81;6;22.0;50.0793685913;16;56.8427853584;1;14.625;18.5;15;25.0;
82;6;23.0;53.4798316956;16;57.2540767193;1;15.625;17.5;15;25.0;
83;6;24.0;55.5914535522;16;57.6565585136;1;16.625;17.5;15;25.0;
84;6;24.1607608795;57.7052078247;16;58.0500769615;1;17.625;17.5;16;25.0;
85;6;23.1607608795;57.8208885193;17;58.4345595837;1;17.625;17.5;18;25.0;
86;6;23.1607608795;58.9382553101;17;58.8099968433;1;17.625;17.5;18;25.0;
87;6;24.1607608795;61.0570602417;18;59.1764216423;1;17.625;17.5;18;25.0;
88;6;23.1607608795;61.1770477295;20;59.5338933468;1;17.625;17.5;18;26.0;
89;6;22.1607608795;61.2979469299;20;59.8389480114;1;17.8500003815;18.0;19;26.7800006866;
90;6;22.1607608795;61.4194717407;21;60.0826773643;1;18.0255012512;18.3899993896;19;27.3745174408;
