Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
20;2;19.625;13.0609502792;6;26.4528282881;1;17.625;12.5;5;25.0;
21;2;19.9518871307;12.5;6;26.5043625832;1;17.625;12.5;5;25.0;
22;2;19.9634819031;12.5;7;26.5569496155;1;17.625;12.5;6;25.0;
23;2;19.9753131866;12.5;7;26.6105561256;1;17.625;12.5;6;25.0;
24;2;19.9873752594;12.5;7;26.6651450396;1;17.625;12.5;7;25.0;
25;2;17.9996566772;13.5;7;26.72067523;1;17.625;12.5;8;25.0;
26;2;17.0121517181;14.5;8;26.7771017551;1;17.625;12.5;8;25.0;
27;3;16.024848938;15.5;8;26.8343759775;1;17.625;12.5;8;25.0;
28;3;15.0377349854;16.5;8;26.8924454451;1;17.625;12.5;8;25.0;
29;3;14.0;18.2569789886;8;26.9512542486;1;17.625;12.5;8;25.0;
30;3;14.439031601;18.5;9;27.0107431412;1;15.625;13.5;8;25.0;
