Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
96;14;36.9104499817;121.06072998;17;109.414761215;9;39.9715003967;68.7090148926;19;42.439895153;
97;14;38.1299819946;119.22038269;17;110.895790905;11;40.9593505859;71.9546585083;19;43.229932189;
98;14;39.3660507202;116.415557861;16;111.767820418;11;38.4000015259;76.1975860596;19;44.0242184401;
99;14;37.616317749;117.572433472;17;113.650500774;11;39.4000015259;80.6396102905;16;44.8195641637;
100;14;41.877571106;115.658111572;19;115.150285229;11;40.4000015259;82.8881759644;17;45.6128517985;
101;14;43.3213577271;117.743850708;19;116.559598729;12;40.9217453003;84.5895080566;16;46.4010792375;
102;14;44.6129798889;120.308898926;21;117.900371075;12;40.4000015259;87.8992385864;15;47.1813984513;
103;14;44.6849784851;123.651535034;23;119.12848942;12;40.4000015259;91.1982498169;16;48.9511480331;
104;15;49.2824287415;125.736251831;22;120.160387918;13;41.4000015259;95.4856262207;15;50.7378831506;
105;15;52.3118438721;127.820205688;23;121.140549481;13;43.4000015259;100.7605896;15;51.5399885178;
106;16;53.5441513062;129.861755371;25;122.058888838;13;44.4000015259;105.37322998;16;52.3260980248;
107;16;53.8445129395;131.943634033;29;122.908725485;13;44.4000015259;109.257637024;17;55.7225255966;
108;16;54.1332244873;134.024185181;29;123.686747156;13;45.4000015259;114.331741333;17;58.2610993981;
109;16;54.3764572144;136.103256226;29;124.392665721;13;46.4000015259;118.41456604;17;60.8370981216;
110;17;53.5926742554;140.307617188;27;126.026226945;13;46.4000015259;122.351669312;19;64.4287481904;
