Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
75;15;56.9371414185;126.191894531;13;166.933851838;9;24.0;71.3410415649;12;71.9942244291;
76;15;58.0140419006;130.470489502;14;167.847365499;9;24.0;76.4142608643;14;73.1946643591;
77;15;58.0962600708;133.82850647;14;168.817987204;10;24.0;81.4905853271;13;74.359500289;
78;16;58.1836166382;137.20942688;12;172.209681749;9;24.0;73.5956192017;13;72.9573049545;
79;16;59.2757263184;141.611297607;14;173.43608427;9;22.0;78.441368103;13;73.8700692654;
80;16;60.371963501;146.030944824;16;174.70540309;9;22.0;82.5053253174;14;74.725736022;
81;16;60.7134857178;150.464096069;17;176.005560637;9;24.0;80.0071792603;15;75.4261720181;
82;16;60.8304977417;154.905410767;20;177.32254982;9;23.0;80.084487915;15;76.0341529846;
83;17;61.9490280151;156.045303345;24;178.641195059;9;22.0;83.1453857422;15;76.5986489058;
84;17;61.0677032471;159.465911865;26;180.946088791;9;24.0;80.2050704956;16;77.1190195084;
85;17;62.1851463318;168.306533813;27;182.272587061;9;23.0;80.2634429932;17;77.5957603455;
86;17;64.3000335693;173.53868103;28;182.964050293;9;22.0;83.3204269409;18;78.0302867889;
87;17;66.4063720703;175.559875488;30;183.655177712;9;24.0;80.3759689331;18;78.424710989;
88;17;66.8773117065;181.489227295;29;184.335944295;9;22.0;83.4300079346;18;78.7816183567;
89;17;68.60131073;184.525726318;30;184.999102592;9;23.0;83.4824829102;18;79.1038783789;
90;18;70.0336151123;186.441497803;30;185.639867306;8;24.0;80.5333786011;19;79.3944795132;
91;18;70.0229721069;189.414642334;31;189.049697042;8;22.0;83.5826568604;20;79.5579125881;
92;18;74.6393432617;181.440322876;32;191.605897903;8;23.0;83.6303100586;20;79.6421399117;
93;18;77.4292907715;177.559265137;33;193.660552382;8;24.0;80.6690444946;19;79.7187523842;
94;18;75.8175506592;181.981277466;36;195.706198931;8;22.0;83.7042922974;20;79.7920236588;
95;18;78.0223007202;183.393280029;37;198.635226727;8;23.0;83.737991333;21;79.861989975;
96;18;80.2411193848;181.799468994;38;200.645701289;8;24.0;80.7701721191;23;79.9286999702;
97;18;81.4061584473;184.197509766;39;203.664210081;8;22.0;83.8008651733;23;79.9922142029;
98;18;80.7586364746;188.805328369;40;205.795574665;8;23.0;83.830078125;25;80.0;
99;18;81.8846817017;190.348709106;40;207.901267409;8;24.0;80.8336639404;24;80.0;
100;18;83.7970581055;191.515258789;45;209.987909675;8;22.0;83.8336639404;23;80.0;
