Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
19;2;25.3526668549;12.5;6;26.2080165148;2;20.1472320557;12.5;5;27.4992582798;
20;2;25.7936077118;12.5;6;26.2296639681;2;20.1873321533;12.5;5;27.6867210865;
21;3;25.8033485413;12.5;5;26.2514331341;2;20.229511261;12.5;5;27.8832085133;
22;3;25.25;12.5;5;26.2733153105;2;20.2737216949;12.5;5;28.0884003639;
23;3;25.8229923248;12.5;5;26.2953014374;2;20.3198890686;12.5;5;28.3018581867;
24;3;25.8328857422;12.5;6;26.3173824549;2;20.3679180145;12.5;6;28.5230212212;
25;3;25.25;13.422167778;6;26.3395489454;3;20.417678833;12.5;5;28.7512066364;
26;3;25.25;13.4376840591;6;26.3617914915;4;20.4690208435;12.5;4;28.9856116772;
27;3;23.8628063202;13.5;6;26.3841004372;4;20.5217628479;12.5;4;29.2253217697;
28;3;24.25;13.468870163;6;26.4064661264;4;20.5756969452;12.5;4;29.4693202972;
29;3;22.8829097748;13.5;6;26.428878665;4;20.6305961609;12.5;4;29.716504097;
30;3;23.25;13.5;6;27.4513280392;4;20.686214447;12.5;4;29.9657006264;
31;3;22.9030971527;13.5;6;27.5038043261;4;19.625;13.5;4;30.2156887054;
32;3;22.9132118225;14.5;6;27.5568884611;4;20.625;12.5;4;30.4652233124;
33;3;22.4006004333;15.5;6;27.6105635166;4;20.854675293;12.5;4;30.7130589485;
34;3;21.4247531891;16.5;6;27.6648111343;4;19.625;13.5;4;30.9579744339;
35;3;20.4491653442;17.5;6;27.7196118832;4;19.625;14.5;4;31.198797226;
36;3;19.4738254547;18.5;6;27.7749450207;4;20.625;12.5;4;31.4344263077;
37;3;19.25;18.3320960999;6;27.8307887316;4;19.625;13.5;5;31.6638503075;
38;3;18.5238552094;17.5;6;27.8871197701;4;19.625;14.5;5;31.8861660957;
