Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
20;2;19.8253707886;12.5;5;26.1438889503;2;19.625;13.8304376602;6;29.8589887619;
21;2;20.488527298;12.8431663513;6;26.1651208401;2;19.625;14.4435958862;5;30.3031497002;
22;2;21.488527298;12.8495359421;6;26.1864993572;2;19.625;14.6212596893;6;30.7643566132;
23;2;21.8559494019;12.5;5;26.2080165148;2;20.625;12.6212596893;5;31.2390885353;
24;2;21.5;12.8624048233;5;26.2296639681;2;21.0287952423;12.5;5;31.7232985497;
25;2;21.5;12.8688993454;4;26.2514331341;2;19.625;13.5;4;32.2125329971;
26;2;21.5;12.8754301071;4;26.2733153105;2;20.625;12.5;4;32.7020812035;
27;2;21.5;12.8819942474;4;26.2953014374;2;21.3579673767;12.5;4;33.1871519089;
28;2;21.5;13.1476507187;3;26.3173824549;2;19.625;13.5;3;33.6630582809;
29;2;21.8952140808;12.5;3;26.3395489454;2;17.625;15.5;4;34.1254005432;
30;2;19.9018650055;13.5;3;26.3617914915;2;16.625;17.5;4;34.570227623;
31;2;18.908536911;14.5;3;26.3841004372;2;15.625;19.5;6;34.9941673279;
32;2;17.9152297974;15.5;3;26.4064661264;2;14.625;21.5;5;35.3945169449;
33;2;16.9219398499;16.5;3;26.428878665;2;14.0;23.5;5;35.7692890167;
34;2;15.9286632538;17.5;3;26.4513280392;2;14.0;25.5;5;36.1172132492;
35;2;14.9353981018;18.5;3;26.4738043547;2;14.0;27.2820491791;5;36.4376983643;
36;2;14.4421415329;19.5;3;26.4962974787;2;14.0;28.5063896179;5;36.7307662964;
37;2;14.4488887787;20.5;4;26.5187973976;2;14.0;29.7115364075;5;36.9969644547;
38;2;14.4556388855;21.5;4;26.5412938595;2;14.0;30.8978748322;6;37.2372674942;
39;2;14.4623880386;22.5;4;26.5637768507;2;14.0;32.0660858154;8;37.4529781342;
40;2;14.4691333771;23.5;4;26.5862361193;2;14.0;33.2170829773;8;37.6456279755;
41;2;14.4758710861;24.5;4;26.6086617708;2;14.0;34.351940155;9;37.8168964386;
42;2;15.4825983047;22.5;5;26.6310436726;2;14.0;35.4718284607;8;37.9685335159;
43;2;14.4893131256;23.5;5;26.6533719301;2;14.0;36.5779724121;9;38.0;
44;2;14.496011734;24.5;3;26.6756366491;2;14.0;37.5999984741;10;38.0;
45;2;15.5026912689;22.5;4;26.6978281736;2;14.0;38.5999984741;10;38.0;
46;2;14.5093479156;23.5;4;26.7199368477;2;15.0;36.5999984741;10;38.0;
