Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
237;20;147.120498657;447.880859375;119;393.861168385;25;198.932678223;483.369018555;128;371.036948204;
238;20;149.820358276;440.317596436;119;394.481601238;25;205.153457642;494.643676758;127;373.518376112;
239;20;143.56048584;436.406646729;121;395.119622707;25;208.877456665;504.382476807;128;381.570422649;
240;20;146.334594727;443.181030273;116;395.752948761;25;206.704193115;517.693969727;123;388.43254137;
241;19;146.624282837;444.987792969;116;390.985960007;27;206.85369873;532.26574707;121;399.41553092;
242;19;149.425827026;449.099731445;117;391.315526962;27;205.282791138;544.532470703;123;410.172925949;
243;19;152.247573853;452.940582275;122;391.606567383;27;210.340270996;556.029785156;122;419.175945282;
244;19;155.086593628;455.5887146;124;391.856441498;27;214.437026978;566.579650879;123;426.711774111;
245;20;157.940505981;456.305297852;123;392.065263748;28;217.705093384;576.422424316;122;432.782875776;
246;20;160.807434082;459.159667969;125;392.235090256;28;220.11819458;585.625915527;122;437.70909977;
247;20;163.685836792;460.215637207;127;392.369213104;29;221.9012146;594.264770508;118;441.611428022;
248;20;166.574569702;460.073638916;128;392.456127167;29;223.194335938;602.235229492;115;444.247267485;
249;21;169.470993042;450.592681885;128;392.138479233;29;223.913757324;609.40637207;113;445.582445383;
250;21;173.33821106;441.327056885;128;391.824634552;29;224.058258057;615.751647949;113;446.751106024;
251;21;177.215927124;432.088043213;130;394.542169571;29;224.175140381;621.959899902;113;447.860924721;
252;21;183.405853271;425.636260986;127;394.497950554;29;224.286102295;628.167907715;110;448.901330233;
253;21;186.1277771;420.642608643;128;394.48711729;29;224.390151978;633.175170898;110;447.265207529;
254;21;184.060409546;418.468353271;127;394.506490707;29;223.176544189;634.95111084;110;445.808882236;
255;21;180.202713013;421.111572266;129;397.553031445;29;222.085906982;636.868225098;107;456.033317566;
256;22;185.257522583;426.970367432;127;397.923809767;29;222.672134399;631.820922852;106;454.819515467;
257;23;190.244369507;434.843353271;124;406.627568245;28;216.720504761;627.686767578;107;446.667174816;
258;24;196.069549561;449.729003906;117;426.391501188;27;201.261123657;614.88293457;107;432.679686785;
259;24;202.866363525;466.046966553;117;431.143312454;28;204.045715332;614.995422363;105;432.618006706;
260;24;207.691162109;474.35067749;114;438.47547245;29;207.463989258;615.212097168;104;432.411847115;
261;24;206.36416626;469.947174072;110;437.534469128;29;209.226318359;609.521606445;93;431.958321571;
262;24;203.818359375;470.505645752;101;439.113666534;29;211.840820312;605.114135742;93;431.561599255;
263;24;187.204116821;454.393554688;74;438.242085934;29;214.495010376;606.580505371;62;431.312436581;
264;24;189.750106812;462.317596436;72;441.784001827;29;217.194580078;612.112670898;61;431.191551685;
265;24;200.54649353;474.877288818;75;444.530200005;29;219.93447876;615.753662109;62;433.694678307;
266;24;204.500747681;484.997680664;69;446.251992702;29;222.658508301;621.702758789;63;436.882971048;
267;24;207.72517395;491.3046875;71;447.495351791;29;226.227432251;627.131408691;63;438.886377096;
268;24;210.84954834;494.118347168;67;448.000516415;29;227.221420288;630.295776367;63;440.72329998;
269;24;201.920303345;492.077026367;66;448.350713253;30;224.34173584;636.503662109;62;441.797783375;
270;24;190.973556519;500.775512695;70;448.699057102;30;221.722961426;643.452575684;65;443.157516956;
271;24;184.22479248;510.44720459;69;449.040747166;31;218.442077637;650.426330566;64;444.778348446;
272;24;190.07371521;521.088439941;67;449.371832371;31;227.189147949;657.420410156;64;446.627021313;
273;24;199.120117188;531.696166992;70;449.689174652;31;237.457290649;663.571228027;68;448.660330296;
274;24;209.188415527;536.268249512;61;449.990417957;31;247.831588745;669.034851074;66;451.621156693;
275;24;209.215118408;549.803527832;61;450.273920059;31;250.589004517;677.584777832;66;457.218586922;
276;24;212.240386963;562.101318359;61;448.738667965;31;248.487182617;683.109802246;66;459.706329346;
277;24;214.364074707;564.821777344;60;447.364183903;32;256.310241699;688.631469727;65;465.853006124;
278;24;216.576126099;567.679626465;49;446.132461548;32;274.045166016;695.815185547;52;469.276245832;
279;23;217.345458984;557.174621582;58;436.02765274;33;283.669189453;703.815856934;51;481.471859932;
280;23;211.282806396;532.307922363;56;435.014354229;33;283.181060791;707.401062012;51;492.900503874;
281;23;205.224517822;546.963134766;56;434.034936905;33;291.493988037;705.206176758;50;505.010632992;
282;23;202.685531616;549.587036133;54;433.148390293;33;299.931884766;707.858886719;52;507.532625675;
283;23;202.686569214;549.861572266;55;432.233545303;33;302.214813232;713.709411621;53;509.522871971;
284;23;202.223846436;546.350280762;58;431.410183907;33;308.325805664;719.553039551;48;510.786562443;
285;23;205.939849854;541.75201416;58;430.669165611;33;313.969970703;725.381164551;55;509.973628521;
286;24;213.878845215;542.754577637;51;439.646216393;33;319.95022583;725.557556152;53;499.641286373;
287;24;223.602737427;546.269958496;55;443.756526947;33;328.93560791;730.77532959;53;501.886255264;
288;24;234.6146698;549.864501953;58;446.966692448;33;340.237915039;737.683349609;54;501.748650312;
289;24;243.568878174;552.404785156;59;449.411621094;33;349.323669434;738.823852539;62;501.69205904;
