Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
111;10;41.2539367676;94.4011993408;26;84.3463954926;13;38.75;99.7097473145;32;87.4942836761;
112;10;40.3499984741;98.8694458008;26;85.6423838139;13;39.6859664917;100.995407104;32;88.0292611122;
113;10;39.3499984741;103.320571899;26;86.8818132877;13;38.6859664917;100.995407104;32;89.5450334549;
114;10;40.3499984741;103.316368103;29;87.956091404;14;37.75;104.995407104;32;91.2075130939;
115;10;40.3499984741;102.860687256;31;88.933078289;14;40.75;106.995407104;32;93.4605021477;
116;10;41.3499984741;103.387916565;32;89.8845267296;14;44.5063209534;107.995407104;32;95.947463274;
117;10;43.3499984741;100.897323608;33;90.8083863258;14;47.7029266357;110.995407104;34;97.6812685728;
118;10;43.3499984741;101.388427734;35;91.7030425072;16;49.9044761658;114.995407104;32;99.5551108122;
119;10;44.3499984741;102.861114502;34;92.5672883987;16;50.1075248718;117.995407104;31;101.569840074;
120;10;46.3499984741;101.315422058;35;93.400290966;16;50.3084373474;119.995407104;32;104.726093411;
121;10;46.3499984741;102.751647949;36;94.2015600204;16;52.5036239624;121.0;32;107.223978281;
122;10;47.3499984741;104.170188904;37;94.9581546783;16;55.6898155212;122.0;33;109.911705375;
123;10;49.3499984741;102.562667847;37;95.5770702362;16;57.1142692566;124.0;34;112.783415794;
124;10;49.3499984741;103.864501953;38;96.1776771545;16;57.5249290466;126.0;34;116.836918116;
125;10;50.3499984741;105.159729004;39;96.7592492104;16;58.6704902649;129.0;35;120.182972074;
126;10;52.3499984741;103.448143005;39;97.3212804794;17;60.3940391541;128.0;35;123.696524858;
127;10;52.3499984741;104.729598999;40;97.8634672165;17;60.5698852539;128.0;37;127.351201296;
128;10;53.3499984741;102.00402832;41;98.3856806755;17;60.7353782654;128.0;38;131.112639546;
129;10;55.3499984741;102.27130127;41;98.8879451752;17;61.8914871216;129.0;40;134.94161725;
130;10;57.3499984741;102.531425476;42;98.3883810043;17;61.0393486023;133.0;40;137.119166613;
131;10;59.3499984741;102.56048584;42;97.9579339027;18;61.694393158;137.0;40;139.319155574;
132;10;61.3499984741;102.596107483;42;97.5961589813;18;69.3235549927;143.0;41;141.504143238;
133;10;63.3499984741;102.644165039;43;97.2949085236;18;71.0395050049;147.0;42;143.644997597;
134;10;65.3499984741;102.702911377;44;97.0285816193;18;73.0410461426;152.0;42;145.719427824;
