Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
270;21;143.929260254;326.158660889;55;277.025782943;17;140.326431274;354.079406738;62;295.399679184;
271;22;148.579910278;324.700714111;35;288.610931635;16;136.314926147;352.992431641;42;292.056623936;
272;22;144.846603394;331.061096191;33;293.569598913;16;140.210845947;350.769042969;32;294.279286385;
273;22;148.330627441;334.380401611;33;298.057490349;16;138.028900146;354.149353027;32;296.123717308;
274;22;147.865814209;339.10244751;33;301.538991451;16;138.684631348;357.300018311;35;297.356413841;
275;22;150.766082764;344.773620605;36;304.109152794;16;142.060180664;351.300018311;37;297.842405319;
276;22;153.606491089;351.818725586;34;306.593715191;16;145.106002808;351.300018311;26;298.210036278;
277;22;157.423126221;359.382965088;34;308.794702768;16;139.221008301;354.300018311;29;298.559093475;
278;22;158.436630249;366.690765381;34;310.83413434;16;139.255905151;357.300018311;30;298.888012886;
279;22;159.193084717;373.875518799;38;312.80445528;16;139.288803101;360.300018311;30;299.195726395;
280;22;159.913925171;381.038970947;40;314.539002657;16;139.319580078;363.299987793;30;299.481642723;
281;22;160.481063843;388.17666626;35;316.171200991;16;139.34815979;366.300018311;33;299.74560833;
282;22;160.993713379;392.411804199;36;317.690914631;16;124.34815979;321.637145996;35;297.57104969;
283;22;161.446502686;396.487091064;41;319.135474205;16;127.898162842;355.349975586;37;299.769413948;
284;22;161.868133545;400.527008057;42;320.502651691;16;138.946899414;351.282348633;36;300.063013077;
285;22;162.258178711;404.529571533;44;321.791497707;17;142.150405884;351.300018311;38;300.277301788;
286;22;162.616821289;408.493377686;45;323.002170563;17;139.150405884;354.300018311;41;300.471575737;
287;22;162.944763184;412.417449951;46;324.135770798;17;139.447158813;357.300018311;39;300.646909714;
288;22;163.243057251;416.301116943;48;325.194155216;17;124.447158813;320.299987793;41;298.382220268;
289;22;163.513076782;420.144195557;49;326.179778576;17;127.997161865;355.349975586;41;300.507958412;
