Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
205;25;249.934188843;628.14050293;121;510.070708275;23;171.064041138;498.458312988;121;397.686938763;
206;26;250.207077026;637.95489502;118;515.682765961;23;174.155593872;501.286529541;124;400.64104414;
207;26;252.768295288;650.681030273;120;521.578299046;23;196.418426514;513.249816895;126;403.120246887;
208;26;255.357818604;663.549743652;120;525.070162296;23;192.644851685;521.760620117;130;405.497900963;
209;26;255.707000732;675.118041992;124;528.510167599;23;187.956298828;530.198791504;132;410.755664825;
210;26;256.050994873;683.668579102;88;534.91516304;23;186.551071167;541.537902832;90;413.535970449;
211;26;258.69152832;694.697509766;68;538.79001832;23;189.893585205;542.751953125;69;416.283558369;
212;28;259.07901001;701.241333008;64;545.821043491;23;187.628356934;545.816589355;72;418.916471481;
213;28;262.482116699;706.390258789;63;551.130584717;23;190.891647339;552.71081543;74;421.389460087;
214;28;265.577056885;710.360351562;62;556.978617191;24;194.138961792;557.419128418;70;423.654783249;
215;28;267.301635742;712.184570312;59;563.223783016;24;197.365493774;560.101928711;63;425.838123322;
216;28;266.522369385;710.661621094;58;569.967830658;24;200.583847046;561.194580078;71;427.736105919;
217;28;273.072235107;709.958618164;61;577.258038044;24;203.773635864;562.145263672;72;429.865064621;
218;28;279.666473389;712.242431641;68;587.928301334;24;208.386520386;565.957458496;73;431.944532394;
219;28;288.591125488;717.492248535;70;596.214496613;24;211.594482422;563.640258789;74;433.938443184;
220;28;294.113739014;721.688476562;72;604.383126259;24;214.79385376;564.206481934;76;435.809429169;
221;28;299.102355957;727.58984375;70;612.094027996;24;215.780960083;564.670593262;75;440.523580551;
222;28;301.610687256;731.633422852;73;619.048836231;24;212.952377319;571.047302246;75;442.239210844;
223;28;303.377075195;741.585998535;74;625.037519455;24;207.423950195;576.199951172;75;443.707176208;
224;28;285.453704834;738.639343262;78;630.011113167;24;202.570755005;579.199951172;74;445.033600092;
225;28;271.531799316;739.639343262;81;634.093122959;24;200.475143433;582.199951172;77;445.26538229;
226;28;259.26763916;740.639343262;83;637.198161125;24;199.26574707;585.199951172;78;445.502308846;
227;28;252.233886719;744.639343262;83;639.721338272;24;196.350250244;588.199951172;78;446.712255001;
228;28;257.388916016;754.050048828;84;641.514799118;24;196.471237183;591.199951172;80;447.787459373;
229;28;262.857666016;769.475708008;87;643.078004837;24;196.578765869;594.199951172;80;447.879937649;
230;28;274.99017334;783.820251465;84;644.402482986;24;196.588012695;597.199951172;83;447.986415863;
231;28;287.111572266;798.131652832;84;645.391662598;24;199.573883057;600.199951172;82;448.104103088;
232;28;298.60357666;816.987548828;89;646.179128647;24;200.78187561;603.199951172;83;448.230412006;
233;29;307.682342529;836.168701172;95;646.906977654;24;200.963058472;606.199951172;84;448.362971306;
234;30;318.755126953;851.710510254;95;654.004290581;23;193.992752075;604.199951172;90;441.834636688;
235;30;328.46484375;857.303039551;95;654.826077938;23;196.983474731;598.199951172;91;441.751173019;
236;30;335.777740479;859.191589355;96;661.241043568;23;199.975128174;593.199951172;93;441.676055908;
237;30;343.32321167;865.424743652;97;666.678915024;23;202.96762085;588.199951172;94;441.608449936;
238;30;360.583770752;849.953125;99;671.224368572;23;205.960876465;583.199951172;96;441.547605515;
239;30;369.909332275;838.806030273;99;677.986429214;23;208.954788208;578.199951172;97;441.492845535;
240;30;381.487640381;829.410705566;100;681.313821077;23;211.949310303;573.199951172;97;441.443561554;
241;30;390.763946533;816.406738281;104;684.026190042;23;214.944396973;568.199951172;97;441.399206161;
242;30;400.006744385;806.079833984;107;685.71460104;23;216.339950562;565.199951172;98;441.359285355;
243;31;411.366607666;794.791381836;108;686.897719383;23;216.335952759;565.199951172;98;441.323356628;
244;31;423.984893799;792.593322754;109;688.022654057;23;216.332366943;565.199951172;99;441.291021347;
245;31;434.847381592;793.104431152;109;688.917396069;23;216.32913208;565.199951172;99;441.261919022;
246;31;449.011871338;797.967651367;111;689.820466042;23;216.326217651;565.199951172;100;441.23572731;
247;31;467.102203369;812.539123535;111;691.365080357;23;204.32359314;559.199951172;100;441.212154388;
248;31;485.25668335;824.994995117;112;692.897720814;23;197.521240234;556.199951172;101;441.19093895;
249;31;503.409881592;835.113891602;113;694.39573288;23;191.519104004;553.199951172;101;441.171844482;
250;31;519.239562988;844.389465332;113;695.838397026;23;188.517196655;550.199951172;101;441.154659271;
251;31;531.758850098;852.189880371;115;697.208003998;23;191.115463257;547.199951172;102;441.139192581;
252;31;540.895812988;907.362731934;119;698.49058342;23;195.113922119;544.199951172;102;441.125272751;
253;31;547.524047852;937.935913086;120;699.676244736;23;199.112533569;538.799987793;104;441.112745285;
254;32;553.64263916;947.714416504;121;700.759149551;23;204.11126709;542.599975586;104;441.101470947;
255;32;544.750915527;939.088745117;121;701.737195969;23;213.110153198;546.799987793;105;441.091323853;
256;32;537.098693848;932.555847168;122;702.61150074;23;216.109146118;543.799987793;105;441.082191467;
257;32;529.186157227;925.867248535;122;703.385772705;23;218.108230591;540.399963379;105;441.073972702;
258;32;521.26361084;919.028686523;123;704.065664291;23;220.107406616;536.399963379;106;441.066576004;
259;32;513.331604004;912.048461914;123;704.658143997;23;222.106674194;532.399963379;106;441.05991745;
260;32;505.390838623;904.937255859;124;705.011018753;23;224.106002808;528.399963379;107;441.053926468;
261;32;497.426116943;897.466552734;125;705.299640656;23;227.405395508;532.399963379;107;441.048534393;
262;32;498.454986572;924.766540527;126;705.551287651;23;231.40486145;538.399963379;107;441.043680191;
263;32;500.980133057;935.887145996;127;705.769337654;23;237.404373169;544.399963379;108;441.039312363;
264;32;508.001983643;931.257873535;128;705.957251549;23;246.403930664;550.399963379;108;441.035381317;
265;32;519.270751953;926.577331543;129;706.0;23;255.403533936;556.399963379;108;441.031843185;
266;32;530.275024414;924.524963379;129;706.0;23;264.403167725;562.399963379;109;441.028659821;
267;32;531.375;927.649963379;131;706.0;23;273.402862549;565.0;109;441.025793076;
268;32;535.893737793;1186.82495117;131;697.0;23;279.402557373;565.0;110;441.02321434;
269;32;531.634765625;1005.77056885;133;675.871656418;23;285.402313232;565.0;111;441.020893097;
270;32;535.481872559;1006.42388916;133;678.455762863;23;291.402069092;565.0;111;441.01880455;
271;32;542.018066406;1007.53930664;134;675.470954895;23;296.201873779;565.0;113;441.016923904;
272;32;548.577392578;1009.04766846;134;672.213378906;23;299.201690674;565.0;113;441.015232086;
273;32;555.772766113;1008.44702148;135;679.198410034;23;302.201538086;565.0;112;441.013708115;
274;32;565.866394043;1076.24487305;138;676.768205643;23;305.201385498;565.0;115;441.012336731;
275;32;565.656616211;996.082519531;138;669.668816566;23;308.20123291;565.0;114;441.011102676;
276;32;571.416809082;994.64440918;139;666.962091446;23;311.20111084;565.0;116;441.009992599;
277;33;576.146240234;995.555603027;138;685.011953354;22;310.100006104;560.0;116;420.0;
278;33;581.850158691;997.768798828;138;682.716063499;22;313.100006104;559.999938965;116;420.0;
279;33;587.536743164;997.246704102;139;680.011014938;22;316.100006104;530.0;118;419.700000286;
280;33;593.311096191;1069.6439209;139;685.505290031;22;319.070007324;559.739990234;118;419.952499866;
281;33;599.251037598;994.439208984;140;680.587049007;22;322.095245361;539.95526123;118;419.400001526;
282;33;605.155456543;993.626831055;141;679.474884272;22;325.040008545;499.739959717;122;418.560000896;
283;33;605.009643555;996.10345459;144;677.634340525;22;327.955993652;525.570007324;123;418.326500416;
284;33;605.813415527;998.831604004;144;675.257442534;22;330.932647705;525.542236328;125;417.936599731;
285;33;606.575744629;1001.78161621;147;673.305419922;22;333.89364624;525.368286133;126;417.542938232;
286;34;617.48046875;1000.84619141;143;673.038254738;22;336.854278564;525.171447754;127;417.188644409;
287;34;624.384521484;1080.15429688;143;679.259155512;22;333.818878174;553.394348145;129;416.869781494;
288;34;621.505737305;1002.48156738;144;675.845765591;22;331.786956787;562.934936523;130;416.582801819;
289;34;619.634521484;1005.43725586;146;677.063842058;22;337.758270264;597.334960938;130;416.324520111;
290;34;617.756408691;1009.04815674;146;678.175780773;22;349.732452393;570.727172852;131;415.792068005;
291;34;623.867553711;1004.39300537;147;679.25129509;22;361.679168701;606.564453125;132;415.835361958;
292;34;629.975097656;1003.56970215;150;683.423282623;22;370.683502197;617.159545898;132;415.694576263;
293;34;637.487304688;1015.56970215;151;696.912984133;22;379.669464111;621.986206055;132;415.525119781;
294;34;641.241210938;1027.56970215;152;704.151957512;22;388.652496338;624.867553711;131;415.372608185;
295;34;617.178710938;1187.4987793;153;707.81184864;22;394.637237549;627.760864258;134;415.235347748;
296;34;601.890869141;1182.37902832;143;707.324572563;22;399.623504639;628.464660645;135;415.111812592;
297;34;589.282470703;1220.38562012;143;710.908911228;22;402.611175537;628.378234863;138;415.00063324;
298;34;573.640930176;1258.81933594;143;713.990430832;22;405.600067139;628.300354004;140;414.900569916;
299;34;554.602783203;1289.11022949;144;716.228393555;22;405.590057373;631.230407715;142;414.810512543;
300;34;536.02923584;1437.24633789;132;714.697602272;22;405.58102417;634.167358398;141;414.72946167;
301;34;514.603759766;1352.47131348;124;708.463399887;22;405.572967529;603.710571289;135;414.356517315;
302;34;496.281646729;1348.8605957;125;706.629342079;22;405.535614014;639.319519043;138;414.543365955;
303;34;482.381286621;1343.9185791;125;704.562428474;22;405.554290771;641.532897949;140;414.531780243;
304;34;486.096984863;1337.68823242;125;702.156656265;22;405.553192139;641.572265625;140;414.478603363;
305;34;490.823638916;1380.77294922;127;696.490548134;22;405.54788208;641.53503418;140;414.430744171;
306;34;497.062255859;1390.01208496;128;686.761960506;22;405.543060303;641.501464844;140;414.38766861;
307;34;506.551208496;1390.07055664;130;681.801002026;22;405.538787842;641.471313477;144;414.348899841;
308;34;517.673583984;1399.09191895;131;684.720442772;22;405.534881592;641.444213867;141;414.31401062;
309;34;530.597045898;1408.75793457;131;684.423015594;22;405.531402588;641.419799805;143;414.282608032;
310;34;536.502197266;1412.99584961;132;684.489333153;22;405.52822876;641.397827148;143;414.254348755;
311;34;543.453857422;1416.25134277;136;684.74763298;22;405.525421143;641.378051758;144;414.228912354;
