Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
75;6;29.6000003815;39.3260612488;21;53.1624881029;9;46.6581001282;89.1033859253;16;121.770684242;
76;6;27.6000003815;41.3702392578;18;53.6515784264;9;46.7915267944;91.2304611206;18;123.069766998;
77;6;27.6000003815;43.4160079956;18;54.0193604231;9;45.9251899719;89.3709945679;18;124.350423813;
78;6;26.6000003815;40.4633483887;18;54.3720169067;9;44.0566253662;91.46824646;18;125.588056564;
79;6;26.6000003815;40.51222229;15;55.7093250751;9;44.1834220886;94.5780639648;18;126.760409355;
80;6;26.6000003815;40.5625839233;13;56.0913300514;9;43.8033905029;92.6951370239;18;127.849360466;
81;6;28.6000003815;43.6143836975;13;56.4612696171;9;42.9147453308;94.2208404541;20;128.842100143;
82;6;29.6000003815;46.667552948;14;56.8196665049;9;44.0162315369;100.444923401;22;129.731564522;
83;6;28.6000003815;47.7220191956;15;57.1671743393;9;44.7501525879;105.615821838;23;130.516119003;
84;6;28.6000003815;49.7776947021;16;57.5045346022;9;45.8239479065;106.884765625;24;131.198701859;
85;6;27.6000003815;51.4996261597;16;57.8325365782;9;45.8880081177;107.995918274;25;131.785660744;
86;6;27.6000003815;52.5951309204;16;58.1362893581;9;45.9429283142;109.097885132;26;132.285532951;
87;6;28.6000003815;54.693145752;17;58.3370841742;9;46.9895210266;111.191146851;27;132.618666649;
88;6;30.6000003815;53.7935409546;17;58.542393446;9;46.0197792053;112.195846558;29;132.881669044;
89;6;29.6000003815;55.8961982727;18;58.7519294024;10;46.0433235168;113.190559387;29;132.99409771;
90;6;29.6000003815;58.0009651184;18;58.9653760195;11;46.0520896912;114.185791016;28;132.985524178;
91;6;31.6000003815;54.1076850891;17;59.1823918819;11;46.0490036011;115.181503296;29;132.977807045;
92;6;29.6000003815;56.2161941528;18;59.4026107788;11;46.0462226868;116.177650452;31;132.970862389;
93;6;29.6000003815;55.3263053894;18;59.6256444454;11;46.0437240601;117.174171448;32;132.964612007;
94;6;28.6000003815;53.4378242493;19;59.8510849476;11;46.0414733887;118.171051025;33;132.958985329;
95;6;26.6000003815;51.5;18;60.0785067081;12;46.0394477844;119.168235779;33;132.953921318;
