Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
146;15;63.9490814209;134.034393311;22;126.770212412;7;26.9750003815;83.754486084;14;67.4118944407;
147;15;64.0770263672;140.219284058;24;128.081113935;7;26.9750003815;85.8524856567;15;67.9248996973;
148;15;66.208114624;139.749633789;26;129.422496796;7;26.9750003815;87.9511108398;16;68.3905972242;
149;15;66.3422546387;142.025421143;27;130.792920351;7;27.9750003815;83.0906982422;16;68.8116166592;
150;15;66.4792938232;142.30267334;26;132.190489531;7;26.9750003815;85.0;15;69.1912528276;
151;15;66.5811920166;144.47203064;28;133.558346987;7;26.9750003815;87.0;15;69.533182621;
152;15;67.7201690674;150.639938354;31;134.926293612;7;27.9750003815;86.0;15;69.8412238359;
153;15;72.8282928467;151.723983765;32;137.31798172;7;26.9750003815;88.0;16;70.0414294004;
154;15;77.8754196167;156.807098389;32;138.879019141;7;27.9750003815;83.9516601562;16;70.1445742846;
155;16;84.9390869141;159.807098389;30;147.47522378;6;22.0;79.9516601562;15;63.2472566366;
156;16;88.0053024292;163.126647949;31;149.103451848;6;22.0;80.9516601562;16;63.3493921757;
157;16;94.0336456299;167.575408936;30;150.76019907;6;23.0;79.7516555786;14;63.4508986473;
158;16;98.8337860107;170.077682495;29;152.441643596;6;22.0;81.7516555786;14;63.5516964197;
159;16;103.631065369;171.732559204;30;154.143684626;6;22.0;84.7516555786;15;63.6517083645;
160;17;108.266067505;172.381332397;27;159.861974955;5;21.0;77.7516555786;16;59.7508602142;
161;17;113.909957886;172.623458862;28;161.591944933;5;20.0;79.7516555786;16;59.8490803242;
162;17;119.560058594;172.858474731;29;163.328798056;5;20.0;81.7516555786;15;59.9463002682;
163;17;124.055244446;173.085922241;33;165.067498922;5;21.0;80.7516555786;16;60.0424542427;
164;17;128.102401733;173.305450439;33;166.802730083;5;20.0;82.7516555786;17;60.1374802589;
165;17;131.124359131;173.716812134;33;168.465444565;5;20.0;84.7516555786;17;60.2313189507;
166;17;134.646240234;174.919769287;35;170.100869656;5;21.0;83.7516555786;18;60.3239142895;
167;17;130.519760132;189.716796875;36;171.720101357;5;21.0;82.7516555786;19;60.4004728794;
168;17;131.344787598;194.716796875;37;173.31594038;5;20.0;84.7516555786;19;60.4508714676;
169;17;130.150192261;199.716796875;39;174.88079071;5;21.0;83.7516555786;20;60.5010929108;
170;17;125.513816833;208.716796875;41;176.406770229;5;21.0;82.7516555786;21;60.5510873795;
171;17;123.841056824;219.316802979;42;177.837491035;5;20.0;84.7516555786;21;60.6008057594;
172;17;124.132980347;224.316802979;43;179.204384804;5;21.0;83.7516555786;21;60.6502001286;
173;17;123.407020569;226.316802979;41;180.463785648;5;21.0;82.7516555786;22;60.6992235184;
174;17;119.668403625;234.316802979;43;181.599858761;5;20.0;84.7516555786;23;60.7478303909;
175;17;116.892730713;242.316802979;38;182.56480217;5;21.0;83.7516555786;22;60.7959771156;
176;17;115.993644714;244.316802979;41;183.380485535;5;21.0;82.7516555786;23;60.843621254;
177;17;114.636268616;249.316802979;42;184.123645782;5;20.0;84.7516555786;23;60.8907222748;
178;17;114.712371826;257.316802979;41;184.809242249;5;21.0;83.7516555786;20;60.9372420311;
179;17;118.731437683;256.316802979;43;185.435966492;5;21.0;82.7516555786;19;60.9831440449;
180;17;118.843597412;258.316802979;47;186.003970146;5;20.0;84.7516555786;21;61.0283939838;
181;17;117.900405884;266.316802979;50;186.51467514;5;21.0;83.7516555786;21;61.0729598999;
182;17;120.951469421;268.316802979;45;187.996963501;5;21.0;82.7516555786;20;61.1168122292;
183;17;121.059692383;274.316802979;45;189.381848335;5;21.0;81.7516555786;20;61.1599235535;
184;17;121.21472168;283.316802979;47;190.695952892;5;22.0;81.7516555786;21;61.2022688389;
185;17;128.298034668;274.316802979;43;191.937344551;5;24.0;78.7516555786;19;61.2438256741;
186;17;123.493743896;283.316802979;44;193.105114937;5;24.0;78.7516555786;22;61.2845737934;
187;17;123.61050415;295.316802979;45;194.175059319;5;25.0;78.7516555786;22;61.3244953156;
188;17;123.665985107;281.316802979;47;195.049791336;5;27.0;75.8000030518;23;61.3635749817;
189;17;122.785461426;280.316802979;47;195.874008179;5;27.0;76.8000030518;24;61.4017994404;
190;18;124.868835449;289.316802979;45;196.647161007;5;28.0;77.8000030518;24;61.4391579628;
191;18;128.96472168;289.316802979;49;197.369399071;5;30.0;75.8000030518;24;61.4756419659;
192;18;129.014526367;292.316802979;50;198.041474342;5;30.0;76.8000030518;25;61.5;
193;18;130.072921753;295.316802979;51;198.664646149;5;31.0;77.8000030518;24;61.5;
194;18;133.151824951;292.316802979;50;199.240581512;5;32.5999984741;77.8000030518;23;61.5;
195;19;131.224060059;298.316802979;52;199.771265984;5;31.6000003815;76.8000030518;21;61.5;
196;20;132.262252808;304.316802979;51;201.24571991;5;31.6000003815;77.8000030518;22;61.5;
197;23;138.300918579;299.316802979;44;209.164165378;3;28.6000003815;65.8000030518;22;54.0;
198;23;140.346466064;302.316802979;45;209.652247429;3;27.6000003815;66.8000030518;22;54.0;
199;24;141.506469727;311.316802979;44;209.965786815;3;27.6000003815;67.8000030518;23;54.0;
200;25;147.288421631;308.316802979;43;210.163731337;3;28.6000003815;65.8000030518;23;54.0;
201;25;145.316375732;311.316802979;48;211.448667049;3;27.6000003815;66.8000030518;24;54.0;
202;25;144.34487915;321.316802979;52;220.991742969;3;27.6000003815;67.8000030518;24;54.0;
203;26;149.034164429;331.016815186;55;229.747640371;3;28.6000003815;65.8000030518;25;54.0;
204;26;157.642044067;332.546020508;56;236.79915309;3;27.6000003815;66.8000030518;25;54.0;
205;26;159.019775391;373.413482666;59;244.13008666;3;27.6000003815;67.8000030518;24;54.0;
206;28;163.537918091;387.878997803;54;250.785651565;3;28.6000003815;65.8000030518;19;54.0;
207;28;166.541702271;407.855133057;56;255.862160444;3;27.6000003815;66.8000030518;20;54.0;
208;29;168.233047485;424.855804443;56;260.553812265;3;27.6000003815;67.8000030518;19;54.0;
209;30;171.767501831;437.872497559;53;288.889404297;2;15.6000003815;19.7999992371;20;30.0;
210;30;176.257034302;444.006866455;55;294.036241174;2;15.6000003815;19.7999992371;20;30.0;
211;30;180.70085144;451.132171631;57;298.76932168;2;15.6000003815;19.7999992371;20;30.0;
212;30;185.135055542;465.004699707;63;304.965758562;2;15.6000003815;19.7999992371;20;30.0;
213;30;194.59197998;471.218963623;65;309.753880143;2;15.6000003815;19.7999992371;20;30.0;
214;30;199.839279175;476.243835449;66;313.880814791;2;15.6000003815;19.7999992371;20;30.0;
215;32;204.170623779;479.120452881;69;317.754115105;2;15.6000003815;19.7999992371;17;30.0;
216;33;211.548431396;483.405700684;68;343.060994744;2;15.6000003815;19.7999992371;15;30.0;
217;34;226.306686401;506.883636475;68;366.002286792;0;0;0;0;0;
