Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
39;3;17.0;20.9888515472;4;28.8841125965;3;31.4977035522;22.5;7;32.4179635048;
40;3;17.1652336121;20.5;4;28.9809143543;4;31.5880832672;22.5;6;32.609498024;
41;3;17.1942749023;21.5;4;29.0780186653;4;31.6742744446;22.5;6;32.7914032936;
42;3;17.0;21.0302028656;4;29.1753317118;4;31.7561302185;22.5;7;32.9634838104;
43;3;17.2525997162;20.5;5;29.272759676;4;31.833568573;22.5;7;33.12566185;
44;3;17.2818279266;21.5;5;29.3702092171;4;31.9065475464;22.5;7;33.277964592;
45;3;17.8810920715;20.0732955933;6;29.467587471;4;29.9750843048;23.5;7;33.4205141068;
46;3;18.899269104;21.0732955933;6;29.5648030043;5;29.0392303467;24.5;6;33.5535144806;
47;3;20.3694419861;22.0732955933;6;29.6617656946;5;28.0392303467;23.5;6;33.677239418;
48;3;21.3985290527;24.0732955933;6;29.7583869696;5;28.0392303467;24.5;7;33.7920188904;
49;3;21.0;26.0732955933;6;29.8545805216;5;28.25;25.5;7;33.8982248306;
50;3;22.4862918854;27.5;7;29.9502620697;5;28.25;26.5;8;34.996263504;
51;3;23.0;29.1638145447;7;30.0453504324;5;30.25;25.5;8;35.0700000525;
52;3;23.5;29.5181407928;7;30.13976717;5;32.25;25.5;8;36.6641515493;
53;3;25.0212402344;27.5;8;30.2334364653;5;30.8125;28.125;8;38.9800386429;
54;3;24.5369968414;28.2107124329;9;30.3262863159;5;33.2554702759;28.6171875;9;40.0819791555;
55;3;23.5;29.2265129089;9;30.4182478189;5;35.5944099426;30.9937877655;10;41.9555230141;
56;3;25.0567836761;27.5;9;30.5092555285;5;34.225692749;33.6952171326;11;43.4749047756;
57;3;23.5;29.2582950592;9;30.5992475748;5;34.703086853;36.2256507874;11;44.6973489523;
58;3;24.5;28.2742519379;9;30.6881661415;5;35.0523338318;38.6137046814;12;45.685390234;
59;3;24.6137733459;28.2902355194;11;30.7759566307;6;35.3014259338;40.4908065796;11;46.3277840614;
60;4;24.628112793;28.3062324524;10;30.8625688553;6;35.4000015259;41.6231460571;11;46.7408354282;
61;4;23.5;29.3222312927;10;30.9479558468;6;35.4000015259;42.6465377808;12;47.1446310282;
62;4;25.1286640167;27.5;12;31.0320744514;6;34.7017288208;41.0;14;47.5402795076;
63;4;24.6689853668;28.354183197;12;31.1148855686;6;34.4000015259;41.6950378418;14;47.9289021492;
64;4;25.3344650269;27.5;12;31.1963536739;6;33.7240600586;40.0;14;48.3115735054;
65;4;24.6944160461;28.3859863281;11;31.2545039654;6;33.4000015259;41.0;15;48.5860608816;
66;4;24.7000007629;28.401802063;12;32.293856144;6;34.4000015259;43.0;18;48.8510893583;
67;4;25.7000007629;29.4175415039;12;32.4029926062;6;35.4000015259;45.0;18;49.1249495745;
