Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
48;2;23.25;17.5;8;25.0;4;27.0503120422;31.5;9;43.8924454451;
49;3;24.25;18.5;8;26.0;4;27.0677337646;32.5;10;43.9512542486;
50;3;25.25;19.5;8;26.1299999952;4;27.0853767395;33.5;10;44.0107431412;
51;3;25.7584991455;20.5;8;26.2754310369;4;26.5;35.5;10;44.0708494186;
52;3;25.8239440918;21.5;8;26.4377241135;4;27.1212539673;35.5;11;44.1315076351;
53;3;25.8969764709;22.5;9;26.6183350086;5;27.5;34.5;10;44.1926498413;
54;3;25.9782505035;22.5;9;26.8187118769;5;27.1577949524;34.5;11;44.2542052269;
55;3;26.0684204102;22.5;9;28.0402543545;6;26.5;36.5;9;59.3161010742;
56;3;26.25;24.3161010742;10;28.3342635632;6;29.1948299408;34.5;9;60.1282629967;
57;3;27.25;25.4137058258;10;28.6538569927;7;31.2134780884;34.5;8;60.8599891663;
58;3;27.7458877563;26.5207519531;10;28.99997437;7;29.2321853638;36.5;8;61.5103693008;
59;3;27.7701778412;27.6376094818;9;29.3732477427;7;29.2509231567;38.5;8;62.0818490982;
60;3;27.795375824;28.7645206451;11;29.7739202976;7;29.2696743011;40.5;10;62.5793628693;
61;3;27.8214874268;28.9015789032;8;30.2017664909;7;30.2884101868;38.5;10;63.0094623566;
62;3;27.8485183716;29.0486888885;10;30.6560178995;7;29.3071117401;39.5;10;63.7459087372;
63;3;27.8764705658;29.2055454254;11;31.2623438835;7;29.3257522583;40.5;11;68.1138780117;
64;3;27.9241313934;29.4057102203;11;32.9100286961;7;31.7999992371;42.0;11;70.1758790016;
65;3;28.4247055054;30.1198310852;11;34.3761117458;7;33.9303855896;44.3899993896;11;71.8862731457;
66;3;28.8292579651;30.7366600037;13;35.6908576488;7;33.5492477417;48.6872596741;13;73.2998439074;
67;3;29.1533737183;31.2717170715;13;36.8846943378;7;33.1809921265;48.6872596741;14;74.3092585802;
68;3;29.4132556915;31.7407264709;13;37.8360848427;8;34.5897712708;51.0;13;74.8349552155;
69;2;27.5572090149;24.0;13;30.2733304501;9;33.2123565674;54.0074768066;12;82.9677294493;
70;2;27.6229972839;24.0;13;30.4262499809;9;31.2123565674;58.1293945312;13;83.8549993038;
71;2;27.6918106079;24.0;14;30.585745573;9;30.2123565674;62.2534484863;13;84.7459005117;
72;2;24.5999984741;26.0;14;30.7516019344;9;30.2123565674;66.3795013428;16;85.6319564581;
73;2;25.5999984741;25.1006412506;14;30.9235329628;10;30.2123565674;70.5074005127;15;86.5049555302;
74;3;23.5999984741;26.1694126129;14;52.8511805534;10;30.2123565674;71.5268554688;16;87.3573464155;
75;3;23.5999984741;28.2404727936;14;54.3934886456;10;30.2123565674;76.5268554688;19;88.1825819016;
76;3;23.5999984741;30.3136444092;14;55.7113986015;10;31.2123565674;81.5268554688;20;88.9753587246;
77;3;23.5999984741;32.3887329102;15;56.8148396015;11;33.2123565674;83.5268554688;19;89.7317560911;
78;3;23.5999984741;34.4655036926;15;57.726880312;11;34.5766868591;88.5268554688;20;90.4492542744;
79;3;23.5999984741;36.5437088013;15;58.4768724442;11;35.6101455688;91.9742431641;22;91.1266567707;
80;3;23.5999984741;37.6230621338;15;59.0950469971;12;36.2123565674;93.0556106567;19;101.763932347;
81;3;23.5999984741;38.7032814026;16;59.4601187706;12;37.4000015259;96.1387023926;19;102.862011313;
82;3;23.5999984741;39.7840461731;16;59.6626029015;12;37.4000015259;101.223403931;20;103.895060658;
83;3;23.5999984741;40.8650398254;16;59.8648386002;13;39.4000015259;100.309585571;20;104.862180948;
84;3;24.0;41.9459342957;17;60.0660076141;13;36.4000015259;102.985404968;19;105.763807774;
85;3;25.1000003815;40.0264015198;18;60.2653040886;13;36.4000015259;102.032600403;20;106.601512671;
86;3;24.1000003815;41.1061210632;18;60.4619469643;13;38.4000015259;97.0781707764;20;107.323457956;
87;3;24.1000003815;42.1847801208;18;60.6551933289;13;36.4000015259;98.1220855713;21;107.899086475;
88;3;25.1000003815;40.2620773315;18;60.8443484306;14;36.4000015259;99.1643218994;20;108.440372944;
89;3;24.1000003815;41.3377380371;18;61.028775692;14;38.4000015259;94.2048797607;19;108.948663473;
90;3;24.1000003815;42.4115104675;15;61.2079043388;14;36.1500015259;96.8466339111;18;109.425645351;
91;3;25.1000003815;40.4831619263;15;61.3812351227;14;35.75;101.319595337;19;109.873214245;
92;3;24.1000003815;41.5524940491;15;61.5483446121;15;37.75;100.431816101;19;111.293368101;
93;3;24.1000003815;42.6193389893;15;61.7088875771;15;36.75;106.532897949;19;111.632445335;
94;3;25.1000003815;40.8193397522;15;61.8625955582;15;41.0092468262;113.58556366;19;111.884905338;
95;3;26.1000003815;40.2000007629;17;62.0092768669;15;43.5384941101;117.099998474;20;112.108150721;
96;3;25.1000003815;39.2000007629;15;62.148812294;15;44.3608131409;121.099998474;18;113.330707431;
97;3;26.1000003815;39.2000007629;15;62.281150341;15;44.4830703735;123.099998474;17;113.612241387;
98;3;25.1000003815;38.2000007629;16;62.4063024521;15;46.2552261353;116.099998474;19;114.895396233;
99;3;26.1000003815;39.2000007629;16;62.524336338;17;45.3895378113;122.099998474;17;115.219936967;
100;3;25.1000003815;38.2000007629;16;62.6353702545;17;47.4179954529;125.099998474;18;115.54682374;
101;3;24.1000003815;40.2000007629;16;62.7395648956;17;46.5546798706;133.299987793;19;115.87584424;
102;3;24.1000003815;42.2000007629;16;62.8371171951;18;46.5875816345;138.831848145;18;116.206792951;
103;3;25.1000003815;41.2000007629;17;62.9282536507;18;46.620677948;144.903823853;21;116.53947103;
104;3;25.1000003815;40.2000007629;17;63.0;20;46.6539421082;150.973709106;19;116.873684049;
105;3;26.1000003815;40.2000007629;17;63.0;20;47.6873703003;154.041427612;19;117.209241867;
106;3;25.1000003815;39.2000007629;17;63.0;20;48.7209281921;154.449783325;19;117.545955896;
107;3;24.1000003815;41.2000007629;15;63.0;20;47.7545967102;152.512954712;21;117.883637428;
108;3;24.1000003815;43.2000007629;15;63.0;20;49.7883644104;153.573806763;22;118.222096086;
109;3;24.1000003815;45.2000007629;16;63.0;20;47.8222122192;151.632324219;24;118.561137557;
110;3;25.1000003815;44.2000007629;16;63.0;20;47.8561134338;153.688476562;24;118.900560498;
111;3;24.1000003815;46.2000007629;16;63.0;20;47.8900527954;148.742263794;25;120.412932634;
112;3;24.1000003815;48.2000007629;17;63.0;20;49.0412940979;149.327682495;26;121.968834043;
113;3;25.1000003815;46.4000015259;17;63.0;20;49.1968841553;154.918182373;27;123.561042547;
114;3;25.1000003815;45.4000015259;17;63.0;20;49.3561096191;150.508850098;27;125.181832075;
115;3;26.1000003815;45.4000015259;13;63.0;20;49.5181846619;152.094696045;27;127.82316041;
116;3;25.1000003815;44.4000015259;14;63.0;20;50.6823158264;146.670837402;28;130.536856651;
117;3;24.1000003815;46.4000015259;14;63.0;21;54.8476867676;149.232696533;24;143.317758083;
118;3;25.1000003815;45.4000015259;14;63.0;21;59.1257781982;145.776031494;24;146.660968184;
119;3;25.1000003815;44.4000015259;15;63.720000267;21;65.3734588623;152.040710449;24;150.034470677;
120;3;24.1000003815;46.4000015259;16;64.4420166016;21;69.6287918091;157.293228149;25;153.431133747;
121;3;25.1000003815;45.4000015259;16;65.1556425095;21;70.1371154785;159.532302856;24;156.845362067;
122;3;24.1000003815;47.4000015259;16;65.850730896;21;74.4464492798;164.532318115;25;159.273102641;
123;3;24.1000003815;49.3679046631;16;66.5179719925;21;77.2213134766;166.189437866;28;161.651767969;
124;3;26.1000003815;45.3679046631;16;67.1493902206;23;76.5310211182;175.189437866;26;163.977146864;
125;3;24.1000003815;47.3679046631;17;67.7387094498;23;79.6830825806;179.189437866;28;166.246155024;
126;3;24.1000003815;49.3679046631;17;68.281542778;23;77.0246200562;171.189437866;29;168.456686139;
127;3;25.1000003815;48.3679046631;17;68.7754116058;23;77.2456588745;176.189437866;29;170.60747242;
128;3;25.1000003815;47.3679046631;13;69.2196121216;23;78.4022140503;179.189437866;27;172.697955012;
129;3;24.1000003815;49.3679046631;14;69.6149721146;23;79.6523666382;174.189437866;28;174.728173375;
130;3;25.1000003815;48.3679046631;14;69.9635429382;23;79.8350448608;184.189437866;28;177.562525749;
131;3;24.1000003815;50.3679046631;14;70.2682695389;23;84.9734802246;195.189437866;30;179.303513646;
132;3;25.1000003815;49.3679046631;12;70.5326747894;23;93.0937042236;199.189437866;29;186.158269763;
133;3;25.1000003815;48.3679046631;12;70.7605895996;23;94.6788406372;213.120437622;31;192.193392158;
134;3;24.1000003815;50.3679046631;11;70.9559278488;23;99.1026763916;226.854263306;30;197.495158911;
135;3;25.1000003815;49.3679046631;12;71.0;24;103.48790741;240.420944214;27;202.167714715;
136;3;25.1000003815;48.3679046631;11;71.0;24;109.758804321;245.767379761;27;206.144756079;
137;3;24.1000003815;50.3679046631;12;71.0;24;112.159683228;254.839202881;28;209.453307867;
138;3;25.1000003815;49.3679046631;9;71.0;24;117.406517029;260.395507812;29;212.137281418;
139;3;25.1000003815;48.3679046631;10;71.0;24;121.648574829;266.920013428;32;214.357720375;
140;2;14.0;45.3679046631;10;44.0;25;127.827224731;267.374664307;32;243.53286171;
141;2;15.0;44.3679046631;10;44.0;25;130.031936646;274.835327148;33;246.503298998;
142;2;15.0;43.3679046631;11;44.0;25;134.480453491;283.300872803;36;248.295933008;
143;2;14.0;45.3679046631;11;44.0;25;140.024597168;285.770355225;39;250.064541817;
144;2;15.0;44.3679046631;11;44.0;25;140.30645752;294.242614746;43;251.850172162;
145;2;15.0;43.3679046631;12;44.0;25;141.485015869;305.716644287;45;253.646841168;
146;2;14.0;45.3679046631;13;44.0;25;143.664672852;325.397338867;48;255.447505474;
147;2;15.0;44.3679046631;5;44.0;26;145.844741821;337.114624023;42;257.244172573;
148;2;15.0;43.3679046631;1;44.0;26;150.0184021;347.674499512;44;259.028100371;
149;2;15.0;41.8000030518;2;44.0;26;154.304824829;353.521209717;45;260.790099025;
150;1;4.0;8.39999961853;1;16.0;27;153.367294312;363.176452637;43;290.520897508;
151;1;5.0;7.39999961853;1;16.0;27;155.531616211;368.826782227;44;292.123304725;
152;1;6.0;6.39999961853;1;16.0;27;155.689529419;377.704376221;47;293.592444897;
153;0;0;0;0;0;27;156.83644104;386.920074463;46;296.020411491;
