Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
163;16;110.968452454;168.306716919;16;138.004968643;18;90.0;252.8309021;51;170.00305891;
164;16;111.099838257;174.486251831;17;138.70264256;18;92.0;251.8309021;51;171.120625496;
165;16;113.210533142;177.665725708;16;139.394705415;18;92.0;253.8309021;51;172.168300152;
166;16;111.284355164;181.621383667;17;141.079852462;18;93.0;259.8309021;49;172.937748909;
167;16;113.998626709;185.689743042;12;141.816864252;18;94.0;256.8309021;52;173.470441818;
168;16;116.070663452;192.75944519;13;142.547580123;18;94.0;259.8309021;53;173.916974068;
169;16;118.244735718;199.83039856;14;143.271046519;18;95.0;263.8309021;52;174.335250854;
170;16;118.319084167;200.902603149;13;143.98640728;18;97.0;264.8309021;49;174.725832939;
171;16;120.372703552;199.975952148;14;144.692906618;18;98.0;269.8309021;55;175.023648262;
172;16;123.411102295;192.496276855;14;145.389886618;18;100.0;274.8309021;55;175.276576042;
173;15;120.264328003;172.148529053;9;134.076782584;19;102.900001526;276.8309021;46;187.511489868;
174;14;119.310272217;175.201461792;10;134.753117919;20;103.900001526;279.8309021;41;188.209095955;
175;14;117.386657715;177.416107178;16;135.370087624;20;103.900001526;288.887481689;42;201.113722801;
176;14;116.434188843;180.470199585;15;135.918220162;21;106.29599762;299.587493896;37;224.726179123;
177;14;115.591812134;183.524795532;19;136.448631406;21;111.012329102;307.116699219;43;236.769661903;
178;14;114.644866943;186.227874756;20;136.973135948;21;112.716445923;316.503753662;45;241.097927094;
179;14;114.685470581;185.368453979;22;137.491384745;21;113.373245239;324.779785156;49;245.73935318;
180;14;112.749145508;187.512115479;21;138.243056536;21;122.366577148;340.277008057;51;248.600488663;
181;14;111.800308228;189.658691406;23;139.737376928;21;122.926986694;352.995239258;56;251.91381073;
182;14;110.949737549;191.908187866;25;141.221443653;21;134.440063477;360.814178467;56;254.068156362;
183;14;111.122146606;194.168212891;25;142.690938711;21;143.907302856;370.079650879;54;255.796386242;
184;13;108.551704407;180.296401978;28;137.004980326;22;144.312789917;381.339202881;55;264.108988285;
185;13;107.700492859;184.576583862;28;138.229267359;22;149.185745239;381.569396973;56;265.650594354;
186;13;109.822921753;182.326873779;29;139.437045813;22;152.700546265;385.654785156;58;274.739848614;
187;13;108.923271179;183.625274658;30;140.625626564;22;156.161407471;395.193664551;59;282.736842155;
188;11;105.843559265;165.931762695;31;129.792500257;24;159.799987793;408.478759766;53;301.850008011;
189;11;105.979255676;166.24546814;31;130.935330868;24;159.799987793;420.492980957;56;309.268570423;
190;11;106.075942993;166.565460205;32;132.051954269;24;159.799987793;431.05847168;57;315.914185286;
191;11;105.205192566;170.890655518;35;133.140372992;24;159.799987793;441.286895752;58;323.859349966;
192;11;107.289703369;170.00088501;35;133.153011322;24;159.799987793;453.603942871;63;350.825249434;
193;11;108.383392334;170.110870361;36;133.232354403;24;167.881988525;478.24395752;67;374.712916613;
194;11;110.452606201;170.449890137;37;133.367887497;24;179.27583313;497.948150635;66;395.319352865;
195;11;110.496322632;169.673095703;39;133.550074577;24;188.216598511;516.789245605;69;401.355699301;
196;11;111.589172363;168.887084961;39;133.770308018;24;196.140594482;519.970214844;75;406.113108039;
197;11;113.65586853;169.091918945;40;134.020853519;24;192.865768433;532.299560547;76;409.775244355;
198;10;98.5094833374;164.182952881;42;122.242345333;25;196.085983276;542.448852539;78;424.937725067;
199;10;100.555305481;161.219665527;42;125.447791576;25;198.613830566;554.290344238;80;428.240798235;
200;10;102.632575989;162.219665527;43;129.805754662;25;200.758483887;566.059020996;84;430.928791285;
201;10;103.780509949;162.543670654;44;132.732680798;26;202.562438965;575.053100586;85;433.139770031;
202;10;101.930885315;165.543670654;45;135.025335312;26;230.893112183;591.802368164;87;434.899967313;
203;10;100.124259949;171.543670654;46;137.060930729;26;245.564025879;593.203430176;87;436.177656174;
204;10;96.7061004639;183.161590576;48;138.716459274;26;253.859603882;601.101623535;91;436.820557356;
205;10;96.8716430664;188.436050415;49;140.288407326;26;258.247589111;609.067932129;94;437.374279499;
206;10;97.0288391113;192.424484253;50;141.773263931;26;262.701446533;613.278930664;96;437.876437545;
207;10;97.1773223877;193.72744751;51;143.168983459;26;262.796295166;619.078125;93;438.319116712;
208;10;97.3168945312;194.943695068;52;144.474892139;26;262.88571167;622.53704834;97;441.699088454;
