Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
237;20;231.867370605;561.899963379;62;437.195897579;21;246.008605957;698.145507812;52;494.192801476;
238;20;218.119598389;558.727233887;65;442.687655449;21;249.835144043;711.889770508;50;496.787252188;
239;20;226.668762207;570.601013184;69;445.600069523;22;253.561523438;722.370849609;50;498.74148488;
240;20;239.559997559;586.49597168;67;448.485631943;22;257.12121582;731.693725586;49;502.934306622;
241;20;242.84854126;600.378295898;71;451.320708752;22;261.13067627;742.812316895;51;504.179847479;
242;20;248.732055664;610.692565918;75;454.082942009;22;261.353240967;726.1015625;54;505.219730377;
243;22;252.008270264;621.286743164;74;456.751933098;22;262.556854248;725.407592773;53;505.987882376;
244;22;255.275177002;629.698669434;75;459.30982399;22;263.67868042;724.407592773;55;506.707416534;
245;22;258.530975342;636.88079834;77;461.597587109;22;254.800338745;730.407592773;62;510.383038998;
246;22;259.359741211;643.79888916;84;463.718927383;22;257.417449951;736.407592773;64;511.499423027;
247;22;268.571868896;653.432556152;85;465.72651577;22;263.609191895;745.975219727;65;512.534383774;
248;23;278.272613525;666.774719238;84;467.607526779;22;269.791229248;753.652099609;68;513.545191288;
249;23;287.460723877;680.82989502;84;472.352365494;22;275.969177246;761.339233398;65;514.618538857;
250;23;284.035217285;653.611694336;84;475.394494534;23;280.151580811;769.032714844;68;515.750512123;
251;23;282.339416504;672.140197754;85;478.91763401;23;283.337921143;776.728515625;68;516.934555054;
252;23;288.691741943;702.43927002;86;483.121962547;23;286.527404785;784.422363281;71;518.161262035;
253;24;293.612182617;720.534667969;86;488.109916687;23;289.719055176;792.109985352;70;519.418400288;
254;25;297.110961914;750.967346191;89;496.899879456;23;291.11151123;797.379760742;72;520.691236019;
255;25;341.989959717;756.844238281;87;504.32085681;23;291.303314209;801.243103027;71;521.963175297;
256;25;366.732086182;747.688293457;88;512.375282288;23;291.492706299;799.888793945;73;526.216702461;
257;25;385.725036621;762.786437988;92;520.327020168;23;293.977905273;801.51361084;77;528.274502993;
258;25;398.520202637;764.743469238;94;527.42288208;23;294.24118042;802.114807129;80;530.483574867;
259;25;408.354797363;768.568237305;94;536.26304245;23;294.517242432;800.690063477;81;532.859767914;
260;25;404.867523193;769.67199707;101;541.461388588;23;271.080291748;801.43536377;77;535.414890766;
261;26;414.758636475;773.267333984;104;545.888622284;24;257.622314453;804.77331543;80;538.14998579;
262;27;412.068664551;801.26739502;101;549.495294571;24;251.378372192;807.916015625;74;540.478403568;
263;27;413.562011719;840.867370605;102;552.677959442;24;252.989868164;814.055053711;75;543.431188583;
264;27;420.880310059;877.000061035;102;555.85488224;24;259.143157959;824.789978027;77;546.406974792;
265;27;425.197967529;904.000061035;103;558.914847851;24;269.640716553;835.327026367;79;549.362368584;
266;28;431.503967285;923.200012207;97;561.770086288;24;272.936279297;837.077209473;74;552.190348625;
