Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
114;11;35.7896232605;97.7635421753;26;108.36419034;6;29.4350852966;83.2754211426;11;65.2369241714;
115;11;36.8398704529;100.463394165;27;110.321539283;6;28.4315776825;85.3202514648;12;65.4893749952;
116;11;37.2113876343;103.117843628;27;112.714590192;6;28.4284210205;87.3633575439;14;65.7651605606;
117;11;37.6135253906;105.154022217;28;115.048543811;7;28.4255771637;88.6047210693;13;66.0581697226;
118;12;36.7080230713;111.124084473;28;117.276863933;7;28.4230194092;88.6383666992;11;66.3282654285;
119;12;37.8066864014;117.171920776;29;119.307763696;7;28.4207191467;88.6345367432;11;66.6317918301;
120;12;38.9092788696;115.205375671;28;121.081126213;7;28.4186458588;88.6310806274;10;67.8106877804;
121;12;40.0155029297;116.795852661;26;122.708299756;7;29.4167823792;84.9219665527;11;69.031368494;
122;12;40.6875228882;118.069030762;24;123.086829543;8;28.4151039124;88.2148742676;13;70.287728548;
123;12;39.5382804871;121.737342834;20;123.510134935;8;28.4135932922;89.5072937012;15;71.5729103088;
124;12;42.6462554932;120.053764343;19;123.97132206;8;29.4122333527;87.7966918945;14;72.8793716431;
125;14;40.7501182556;124.379959106;17;124.403095841;6;30.4110107422;87.0806427002;13;74.1989603043;
126;14;41.8497772217;128.663101196;20;124.851898909;6;30.9557819366;86.3568878174;10;75.5229849815;
127;14;43.9451751709;129.945358276;21;125.324975848;6;31.0697059631;86.4233703613;12;76.8423252106;
128;14;45.0362815857;131.235656738;23;125.741195917;6;29.0688171387;87.6783447266;12;78.1475582123;
129;14;49.9980697632;136.500305176;23;126.153661489;6;30.0680122375;86.9203643799;13;79.4291324615;
130;14;51.1235427856;137.749130249;21;126.583745122;6;31.0672912598;87.1483612061;9;80.6775865555;
