Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
47;3;31.9180412292;25.625;9;26.6731559038;4;26.0702476501;24.5;6;35.7102236748;
48;3;32.0038948059;25.625;10;26.8166748285;4;28.1070671082;26.5;6;35.974242568;
49;3;32.0900039673;25.625;11;26.9605153799;4;26.4191265106;29.5;11;36.2453517914;
50;3;32.1763076782;25.625;11;27.1045702696;5;27.4896965027;30.5;8;65.2688750029;
51;3;32.2627410889;25.625;11;27.24873209;5;27.2556610107;34.5;9;67.482732296;
52;3;32.3492393494;25.625;13;27.3928956985;5;28.3160686493;36.5;10;69.2383031845;
53;3;32.4357376099;25.625;13;27.5369563103;5;28.8368434906;39.4093551636;10;70.5962030888;
54;3;32.5221748352;25.625;14;27.6808097363;5;29.8431663513;41.5201263428;11;71.6425988674;
55;3;32.6084861755;25.625;15;28.8784589767;6;31.1852798462;42.5825614929;11;72.4639101028;
56;3;33.3270759583;26.0234375;15;29.941224575;6;30.2655639648;43.5932502747;12;72.8020409346;
57;3;33.9647331238;26.3489723206;16;30.8851802349;6;31.5;43.6040077209;12;73.1409670115;
58;3;34.5311050415;26.6102333069;16;31.7282958031;6;31.4483909607;43.6148300171;13;73.5053801537;
59;3;35.0369796753;26.8168411255;16;32.4881994724;7;30.5;45.6257171631;11;91.1450384855;
60;3;35.4929199219;26.9782962799;16;32.9742441177;7;33.5;45.572517395;10;92.4216628075;
61;4;35.7845458984;27.0;16;33.4210236073;7;36.5;46.7795829773;10;93.6082841158;
62;4;36.0526161194;27.0;15;33.8703987598;7;36.5;46.7906227112;12;94.7056392431;
63;4;36.3222427368;27.0;15;34.3207976818;7;35.3268623352;49.1319313049;12;95.7184432745;
64;6;36.5924797058;27.0;10;49.0206377506;7;34.9249992371;50.680896759;12;100.667987823;
65;6;35.7243995667;29.0;10;50.5727157593;7;34.9917907715;50.0;12;104.583585382;
66;6;36.7005233765;31.0;11;52.0371179581;7;35.0282783508;50.7032318115;14;107.653320193;
67;6;36.8223342896;32.1458969116;11;53.3970251083;7;35.0282783508;49.9016990662;15;110.035364866;
68;6;36.9386177063;33.2683868408;11;54.6427373886;7;34.0282783508;48.9129257202;16;111.447271228;
69;6;34.9386177063;33.2683868408;11;55.7712750435;7;35.5282783508;49.9241638184;16;112.568520188;
70;6;35.9386177063;33.0;11;56.7852263451;7;37.7878112793;48.9354095459;17;113.434792042;
71;6;36.9386177063;34.0;11;58.6912221909;7;37.7878112793;47.9354095459;19;114.060578108;
72;6;38.3453674316;36.0;11;59.5383749008;7;39.0;48.7481498718;19;114.659593463;
73;6;39.4322929382;38.0;11;61.2981152534;7;40.0;50.7481498718;20;115.226211667;
74;6;40.513458252;41.0;11;62.0408084393;7;41.0;52.7481498718;20;115.756142735;
75;6;41.589012146;44.0;12;62.5757317543;7;42.0;54.7481498718;21;116.246508837;
76;6;41.6591491699;47.0;13;63.0228477716;7;43.0;55.8155212402;21;116.695812345;
77;6;41.7240867615;49.0;13;63.458622694;7;44.0;56.8266868591;21;117.103815436;
78;6;41.7840652466;51.0;13;63.8172128201;7;45.0;57.8378181458;22;117.471355319;
79;6;41.8000030518;52.0;13;64.1448609829;7;44.1697845459;60.8489151001;23;117.800127506;
80;5;39.8000030518;48.0;13;62.983299017;8;45.5800132751;63.8599700928;23;119.498169065;
81;5;40.8000030518;49.0;13;63.218993187;8;47.0092468262;67.8709716797;24;119.835433841;
82;5;41.8000030518;50.0;14;63.4459742308;8;47.2351112366;71.8819351196;25;120.145195365;
83;5;39.8000030518;51.0;14;63.6641001701;8;48.393913269;69.8928375244;25;120.430495024;
84;5;39.8000030518;52.0;14;63.873333931;8;45.4430541992;73.903678894;26;120.568563223;
85;5;39.8000030518;53.0;16;64.0737326145;8;44.4568595886;77.9144592285;27;120.681493163;
86;6;39.8000030518;54.0;15;64.2654354572;8;46.4681510925;74.925163269;29;120.797415733;
87;6;39.8000030518;55.0;15;64.4486501217;9;44.4797439575;77.935798645;26;121.916254282;
88;6;40.8000030518;56.0;14;64.6236408949;9;44.5916290283;81.9463577271;26;121.937912345;
89;6;41.8000030518;57.0;13;64.7907158136;10;47.6037902832;79.9568405151;23;122.090173602;
90;6;42.8000030518;58.0;13;64.9502130747;10;46.6090202332;83.9672317505;23;122.245607138;
91;6;43.8000030518;59.0;13;65.0410604477;10;46.6245651245;87.9775390625;25;122.404052496;
92;6;44.8000030518;60.0;13;67.1630961895;10;47.6375007629;85.9877548218;26;122.437067986;
93;7;46.3880004883;60.0999984741;12;71.866271019;9;42.3952178955;84.4413528442;26;119.798267245;
94;8;48.5880012512;61.0999984741;10;74.2645335197;9;42.3798294067;87.3991317749;26;119.718440533;
95;8;50.7762374878;62.0999984741;11;76.628616333;9;44.3718452454;84.3592224121;24;119.646596491;
96;8;51.92918396;65.0999984741;17;79.7073578835;9;42.3646621704;87.3232955933;20;119.581936836;
