Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
63;7;43.9592208862;34.0;14;58.8415518999;4;25.8157997131;26.5200004578;20;59.0400009155;
64;7;45.9611968994;35.3899993896;14;60.9404256344;4;24.8157997131;27.5200004578;20;59.0400009155;
65;7;46.8288421631;36.6872596741;15;62.7925437689;4;23.8157997131;28.5200004578;20;59.0400009155;
66;7;47.575050354;37.9097442627;16;65.2840306759;4;23.1907997131;29.5200004578;21;59.0400009155;
67;7;49.1474876404;40.0;16;66.5449384451;4;23.1907997131;30.5200004578;21;59.0400009155;
68;7;50.5855751038;41.7925758362;16;67.7268936634;4;23.1907997131;31.5200004578;21;59.0400009155;
69;7;50.9739265442;42.9036827087;17;68.7314009666;4;23.1907997131;32.5200004578;21;61.3199043274;
70;7;47.7540931702;46.0278549194;17;69.6590746641;4;23.5363731384;34.1599502563;22;62.9758739471;
71;7;46.7540931702;49.1659011841;18;70.5659862757;4;23.7728843689;35.5979385376;22;64.1510181427;
72;8;45.7540931702;52.7718200684;17;71.4497244358;4;23.9296550751;36.8882522583;22;64.6194839478;
73;8;44.7540931702;55.1659011841;17;72.1452076435;4;23.936000824;37.9000015259;22;64.7999992371;
74;8;43.7540931702;58.8183097839;18;72.8824276924;4;23.936000824;38.9000015259;23;64.7999992371;
75;8;42.7540931702;61.842414856;18;73.6589926481;4;23.936000824;39.9000015259;23;64.7999992371;
76;8;41.7540931702;64.4923629761;18;74.4712690115;4;23.936000824;40.9000015259;23;64.7999992371;
77;8;41.3499984741;66.5978240967;19;75.314330101;4;23.936000824;41.9000015259;23;64.7999992371;
78;9;41.3499984741;69.0503997803;18;76.1819906235;4;23.936000824;42.9000015259;23;64.7999992371;
79;9;41.3499984741;71.3764343262;18;77.0669322014;5;23.936000824;43.9000015259;22;64.7999992371;
80;9;41.3499984741;73.7089691162;19;77.9609347582;5;23.936000824;44.9000015259;22;64.7999992371;
81;9;41.3499984741;76.0447235107;19;78.8551952839;5;24.936000824;42.9000015259;22;64.7999992371;
82;9;41.3499984741;78.3802261353;20;79.7407205105;5;23.936000824;43.9000015259;22;64.7999992371;
83;9;41.3499984741;78.8739929199;20;80.608749032;5;23.936000824;44.9000015259;23;64.7999992371;
84;9;41.3499984741;79.2269363403;19;81.4511660337;5;24.936000824;42.9000015259;23;64.7999992371;
85;9;41.3499984741;79.5697097778;20;82.2608646154;6;24.936000824;44.9000015259;21;66.7999992371;
86;9;41.3499984741;79.8994674683;21;83.0320191383;6;27.936000824;44.9000015259;21;66.8987448215;
87;9;41.3499984741;85.1082382202;20;83.7602424622;6;27.936000824;47.9000015259;22;68.142919898;
88;9;41.3499984741;82.2455444336;19;84.4426362514;6;27.8668785095;50.7719993591;22;69.0754176378;
89;9;40.3499984741;83.3798217773;15;85.0777258873;6;27.8046722412;53.6567993164;24;69.7510993481;
90;10;40.3499984741;85.4226150513;15;86.6653175354;6;27.7486839294;56.2913856506;24;70.2298964262;
91;11;40.3499984741;87.4657058716;14;87.3562988043;6;27.6982955933;56.3442230225;25;70.3920885324;
92;11;39.8675003052;89.5090332031;15;88.0231852531;6;28.6529464722;55.21509552;25;70.3598771095;
93;11;38.9443473816;91.5525512695;20;88.6706713438;6;27.6121330261;56.1926269531;26;70.3470392227;
94;11;38.0315933228;93.5961914062;21;89.3039546013;6;27.5753993988;57.1801147461;26;70.3520522118;
95;10;34.3499984741;89.6399154663;16;87.9470591545;7;28.542339325;55.1768188477;25;72.1075862646;
96;10;34.3499984741;86.0434570312;18;88.2663803101;7;28.5125846863;55.9833526611;29;72.3916296959;
97;9;24.5999984741;83.0871734619;18;74.1489133835;8;29.4858074188;58.9302139282;25;87.7200675011;
98;9;27.5999984741;79.2043991089;18;75.0446453094;8;29.4858074188;58.9266242981;26;88.0940852165;
99;9;28.5999984741;78.9922180176;17;75.9428896904;8;28.4858074188;62.9229850769;26;88.5917663574;
100;9;27.5999984741;80.4052429199;18;76.8328430653;8;29.4858074188;63.6201248169;27;89.1571251154;
