Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
74;6;34.9528083801;44.8355789185;17;45.9989749193;6;28.7150726318;35.8366546631;13;44.6893476322;
75;6;32.8510513306;46.8968200684;18;46.7685886621;6;27.8137722015;36.8078689575;13;44.9339791834;
76;6;33.9740142822;46.346534729;19;47.5475463867;6;26.8321819305;37.8995018005;13;45.0439731479;
77;7;33.5710105896;46.0294876099;18;48.3335149288;6;25.8321819305;38.873790741;13;45.1094356328;
78;7;33.2784996033;45.0;18;49.1240205765;6;25.8321819305;39.9672622681;15;45.1758610457;
79;7;29.9332332611;48.0;19;49.9164898396;6;25.8756790161;41.8981285095;15;45.2431993335;
80;7;27.9622001648;51.6114883423;20;50.7082891464;6;26.3458442688;43.9741401672;15;45.3113981932;
81;7;29.3999996185;49.3353691101;20;51.4967691898;6;26.4478187561;45.8981285095;16;45.3804029971;
82;7;31.7226276398;51.4198875427;20;52.2793092728;6;26.45013237;47.8981285095;16;45.4501572549;
83;7;31.4106063843;54.5073547363;21;53.0533621311;6;26.4525566101;49.8981285095;16;45.5206033587;
84;7;33.4970207214;55.5975761414;21;53.8164930344;6;26.3999996185;51.9899482727;17;45.5916823149;
85;7;34.0769462585;57.6903152466;22;54.5664157867;6;26.3999996185;53.9943695068;17;45.6633345187;
86;7;34.1884155273;59.7852973938;22;55.3010225296;6;26.460521698;55.230796814;18;45.7354997098;
87;7;34.2958602905;61.8822288513;22;56.0184049606;6;26.4634246826;56.2620391846;18;45.8081179708;
88;7;34.3989524841;63.9807739258;23;56.7168722153;6;26.466463089;57.2932891846;19;45.8811294585;
89;7;34.4974327087;66.0805740356;24;57.3949556351;6;26.4696388245;58.3245010376;19;45.9544751197;
90;7;34.5911178589;68.1812515259;25;57.9997191429;6;26.3999996185;59.4772338867;19;46.0280972123;
91;7;34.6798820496;69.349861145;27;58.5761451721;6;26.3999996185;60.51404953;20;46.1019392312;
92;7;34.7636756897;70.4889526367;27;59.1320886612;6;26.3999996185;61.5509681702;21;46.1759471297;
93;7;34.8424987793;71.0264053345;27;59.6668615341;6;26.3999996185;62.5879745483;22;46.2500683963;
94;7;33.1844596863;72.1617965698;28;60.1799635887;6;27.3999996185;60.6250343323;22;46.3242535889;
