Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
97;5;29.5999984741;55.4538192749;14;48.1941806078;8;36.2000007629;83.5517730713;21;61.2042884827;
98;5;29.5999984741;56.5395698547;14;48.401622057;8;38.2000007629;79.602142334;22;61.3081763983;
99;6;29.5999984741;57.6252059937;13;48.6118198633;8;36.2000007629;81.654083252;23;61.4151960611;
100;6;29.3499984741;59.7105178833;13;48.824446559;8;36.2000007629;83.7075958252;24;61.525323987;
101;7;28.3499984741;61.7952957153;13;49.0391631126;7;38.2000007629;79.7626647949;24;61.6385196447;
102;7;27.3499984741;63.8793449402;13;49.255620718;7;36.2000007629;81.8192596436;24;61.7547248602;
103;7;26.3499984741;65.9624633789;13;49.4734613895;7;36.2000007629;83.8773651123;25;61.873862505;
104;7;25.3499984741;68.0444641113;13;49.6923222542;7;38.2000007629;79.9369277954;25;61.9958355427;
105;7;24.75;70.1251602173;15;50.9118347168;7;38.6779518127;79.3101196289;25;62.1205272675;
106;7;25.75;72.8382873535;16;51.1916270256;7;39.7012557983;79.3249053955;27;62.2478001118;
107;7;26.75;74.9921417236;14;51.4742913246;8;40.3251800537;79.3395767212;24;62.3774960041;
108;7;27.2553329468;77.1459274292;13;52.2679821253;8;40.3496856689;79.3541259766;24;62.5094364882;
109;7;28.3153533936;76.6081542969;13;53.1080360413;9;40.3747329712;79.3685531616;24;62.6434230804;
110;7;27.3817462921;79.0929107666;14;53.9926226139;10;40.4002838135;79.3828582764;23;62.779238224;
111;7;26.75;81.4598388672;16;54.9192231894;10;40.4262886047;79.3970184326;24;62.9008569717;
112;8;27.75;80.0815887451;15;55.8846497536;10;40.4526977539;79.4000015259;24;63.0197672844;
113;8;27.6240234375;80.6596679688;15;56.8850808144;10;40.4794502258;79.4000015259;25;63.1399610043;
