Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
274;21;388.268066406;613.325866699;107;444.535915375;27;456.162750244;878.858032227;162;541.119607449;
275;21;391.264556885;613.323303223;106;444.532328606;27;477.261932373;904.703369141;163;541.987073421;
276;21;394.261352539;613.320983887;107;444.529094696;27;498.348724365;916.378051758;164;542.741406918;
277;21;397.258483887;613.318847656;109;444.526189804;27;510.424163818;923.660400391;166;543.33302784;
278;21;400.255981445;613.316955566;110;444.523570061;27;518.483337402;925.866210938;168;543.699280262;
279;21;402.612213135;613.315246582;110;444.521215439;27;524.519958496;926.488891602;169;544.027695656;
280;21;402.608459473;613.313720703;100;444.519091606;27;527.55279541;927.047119141;169;544.321063042;
281;21;402.605163574;613.312316895;90;444.517184258;27;527.582092285;927.545898438;170;544.582371712;
282;21;402.602081299;613.311157227;82;444.515463829;27;527.608276367;927.99017334;171;544.806797028;
283;21;402.599395752;613.309997559;81;444.513913155;27;527.63067627;928.371704102;163;544.864151955;
284;21;402.596954346;613.309020996;80;443.812524796;28;527.636413574;934.469177246;160;544.919401169;
285;21;402.524780273;608.819274902;83;442.981271744;28;527.127929688;1003.56311035;158;541.972559929;
286;19;393.260070801;654.573181152;86;393.160475731;30;530.862915039;915.83013916;150;581.374116898;
287;19;392.983123779;571.538757324;92;385.745139122;30;535.824279785;923.659240723;151;598.79680872;
288;19;392.713012695;570.191589355;96;382.176475525;30;550.545715332;936.792785645;153;608.118555546;
289;19;389.482299805;568.532409668;97;378.856035233;30;563.040344238;947.721618652;154;615.127139568;
290;19;386.563812256;567.15435791;98;375.751877785;30;572.36529541;957.76965332;155;623.27782917;
291;19;383.925567627;566.017333984;98;372.837974548;30;580.974975586;1043.63842773;150;624.106164694;
292;19;381.539154053;565.08984375;100;370.092679977;30;584.984375;963.584594727;150;614.314102173;
293;19;379.902893066;570.789367676;99;377.687844276;30;580.098632812;961.296264648;153;609.916526794;
