Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
23;2;21.0024471283;12.5;7;31.8491544724;3;22.2499713898;14.0;2;37.3887672424;
24;3;21.166059494;12.5;6;32.6128931046;3;22.4124717712;14.0;2;38.1033678055;
25;4;19.625;13.5;5;33.4036521912;3;22.5732574463;14.0;2;38.8001594543;
26;4;20.625;12.5;5;34.2100963593;3;22.7300338745;14.0;2;39.4697523117;
27;4;19.625;13.5;5;35.0196552277;3;22.8806934357;14.0;2;40.1040582657;
28;4;19.625;14.5;5;35.8192586899;3;23.0234127045;14.0;2;40.6966657639;
29;4;17.625;16.5;5;36.5961618423;3;23.1567497253;14.0;3;41.2430458069;
30;4;16.625;18.5;5;37.3387613297;3;21.2796840668;15.0;4;41.7405805588;
31;4;15.625;20.5;5;38.0372877121;3;20.3916301727;16.0;4;42.1884441376;
32;4;14.625;22.5;5;38.6842908859;3;19.4923992157;17.0;5;42.5873603821;
33;4;14.0;24.5;5;39.2748651505;4;19.5821552277;18.5;4;43.9393005371;
34;4;14.0;26.5;6;39.8066234589;4;19.6613426208;19.0;5;44.4071542025;
35;4;15.0;25.5;6;40.2794542313;4;19.6916103363;20.0;5;44.8581568003;
36;4;16.0;25.5;6;40.6951389313;4;19.7930870056;21.0;6;45.2990169525;
37;4;15.0;24.5;7;41.0568904877;4;19.8922786713;22.0;7;45.7366806269;
38;5;15.0;23.5;6;41.3688926697;4;19.9907531738;23.0;7;46.0669906139;
39;5;17.0;24.2000007629;5;42.635887146;4;20.0650730133;24.0;8;46.375654459;
40;5;17.0;23.2000007629;5;42.9928196669;4;20.1345233917;25.0;8;46.7230784893;
41;5;17.2542495728;21.5;5;43.2754310369;5;20.2126922607;26.0;5;57.1118502617;
42;5;17.2869720459;20.5;5;44.4377241135;5;18.6000003815;29.0;5;57.9440283775;
43;5;19.3234882355;21.2000007629;6;44.7483350039;5;19.6000003815;28.7720146179;5;58.7953119278;
44;5;21.0;21.5;6;45.0941429138;5;20.6000003815;32.7720146179;5;59.6647286415;
45;5;22.696182251;20.5;7;45.4779784679;5;22.6000003815;36.7720146179;6;60.5507297516;
46;5;23.7825450897;20.5;7;45.9025986195;5;24.6000003815;40.7720146179;7;61.4509038925;
47;5;24.1389598846;21.5;7;46.3705939054;5;27.6000003815;40.0;7;62.3617320061;
48;6;25.6083831787;22.5;8;46.8842787743;5;30.0312690735;40.0;7;63.2784323692;
49;6;26.7239627838;24.5;8;47.4455666542;5;30.1082210541;40.0;9;64.1949291229;
50;6;27.8502521515;27.5;8;48.0558290482;6;33.2051391602;39.0;8;66.103975296;
51;6;28.8125610352;30.5;9;48.7157475948;6;36.1942367554;39.0;8;67.1574345827;
52;6;28.9610424042;32.5;9;49.4251651764;6;37.4337387085;39.0;9;68.2104498148;
53;6;29.1206626892;32.5;10;50.1829445362;6;37.9633827209;39.0;10;69.1532897949;
54;6;29.2911605835;32.5;10;51.9868502617;6;38.1348114014;39.0;10;70.0717731714;
55;6;30.4720401764;33.5;10;52.9634617567;6;38.2874603271;39.8970870972;10;70.9899413586;
